"Date","Year","Quarter","FY","QFY","Month","EXP_SEC","EXP_RAW","EXP_AGR","EXP_EDU","EXP_HEA","EXP_WAE","EXP_JLO","EXP_ACC","EXP_EAM","EXP_TTI","EXP_LHUD","EXP_SD","EXP_ICT","EXP_PSM","EXP_PAD","EXP_PARL","EXP_STD","EXP_TOU","EXP_LGOV","EXP_I","EXP_I_DOM","EXP_I_EXT","EXP_CEN_TOT","EXP_LGP_TOT","EXP_I_TOT","EXP"
2001-02-01,2001,"Q1","2000/01","Q3","February",,,,,,,,,,,,,,,,,,,,12.7382988,3.082245,9.6560538,113.932608292361,51.9707077151385,12.7382988,178.6416148075
2001-03-01,2001,"Q1","2000/01","Q3","March",,,,,,,,,,,,,,,,,,,,18.72193,11.21567,7.50626,126.450471610871,38.9823249026287,18.72193,184.1547265135
2001-04-01,2001,"Q2","2000/01","Q4","April",,,,,,,,,,,,,,,,,,,,6.72199124,2.695438,4.02655324,114.4497030484,32.0207164650995,6.72199124,153.1924107535
2001-05-01,2001,"Q2","2000/01","Q4","May",,,,,,,,,,,,,,,,,,,,10.87155108,7.092261,3.77929008,145.046286587813,37.8391865090206,10.87155108,193.757024176833
2001-06-01,2001,"Q2","2000/01","Q4","June",,,,,,,,,,,,,,,,,,,,8.8328812,6.358188,2.4746932,194.219896315938,27.6002357808955,8.8328812,230.653013296833
2001-07-01,2001,"Q3","2001/02","Q1","July",,,,,,,,,,,,,,,,,,,,11.00441,8.295,2.70941,84.680734895815,35.7731643275183,11.00441,131.458309223333
2001-08-01,2001,"Q3","2001/02","Q1","August",,,,,,,,,,,,,,,,,,,,16.13954,10.275,5.86454,126.64570720868,53.9215502146538,16.13954,196.706797423333
2001-09-01,2001,"Q3","2001/02","Q1","September",,,,,,,,,,,,,,,,,,,,14.948491,8.305,6.643491,117.349199262376,36.0940431609572,14.948491,168.391733423333
2001-10-01,2001,"Q4","2001/02","Q2","October",,,,,,,,,,,,,,,,,,,,11.8405791,7.6875,4.1530791,127.922201986037,52.6921051872968,11.8405791,192.454886273333
2001-11-01,2001,"Q4","2001/02","Q2","November",,,,,,,,,,,,,,,,,,,,14.8073816,9.2675,5.5398816,111.581876357147,78.7971396561867,14.8073816,205.186397613333
2001-12-01,2001,"Q4","2001/02","Q2","December",,,,,,,,,,,,,,,,,,,,8.95231,7.1875,1.76481,103.719236529826,39.8792556035075,8.95231,152.550802133333
2002-01-01,2002,"Q1","2001/02","Q3","January",,,,,,,,,,,,,,,,,,,,12.34724,8.8175,3.52974,128.975474322106,41.7298476845611,12.34724,183.052562006667
2002-02-01,2002,"Q1","2001/02","Q3","February",,,,,,,,,,,,,,,,,,,,13.47687,6.7375,6.73937,120.725353484213,58.0714635224539,13.47687,192.273687006667
