"Date","Year","Quarter","FY","QFY","Month","PCTOT_EX_GDP","PCTOT_EX","PCTOT_IM_GDP","PCTOT_IM","PCTOT_NEX_GDP","PCTOT_NEX"
1996-01-01,1996,"Q1","1995/96","Q3","January",99.9837188720703,95.9121170043945,96.4636001586914,44.4213943481445,103.667778015137,169.913909912109
1996-02-01,1996,"Q1","1995/96","Q3","February",100.504440307617,105.020080566406,96.4826736450195,44.9529800415039,104.216781616211,182.188385009766
1996-03-01,1996,"Q1","1995/96","Q3","March",100.272453308105,100.997016906738,96.5136337280273,45.790599822998,103.929206848145,175.660278320313
1996-04-01,1996,"Q2","1995/96","Q4","April",100.342735290527,102.431709289551,96.6004409790039,48.2833709716797,103.911750793457,175.270965576172
1996-05-01,1996,"Q2","1995/96","Q4","May",100.530006408691,106.018936157227,96.581169128418,47.7255172729492,104.127388000488,180.135437011719
1996-06-01,1996,"Q2","1995/96","Q4","June",100.299369812012,101.847129821777,96.5040054321289,45.4959945678711,103.956359863281,176.267181396484
1996-07-01,1996,"Q3","1996/97","Q1","July",100.017868041992,97.010871887207,96.4930419921875,45.1777648925781,103.658042907715,169.703186035156
1996-08-01,1996,"Q3","1996/97","Q1","August",100.053153991699,97.5218505859375,96.4820251464844,44.8781890869141,103.711647033691,170.865707397461
1996-09-01,1996,"Q3","1996/97","Q1","September",99.7468795776367,92.1269073486328,96.477180480957,44.7275657653809,103.398818969727,164.183715820313
1996-10-01,1996,"Q4","1996/97","Q2","October",99.7194595336914,91.5044784545898,96.4493255615234,43.9336166381836,103.411376953125,164.44709777832
1996-11-01,1996,"Q4","1996/97","Q2","November",99.6320495605469,90.0286178588867,96.4308776855469,43.4549827575684,103.336921691895,162.890594482422
1996-12-01,1996,"Q4","1996/97","Q2","December",99.2963333129883,84.8993835449219,96.4611206054688,44.2748870849609,102.93724822998,154.764495849609
1997-01-01,1997,"Q1","1996/97","Q3","January",99.7642288208008,90.9219436645508,96.503044128418,45.3585090637207,103.376640319824,162.410110473633
1997-02-01,1997,"Q1","1996/97","Q3","February",100.746780395508,104.923065185547,96.435791015625,43.9167633056641,104.465850830078,182.870849609375
1997-03-01,1997,"Q1","1996/97","Q3","March",101.369102478027,114.810592651367,96.4163589477539,43.5361824035645,105.130256652832,196.478317260742
1997-04-01,1997,"Q2","1996/97","Q4","April",101.492042541504,116.867362976074,96.3725662231445,42.6719741821289,105.30738067627,200.258422851563
1997-05-01,1997,"Q2","1996/97","Q4","May",102.689643859863,138.702484130859,96.4227828979492,43.7084884643555,106.48949432373,227.233856201172
1997-06-01,1997,"Q2","1996/97","Q4","June",102.114395141602,127.77710723877,96.3105926513672,41.1184196472168,106.018905639648,216.121719360352
1997-07-01,1997,"Q3","1997/98","Q1","July",101.306823730469,113.785446166992,96.2914428710938,40.6004409790039,105.203193664551,198.026931762695
1997-08-01,1997,"Q3","1997/98","Q1","August",101.18180847168,111.757110595703,96.33203125,41.5074806213379,105.028388977051,194.333801269531
1997-09-01,1997,"Q3","1997/98","Q1","September",101.231925964355,112.567481994629,96.3301773071289,41.4487495422363,105.082077026367,195.461318969727
1997-10-01,1997,"Q4","1997/98","Q2","October",100.927238464355,107.716789245605,96.4064102172852,43.100471496582,104.681838989258,187.197082519531
1997-11-01,1997,"Q4","1997/98","Q2","November",100.803253173828,105.807052612305,96.3959503173828,42.957088470459,104.564727783203,184.839874267578
1997-12-01,1997,"Q4","1997/98","Q2","December",101.263153076172,113.08869934082,96.3227996826172,41.4496231079102,105.121963500977,196.302886962891
1998-01-01,1998,"Q1","1997/98","Q3","January",101.310066223145,114.03638458252,96.2745971679688,40.6151733398438,105.221328735352,198.712631225586
1998-02-01,1998,"Q1","1997/98","Q3","February",101.34391784668,114.638557434082,96.250114440918,40.2022171020508,105.281578063965,200.187072753906
1998-03-01,1998,"Q1","1997/98","Q3","March",101.072746276855,109.520668029785,96.2035522460938,39.2976951599121,105.053932189941,194.668655395508
