"Date","Year","Quarter","FY","QFY","Month","CORENS","CORESA","CPTOTNSXN","CPTOTSAXN","CPTOTSAXNZGY","DMGSRMRCHNSCD","DMGSRMRCHNSKD","DMGSRMRCHNSXD","DMGSRMRCHSACD","DMGSRMRCHSAKD","DMGSRMRCHSAXD","DPANUSLCU","DPANUSSPB","DPANUSSPF","DSTKMKTXD","DSTKMKTXN","DXGSRMRCHNSCD","DXGSRMRCHNSKD","DXGSRMRCHNSXD","DXGSRMRCHSACD","DXGSRMRCHSAKD","DXGSRMRCHSAXD","IMPCOV","IPTOTNSKD","IPTOTSAKD","NEER","REER","TOT","TOTRESV"
2016-08-01,2016,"Q3","2016/17","Q1","August",166.92672998643,166.64972038638,163.68527236046,163.39748953975,4.88826815642,422.87,,,416.50519991508,,,3373.73913043478,3373.73913043478,3373.73913043478,119.89433299762,209.27585161834,223.35283950617,392.29715262142,0.56934606334,238.06882024712,407.38237085362,0.58438665313,7.07323696347,811106503.2554,828566072.483913,80.76161932456,96.4320788135,,2946.03997551535
2016-09-01,2016,"Q3","2016/17","Q1","September",167.09633649932,166.44636502288,165.14794889038,163.89958158996,4.35848252344,428.93,,,428.3670420505,,,3383.02272727273,3383.02272727273,3383.02272727273,108.54850534481,189.98744718268,234.15691358025,391.90341418331,0.59748628133,250.04676675618,412.84293735647,0.60567044784,7.10841207016,834192240.361457,881444231.787735,80.79427830903,96.21903702062,,3045.00945217105
2016-10-01,2016,"Q4","2016/17","Q2","October",168.5210312076,168.1918318929,166.44250168124,165.02092050209,4.25037005709,411.62,,,400.11942463803,,,3436.20995670996,3436.20995670996,3436.20995670996,113.87216524292,202.43244984636,272.26234567901,459.11002477541,0.59302200123,276.77537694964,458.05846569813,0.60423591676,7.31349721213,755065790.160877,784499136.847813,80.22215564636,95.51582551892,,2926.27229660852
2016-11-01,2016,"Q4","2016/17","Q2","November",168.94504748982,168.80189798339,167.43443174176,166.44351464435,4.61813591416,397.29,,,404.47712285202,,,3563.99276859504,3563.99276859504,3563.99276859504,112.58549840484,207.37637504693,281.98197530864,457.03445600838,0.61698187435,281.37838376036,467.96604480913,0.60127948786,7.37048649258,848823559.543771,872066473.063097,78.83267313774,94.33922500028,,2981.19317053888
2016-12-01,2016,"Q4","2016/17","Q2","December",171.01424694708,170.44568717167,169.48554135844,168.66945606695,5.66156426924,399.36,,,402.29342253006,,,3601.09848484849,3601.09848484849,3601.09848484849,105.13325636286,195.8543753915,283.56567901235,479.78499015795,0.59102657405,281.45686948622,486.20788589182,0.57888174514,7.7004691012,943375008.976649,873622627.693553,79.11514178749,95.43587502209,,3097.84806980846
2017-01-01,2017,"Q1","2016/17","Q3","January",170.98032564451,170.85239789866,169.55279085407,169.37238493724,5.81346716855,436.39,,,438.89225534741,,,3607.89287878788,3607.89287878788,3607.89287878788,98.98470351769,184.81715970259,253.30333333333,416.56935898267,0.60807000772,243.9914718138,417.77967982589,0.58401948107,7.075614196,924533734.746593,883652895.537046,78.98926085796,95.49088946266,,3105.43227245057
2017-02-01,2017,"Q1","2016/17","Q3","February",171.93012211669,172.07253007965,170.98184263618,170.67782426778,6.61787767904,421.7,,,428.86876302774,,,3588.10325,3588.10325,3588.10325,97.12447585798,180.29380696658,256.39777777778,413.8661302082,0.61951862949,244.48791183278,409.92370971351,0.59642295881,7.46730458133,862454151.70654,901604492.057656,79.11216309225,96.18678403562,,3202.49367894602
2017-03-01,2017,"Q1","2016/17","Q3","March",172.23541383989,172.05558379936,172.10827168796,171.02928870293,6.48119203918,437.34,,,424.83992659957,,,3600.78434782609,3600.78434782609,3600.78434782609,101.72791289638,189.55845158267,269.13888888889,436.35584579556,0.61678763212,255.63328783189,431.4405907144,0.59251098143,7.73710930996,959283117.804589,901715042.691775,78.63632879343,95.43265360455,,3287.03295133527
2017-04-01,2017,"Q2","2016/17","Q4","April",172.45590230665,172.71648873072,172.88164088769,171.4309623431,6.97650130548,420.38,,,438.75124324214,,,3621.752,3621.752,3621.752,108.08358472926,202.42381064448,323.9,533.51280621189,0.60710820102,320.09533328041,548.36273334299,0.5837291884,7.51472250363,820492632.542168,860497592.994393,78.04995051671,94.66348638005,,3297.09384108739
2017-05-01,2017,"Q2","2016/17","Q4","May",173.6092265943,173.80105066938,173.85675857431,172.45188284519,7.22164412071,490.68,,,496.27182494035,,,3625.26456521739,3625.26456521739,3625.26456521739,110.83007099393,207.80717865961,331.65444444444,560.3274910388,0.59189393658,327.44000899317,559.22401401717,0.58552565839,6.7760423945,823977923.196445,851344762.102951,77.65413497709,94.36186028038,,3362.75892499197
2017-06-01,2017,"Q2","2016/17","Q4","June",174.28765264586,174.1569225555,172.78076664425,172.45188284519,6.25966793854,474.94,,,463.46604758681,,,3589.04931818182,3589.04931818182,3589.04931818182,116.97367118994,217.2047203866,324.77555555556,525.13594946165,0.61845995478,324.94069708686,528.79308123536,0.61449498607,7.44604932517,843578369.648224,859913289.894449,78.00684002803,94.49076144176,,3450.9910508733
2017-07-01,2017,"Q3","2017/18","Q1","July",173.79579375848,173.7671581088,171.9569603228,172.03347280335,5.5230469151,417.59,,,423.20230551329,,,3601.66785714286,3601.66785714286,3601.66785714286,117.34170194365,218.65780556366,268.39814814815,434.56031948932,0.61763151422,279.37389416365,450.93416407303,0.61954475048,8.21761619184,803687320.179463,834002469.818143,77.71583077384,93.50412030734,,3477.71411821056
2017-08-01,2017,"Q3","2017/18","Q1","August",174.28765264586,173.90272835113,172.39408204439,172.08368200837,5.31598893783,472.35,,,464.83895578364,,,3604.68804347826,3604.68804347826,3604.68804347826,124.92685468495,232.98102230872,258.40148148148,418.35375056961,0.61766263869,274.33686743788,433.66125440873,0.63260635957,7.40227875664,841645931.265654,853612475.19952,76.95229362336,92.18422314561,,3440.8675276565
2017-09-01,2017,"Q3","2017/18","Q1","September",174.77951153324,174.1569225555,173.52051109617,172.3179916318,5.13632186255,501.6,,,501.67356563083,,,3600.7030952381,3600.7030952381,3600.7030952381,120.46043159925,224.43084697897,259.92037037037,416.64698690862,0.62383835366,276.47955278918,435.15121683105,0.63536431037,7.22073113916,804584523.714227,844738646.459349,76.77026470588,91.87839559391,,3622.44993704229
2017-10-01,2017,"Q4","2017/18","Q2","October",175.16960651289,174.86866632774,174.02488231338,172.71966527197,4.66531440162,531.98,,,512.68913316499,,,3632.82954545455,3632.82954545455,3632.82954545455,116.13606272617,218.32079558936,291.0837037037,454.46035016869,0.64050406949,297.27983126186,454.20781647092,0.65450179517,6.75274022498,827670260.820284,857540477.635309,76.6693397241,91.64059179004,,3462.05653243088
2017-11-01,2017,"Q4","2017/18","Q2","November",175.72930800543,175.66514150144,174.14256893073,173.18828451883,4.0522875817,513.76,,,517.15378785867,,,3637.41,3637.41,3637.41,120.38862788419,226.55811500908,302.03703703704,498.83885048336,0.60548018011,302.2761665671,513.29532092402,0.58889328277,6.84183246133,841473392.124354,856756710.330673,76.83128222148,91.67205195832,,3538.27957326956
2017-12-01,2017,"Q4","2017/18","Q2","December",176.42469470828,175.9362819861,174.57969065232,173.80753138075,3.0462393332,497.19,,,495.18941371755,,,3622.30585034014,3622.30585034014,3622.30585034014,128.47673097687,240.7841140245,310.90925925926,512.65445701463,0.60646943571,308.7243572138,520.81726192336,0.59276905699,7.51402113642,930089495.096481,873994823.613155,76.6473827554,91.71979036208,,3720.86372120488
2018-01-01,2018,"Q1","2017/18","Q3","January",175.84803256445,175.76681918319,174.32750504371,174.02510460251,2.74703557312,508.83,,,514.89481607078,,,3624.37035403727,3624.37035403727,3624.37035403727,139.1030004086,260.8465851886,322.37740740741,513.04710441842,0.62835830206,308.03397061507,510.11614644125,0.60385065786,7.1402016673,940855937.513656,891476477.487037,75.09876576978,89.66665776462,,3676.45282419523
2018-02-01,2018,"Q1","2017/18","Q3","February",175.9328358209,176.10574478902,174.89912575656,174.46025104603,2.216120808,519.19,,,528.18688860726,,,3635.3067,3635.3067,3635.3067,142.59708003223,268.23508966883,323.57962962963,534.28908554234,0.60562650143,305.83112345753,522.42592314657,0.58540571956,6.79605732372,852791959.793691,890461219.59761,74.6198268648,89.0644754851,,3589.58837261085
2018-03-01,2018,"Q1","2017/18","Q3","March",176.15332428765,176.05490594814,175.40349697377,174.44351464435,1.99628143654,556.22,,,543.43973370189,,,3661.89666666667,3661.89666666667,3661.89666666667,146.13549630012,276.78305711761,319.19296296296,525.23953408586,0.60770932546,301.73656623229,522.78786140804,0.57716827131,6.74952216334,950173051.143903,894010869.502051,74.26050972337,88.6844631164,,3667.95852706078
2018-04-01,2018,"Q2","2017/18","Q4","April",176.47557666214,176.7497034401,176.26092804304,175.02928870293,2.09899443522,497.45,,,520.00316129022,,,3696.9553968254,3696.9553968254,3696.9553968254,151.41609282611,289.63213704735,297.47469135803,480.80925158615,0.61869585574,296.9099885577,493.84759383812,0.60121784992,6.64403884711,841749454.750435,895071144.77529,73.80537953638,87.85765237102,,3454.92120423366
2018-05-01,2018,"Q2","2017/18","Q4","May",177.0013568521,177.15641416709,177.37054472092,175.93305439331,2.01863354037,510.96,,,519.35690892879,,,3725.84543478261,3725.84543478261,3725.84543478261,144.37890248799,278.36721099783,290.71728395062,500.75346384523,0.5805597064,289.56152217561,509.31345386391,0.56853303202,6.52338156635,913387706.218557,947775091.187938,74.48250418923,88.50198316037,,3387.9632860644
2018-06-01,2018,"Q2","2017/18","Q4","June",177.06919945726,176.80054228097,176.630800269,176.08368200837,2.10597826087,536.24,,,527.05195295586,,,3843.35857142857,3843.35857142857,3843.35857142857,137.39883089269,273.1899524246,287.17802469136,497.02436664555,0.5777946595,289.18914243613,503.50115862592,0.57435645873,6.23486592578,922290725.909682,941401553.152185,72.92298017672,86.76150241385,,3286.09826260148
2018-07-01,2018,"Q3","2018/19","Q1","July",178.91791044776,178.74936451449,177.23604572966,177.08786610879,2.93802899115,544.77,,,546.87530600381,,,3758.40659090909,3758.40659090909,3758.40659090909,137.80478813984,267.72420861723,288.50135802469,495.53160826913,0.58220576288,297.8831840726,510.25888938274,0.58378832838,6.25466087491,910282001.675141,938641419.0236,75.20968077402,89.9383626187,,3420.51957991658
2018-08-01,2018,"Q3","2018/19","Q1","August",179.88466757124,179.44416200644,177.90854068595,177.48953974895,3.14141217662,665.53,,,656.11471864907,,,3733.03847826087,3733.03847826087,3733.03847826087,137.79712408535,266.0787276736,290.1650617284,522.90730710995,0.55490726135,305.92752244188,537.56535624378,0.56909828524,4.868715512,960318352.652394,970429674.990862,76.66663743625,91.98790815301,,3194.43590833798
2018-09-01,2018,"Q3","2018/19","Q1","September",180.34260515604,179.69835621081,179.10221923336,177.8410041841,3.20512820513,546.2,,,550.8260194418,,,3800.272,3800.272,3800.272,122.92975091328,241.66347570564,293.81358024691,554.5022154618,0.52986908267,310.61067248383,573.40675732287,0.54169342882,6.09367469282,921497045.859698,961779324.251685,75.77778190841,90.86665880067,,3356.55457481823
2018-10-01,2018,"Q4","2018/19","Q2","October",180.25780189959,179.95255041518,178.93409549428,177.65690376569,2.85852713178,650.86,,,630.91686983126,,,3780.2302173913,3780.2302173913,3780.2302173913,118.44127859271,231.63504607134,290.62567901235,538.42176415044,0.53977327508,298.26491029673,539.49173593036,0.55286279739,5.36618642851,936059349.385491,967365974.24269,76.6741546907,91.73886408186,,3385.61754440949
2018-11-01,2018,"Q4","2018/19","Q2","November",180.42740841248,180.34231486189,178.91728312038,178.04184100418,2.802473908,596.24,,,589.98344676474,,,3738.76363636364,3738.76363636364,3738.76363636364,114.62857649172,221.73705065547,304.85975308642,537.59328801671,0.56708251364,307.52545053617,555.48852701102,0.55361260509,5.78180662974,959628196.087191,973033927.945686,77.38632403984,92.66774264292,,3411.17020394275
2018-12-01,2018,"Q4","2018/19","Q2","December",180.91926729986,180.54567022539,178.63147276395,177.89121338912,2.34954260953,599.78,,,586.86480666455,,,3710.44880952381,3710.44880952381,3710.44880952381,113.94759804391,218.82861959566,327.69456790124,574.52240507241,0.57037735171,326.72359880105,586.43773113825,0.55713263566,5.72280806714,974466562.239066,926708185.942631,77.69666593186,92.83166582137,,3358.51464990299
2019-01-01,2019,"Q1","2018/19","Q3","January",181.39416553596,181.37603795967,178.81640887693,178.4769874477,2.55818426621,606.03,,,624.54623606381,,,3702.31065217391,3702.31065217391,3702.31065217391,111.9187563892,214.34746911374,396.69012345679,723.76092610244,0.54809552319,377.63610932136,714.78807909161,0.52831898064,,1026469859.42715,967775233.286459,,,,
2019-02-01,2019,"Q1","2018/19","Q3","February",180.90230664858,181.104897475,178.53059852051,178.07531380753,2.07214121259,584.21,,,588.35385240493,,,3670.78175,3670.78175,3670.78175,123.6205557118,234.77481016436,408.55641975309,739.10807089343,0.55276952836,384.5436492573,714.78739326712,0.53798325611,,909246766.827336,947965466.231498,,,,
2019-03-01,2019,"Q1","2018/19","Q3","March",182.20827679783,182.24029825453,179.94283792872,179.12970711297,2.68636668905,881.76,,,871.1028848836,,,3708.23380952381,3708.23380952381,3708.23380952381,119.06682653185,228.41991985438,400.85345679012,717.57924363953,0.55861907983,378.88647627311,723.18265392189,0.52391532653,,980401908.699816,922955621.687675,,,,
2019-04-01,2019,"Q2","2018/19","Q4","April",181.76729986432,182.01999661074,180.54808338938,179.46443514644,2.53394530503,620.01,,,647.06251173758,,,3738.37545454545,3738.37545454545,3738.37545454545,120.10186715692,232.2870815034,336.37827160494,636.60620135664,0.52839301736,337.89368996549,655.92692361718,0.51513922939,,890060414.314679,954881037.895269,,,,
2019-05-01,2019,"Q2","2018/19","Q4","May",181.86906377205,182.03694289104,181.10289172831,179.69874476988,2.1404109589,675.4,,,693.22857977923,,,3764.64869565217,3764.64869565217,3764.64869565217,112.69662252739,219.5630683715,317.43901234568,577.62553712373,0.54955848027,318.3692258404,601.67597446829,0.52913734194,,927950009.744351,965995178.170081,,,,
2019-06-01,2019,"Q2","2018/19","Q4","June",182.24219810041,181.9013726487,180.43039677202,179.7489539749,2.08155118335,627.81,,,618.54541324694,,,3733.5045,3733.5045,3733.5045,111.77131725703,215.69830928218,306.83271604938,574.29212612972,0.53427985878,310.31683410541,585.13097013591,0.53033739444,,855138492.115383,874819233.347777,,,,
2019-07-01,2019,"Q3","2019/20","Q1","July",182.53052917232,182.17251313337,180.34633490249,179.96652719665,1.62555524053,652.09,,,649.13415499334,,,3696.32673913043,3696.32673913043,3696.32673913043,110.8347355642,211.95808477919,312.26358024691,599.01364250982,0.52129627455,317.60995283858,605.34124533616,0.52467918762,,952139997.354733,975809191.650482,,,,
2019-08-01,2019,"Q3","2019/20","Q1","August",183.42944369064,182.96898830707,181.22057834566,180.65271966527,1.78217821782,595.73,,,580.00241958604,,,3693.21,3693.21,3693.21,108.94719949148,208.17540730465,312.5450617284,612.16303864426,0.51055853098,324.18478272096,615.72866470116,0.52650591292,,946377190.035284,953225435.452927,,,,
2019-09-01,2019,"Q3","2019/20","Q1","September",183.81953867029,183.17234367056,182.34700739744,181.00418410042,1.77865612648,595.96,,,605.17294462042,,,3674.75642857143,3674.75642857143,3674.75642857143,105.87012794334,201.28554076439,315.38135802469,637.22888060506,0.49492634063,328.13667576144,647.58851623913,0.50670551984,,923187929.444446,959265679.799279,,,,
2019-10-01,2019,"Q4","2019/20","Q2","October",183.48032564451,183.1045585494,182.4646940148,181.13807531381,1.95949128592,619.31,,,607.92107222674,,,3695.39673913044,3695.39673913044,3695.39673913044,106.66273925242,203.95390152494,323.93345679012,636.09530675674,0.50925302128,335.27712989075,639.28262746029,0.52445837801,,922049171.111861,952668300.095368,,,,
2019-11-01,2019,"Q4","2019/20","Q2","November",183.63297150611,183.52821555669,182.43106926698,181.589958159,1.99285579996,608.71,,,596.9318622932,,,3696.87023809524,3696.87023809524,3696.87023809524,119.62388426173,228.80375839653,329.50864197531,589.88545739425,0.55859766984,337.26311052423,616.53188150131,0.54703271744,,946342682.207024,956731558.256829,,,,
2019-12-01,2019,"Q4","2019/20","Q2","December",184.22659430122,183.95187256397,182.86819098857,182.14225941423,2.38968858783,646.87,,,622.57645174816,,,3674.21613636364,3674.21613636364,3674.21613636364,121.29190626207,230.64222072013,335.26790123457,600.68816704354,0.55813967984,338.37622870326,622.18562242345,0.5438509289,,958385914.269825,917380506.029384,,,,
2020-01-01,2020,"Q1","2019/20","Q3","January",184.98982360923,185.05338078292,183.45662407532,183.17991631799,2.63503375844,685.15,,,717.37593828047,,,3680.3797826087,3680.3797826087,3680.3797826087,124.45058616549,237.00954457141,354.28135802469,640.91767143591,0.55277202333,339.1412003664,632.73408415759,0.5359932535,,1000519972.5755,941149291.789518,,,,
2020-02-01,2020,"Q1","2019/20","Q3","February",185.32903663501,185.57871547195,183.82649630128,183.39748953975,2.98872180451,661.67,,,665.59868131824,,,3676.2995,3676.2995,3676.2995,122.45116438894,232.89306918546,350.60617283951,646.20731829646,0.54255989202,331.62389022181,623.727954658,0.53168033875,,1016669636.20126,1059173190.96509,,,,
2020-03-01,2020,"Q1","2019/20","Q3","March",185.56648575305,185.66344687341,183.60793544048,182.91213389121,2.11155750724,553.68,,,557.42071247725,,,3780.70022727273,3780.70022727273,3780.70022727273,101.84339157841,198.78478059046,337.3124691358,578.78532956163,0.58279374391,320.53298024716,591.04238597304,0.54231809402,,1028229758.66842,970504606.096633,,,,
2020-04-01,2020,"Q2","2019/20","Q4","April",186.90637720489,187.13777325877,185.25554808339,184.21757322176,2.64851254313,406.22,,,423.28000806059,,,3789.44613636364,3789.44613636364,3789.44613636364,86.89209419041,170.33537025681,267.95037037037,517.82279380817,0.51745572728,268.17396269329,528.32513341834,0.50759266544,,732808240.933064,790018106.462572,,,,
