"Date","Year","Quarter","FY","QFY","Month","RNNA","KPRIV_PCH","KPUBL_PCH","RNNA_PCH","KPRIV_GDP","KPRIV","PRIV_RINV_GDP","PRIV_RINV","KPUBL_GDP","KPUBL","PUBL_RINV_GDP","PUBL_RINV","RINV","RNNA_GDP","RINV_GDP"
1979-01-01,1979,"Q1","1978/79","Q3","January",30.2983474731445,1.81324708461761,2.51844668388367,1.92709863185883,252.047546386719,25.392406463623,21.418119430542,2.07072043418884,48.6968688964844,4.90594244003296,3.1227650642395,0.301911503076553,2.37263178825378,300.744384765625,24.540885925293
1980-01-01,1980,"Q1","1979/80","Q3","January",30.7919692993164,1.50087141990662,2.21020793914795,1.61607468128204,264.86376953125,25.776388168335,21.2775650024414,2.13309645652771,51.5373077392578,5.01558113098145,3.10227394104004,0.311006039381027,2.44410252571106,316.401062011719,24.3798389434814
1981-01-01,1981,"Q1","1980/81","Q3","January",31.4145240783691,1.91788339614868,2.43099451065063,2.00164175033569,259.959747314453,26.275520324707,21.104024887085,2.36040115356445,50.8432998657227,5.13900375366211,3.07697248458862,0.265025943517685,2.62542700767517,310.803039550781,24.1809959411621
1982-01-01,1982,"Q1","1981/82","Q3","January",32.2580604553223,2.86195349693298,1.55777406692505,2.64976119995117,248.167388916016,27.0383777618408,21.6645622253418,1.47485983371735,47.9080352783203,5.21968460083008,2.43249797821045,1.07270002365112,2.54755997657776,296.075408935547,24.0970592498779
1983-01-01,1983,"Q1","1982/83","Q3","January",33.0402565002441,-0.407632887363434,15.7796392440796,2.39587640762329,232.411392211914,26.9283847808838,12.7291049957275,1.92563962936401,52.7498817443848,6.11187362670898,9.25817489624023,0.439648598432541,2.36528825759888,285.161254882813,21.9872817993164
1984-01-01,1984,"Q1","1983/84","Q3","January",33.6570281982422,1.41452491283417,3.74382019042969,1.84951841831207,247.138717651367,27.3120002746582,17.4245796203613,1.74984109401703,57.4144058227539,6.34502840042114,3.97825837135315,0.636382520198822,2.38622355461121,304.553131103516,21.4028377532959
1985-01-01,1985,"Q1","1984/85","Q3","January",34.3117713928223,0.827989876270294,6.52268838882446,1.92665886878967,249.986175537109,27.5390796661377,15.8841934204102,1.76948261260986,61.4791450500488,6.77269077301025,5.77676630020142,0.923331916332245,2.69281435012817,311.46533203125,21.6609592437744
1986-01-01,1986,"Q1","1985/86","Q3","January",35.2672691345215,0.912016630172729,9.87837791442871,2.74668288230896,248.49821472168,27.791389465332,15.8219242095947,2.16571283340454,66.8460083007813,7.47588300704956,8.25602245330811,1.87899923324585,4.04471206665039,315.344177246094,24.0779457092285
1987-01-01,1987,"Q1","1986/87","Q3","January",37.5079917907715,2.16702103614807,19.7447528839111,6.15987110137939,238.672515869141,28.4002075195313,18.2004356384277,1.12432551383972,76.5409393310547,9.10778713226318,15.7909231185913,2.80843091011047,3.93275666236877,315.213439941406,33.9913597106934
1988-01-01,1988,"Q1","1987/88","Q3","January",39.4911575317383,-1.83028829097748,24.23948097229,5.15227603912354,217.362762451172,27.8851299285889,8.7640438079834,0.695727288722992,90.4682312011719,11.6060276031494,21.8915348052979,3.23097252845764,3.9266996383667,307.830993652344,30.6555824279785
