"Date","Year","Quarter","FY","QFY","Month","RTIC_RM_GDP","RTGSE_RM_GDP","RTGSG_RM_GDP","RTGS_RM_GDP","RTI_RM_GDP","RTII_RM_GDP","RT_RM_GDP","RG_RM_GDP","R_RM_GDP","RTT_RM_GDP","RTGSGV_RM_GDP"
2006-01-01,2006,"Q1","2005/06","Q3","January",0.706502020359039,2.19804382324219,2.69853162765503,5.2077808380127,2.34480261802673,1.19279420375824,9.04763507843018,3.4732928276062,13.0577764511108,1.06703460216522,2.69853162765503
2007-01-01,2007,"Q1","2006/07","Q3","January",0.646100699901581,2.16396450996399,2.74121379852295,5.19844055175781,2.41003155708313,1.22135519981384,9.19108772277832,2.4293520450592,12.4169387817383,1.04689061641693,2.74121379852295
2008-01-01,2008,"Q1","2007/08","Q3","January",0.55300760269165,2.10233211517334,2.69534659385681,4.96537399291992,2.23529028892517,1.17025804519653,8.54059791564941,1.91462516784668,10.9510011672974,0.950869202613831,2.69534659385681
2009-01-01,2009,"Q1","2008/09","Q3","January",0.46980208158493,1.88229191303253,2.41974353790283,4.46725177764893,2.10207271575928,1.13530659675598,7.96335935592651,1.80765104293823,10.1466016769409,0.91273444890976,2.41974353790283
2010-01-01,2010,"Q1","2009/10","Q3","January",0.586772978305817,1.90726840496063,2.47162771224976,4.56849098205566,2.42441010475159,1.22408246994019,8.29600524902344,2.03412008285522,10.7793378829956,0.783074975013733,2.47162771224976
2011-01-01,2011,"Q1","2010/11","Q3","January",2.32389760017395,1.70874309539795,2.25888514518738,4.15382719039917,4.11224746704102,1.19004940986633,7.80653524398804,1.28353261947632,11.1315994262695,0.778500139713287,2.25888514518738
2012-01-01,2012,"Q1","2011/12","Q3","January",0.7148557305336,1.8660591840744,2.47889637947083,4.50655794143677,3.0699565410614,1.28656482696533,8.30145835876465,1.45732653141022,10.7322826385498,0.804608762264252,2.47889637947083
2013-01-01,2013,"Q1","2012/13","Q3","January",0.714558184146881,1.75308775901794,2.81334805488586,4.73363494873047,2.90074968338013,1.43058693408966,8.93333435058594,1.11933839321136,10.1121492385864,0.900017917156219,2.81334805488586
2014-01-01,2014,"Q1","2013/14","Q3","January",0.538599729537964,1.94511246681213,2.84462952613831,5.02002096176147,2.89251041412354,1.54679071903229,9.46025276184082,0.777500987052917,10.8245897293091,0.976073920726776,2.84462952613831
2015-01-01,2015,"Q1","2014/15","Q3","January",1.7400586605072,2.21531772613525,3.244633436203,5.64962816238403,3.49200940132141,1.70803511142731,10.9394159317017,0.968896210193634,12.6094589233398,1.1050933599472,3.244633436203
2016-01-01,2016,"Q1","2015/16","Q3","January",0.816596031188965,2.20012259483337,3.36930298805237,5.7294774055481,3.64441514015198,1.72533965110779,10.8462295532227,1.09747171401978,12.4095306396484,1.2630627155304,3.36930298805237
2017-01-01,2017,"Q1","2016/17","Q3","January",0.783682465553284,2.33933019638062,3.42227435112,5.93924570083618,3.75058197975159,1.85390889644623,11.4212303161621,0.832502126693726,12.7332954406738,1.26775503158569,3.42227435112
2018-01-01,2018,"Q1","2017/18","Q3","January",1.71990585327148,2.33212280273438,3.50122141838074,6.01994800567627,3.65371751785278,1.88619804382324,11.8180551528931,0.609441220760345,13.1516752243042,1.34868538379669,3.50122141838074
