"Date","Year","Quarter","FY","QFY","Month","FD_FD_IX","FD_FIA_IX","FD_FID_IX","FD_FIE_IX","FD_FI_IX","FD_FMA_IX","FD_FMD_IX","FD_FME_IX","FD_FM_IX"
1997-01-01,1997,"Q1","1996/97","Q3","January",0.0758260115981102,0.0180502720177174,0.0455788932740688,0.446329206228256,0.148190811276436,0,0.00128101254813373,0,0.000487188051920384
1998-01-01,1998,"Q1","1997/98","Q3","January",0.0961525365710258,0.0194838270545006,0.048480611294508,0.58843857049942,0.188466981053352,0,0.00017572748765815,0,6.68317734380253e-05
1999-01-01,1999,"Q1","1998/99","Q3","January",0.0937105566263199,0.0180609077215195,0.0488518215715885,0.572401106357574,0.183683693408966,0,0.000162893964443356,0,6.19509883108549e-05
2000-01-01,2000,"Q1","1999/00","Q3","January",0.0931785777211189,0.0167429577559233,0.0474452823400497,0.572919487953186,0.182645112276077,0,0.000151007188833319,0,5.74302684981376e-05
2001-01-01,2001,"Q1","2000/01","Q3","January",0.0894624963402748,0.0166666638106108,0.048065323382616,0.545075654983521,0.175358951091766,0,0.00015031908696983,0,5.71685741306283e-05
2002-01-01,2002,"Q1","2001/02","Q3","January",0.0845726057887077,0.0188588891178369,0.0530829094350338,0.497992664575577,0.165763452649116,0,0.000170091079780832,0,6.4688159909565e-05
2003-01-01,2003,"Q1","2002/03","Q3","January",0.0935215428471565,0.0196998585015535,0.0568798147141933,0.555469989776611,0.183307439088821,0,0.000177675901795737,0,6.75727787893265e-05
2004-01-01,2004,"Q1","2003/04","Q3","January",0.0918076038360596,0.0184892695397139,0.0563609786331654,0.545808970928192,0.179950937628746,0,0.000166757425176911,0,6.34203170193359e-05
2005-01-01,2005,"Q1","2004/05","Q3","January",0.0899156481027603,0.0211279056966305,0.0593222007155418,0.523088097572327,0.176234856247902,0,0.000183528609341011,0,6.97986470186152e-05
2006-01-01,2006,"Q1","2005/06","Q3","January",0.0899141803383827,0.0224557891488075,0.0605210587382317,0.519030392169952,0.176230996847153,0,0.000186127886991017,0,7.07871877239086e-05
2007-01-01,2007,"Q1","2006/07","Q3","January",0.0884347781538963,0.0260802321135998,0.0671001449227333,0.491905927658081,0.17332336306572,0,0.000204121082788333,0,7.76302767917514e-05
2008-01-01,2008,"Q1","2007/08","Q3","January",0.0955351293087006,0.0360906608402729,0.0986734181642532,0.474031001329422,0.186537802219391,0,0.00206516496837139,0,0.00078541279071942
2009-01-01,2009,"Q1","2008/09","Q3","January",0.0782595276832581,0.0432015880942345,0.058820053935051,0.401562124490738,0.15266852080822,0,0.0020537634845823,0,0.000781076669227332
2010-01-01,2010,"Q1","2009/10","Q3","January",0.0814956203103065,0.045601774007082,0.0601013265550137,0.419031232595444,0.15897786617279,0,0.00214817910455167,0,0.00081698433496058
2011-01-01,2011,"Q1","2010/11","Q3","January",0.0926067978143692,0.0458837784826756,0.0660040527582169,0.489255279302597,0.180642187595367,0,0.00246958248317242,0,0.000939218851272017
2012-01-01,2012,"Q1","2011/12","Q3","January",0.0898031666874886,0.051102127879858,0.0609272867441177,0.469171941280365,0.175249233841896,0,0.00219520716927946,0,0.000834869802929461
