"Date","Year","Quarter","FY","QFY","Month","GDP_FY_US","GNI_FY_US","GNS_FY_US","CONS_FIX_CAP_FY_US","NNS_FY_US","EDU_EXP_FY_US","NNS_EDU_EXP_FY_US","NET_FOR_DEP_FY_US","ENERGY_DEP_FY_US","MIN_DEP_FY_US","TOT_NAT_CAP_DEP_FY_US","DAS_FY_US","CO2_DAM_FY_US","AIR_POLL_DAM_FY_US","POLL_DAM_FY_US","ANS_FY_US","NNI_FY_US","ANNS_FY_US","GDP_FY_UG","GNI_FY_UG","GNS_FY_UG","CONS_FIX_CAP_FY_UG","NNS_FY_UG","EDU_EXP_FY_UG","NNS_EDU_EXP_FY_UG","NET_FOR_DEP_FY_UG","ENERGY_DEP_FY_UG","MIN_DEP_FY_UG","TOT_NAT_CAP_DEP_FY_UG","DAS_FY_UG","CO2_DAM_FY_UG","AIR_POLL_DAM_FY_UG","POLL_DAM_FY_UG","ANS_FY_UG","NNI_FY_UG","ANNS_FY_UG"
2014-07-01,2014,"Q3","2014/15","Q1","July",32499.790493773,31812.3850904391,6784.13865535592,1943.61707026327,4840.52158509264,1685.36598520962,6525.88757030226,242.313357212565,0,21.5328360151476,263.846193227713,6262.04137707455,365.139219531636,466.327389616563,831.466609148198,5430.57476792635,29868.7680201758,29604.9218269481,94958.3309034514,92968.2644538498,19373.2172251836,5671.94490914584,13701.2723160378,4904.1962584457,18605.4685744835,707.67518192726,0,61.9326710996425,769.607853026902,17835.8607214566,1027.95327062496,1357.49708546225,2385.45035608721,15450.4103653694,87296.319544704,86526.711691677
2015-07-01,2015,"Q3","2015/16","Q1","July",30795.5862131814,30225.5592882738,6217.67293870811,1962.20199567915,4255.47094302896,1643.85557466279,5899.32651769175,244.035829318002,0,21.0401198366933,265.075949154696,5634.25056853706,542.013245497052,423.248534658514,965.261780155566,4668.98878838149,28263.3572925947,27998.28134344,102502.339376957,100607.510511886,20797.6481973462,6544.10588324312,14253.542314103,5481.2997686606,19734.8420827636,813.680844880382,0,70.3563381140626,884.037182994445,18850.8048997692,1832.65702934594,1408.4211766518,3241.07820599774,15609.7266937715,94063.404628643,93179.3674456486
2016-07-01,2016,"Q3","2016/17","Q1","July",29974.2312688433,29356.4779547302,7160.4591610194,2084.13952253945,5076.31963847996,1629.57323071535,6705.89286919531,254.131425561097,0,17.5888204154489,271.720245976546,6434.17262321876,710.861298960007,387.792145129265,1098.65344408927,5335.51917912949,27272.3384321908,27000.6181862142,105460.131586843,103278.081276498,25184.5442659274,7334.80928058009,17849.7349853473,5725.51363134468,23575.248616692,894.12708690624,0,61.2604891830053,955.387576089245,22619.8610406027,2486.92082753453,1362.52775932497,3849.4485868595,18770.4124537432,95943.2719959176,94987.8844198284
2017-07-01,2017,"Q3","2017/18","Q1","July",31835.7497305517,31010.8644594364,6438.4241980052,2300.48224528853,4137.94195271667,1570.47679567482,5708.41874839149,267.56097542551,0,11.5108531441308,273.316401997576,5435.10234639391,607.984265284799,376.314701236702,984.298966521501,4450.80337987241,28710.3822141479,28437.0658121503,116887.211623167,113854.326693474,23578.7395246061,8450.01538301819,15128.7241415879,5761.92991877424,20890.6540603621,982.236018452844,0,41.569847485177,1003.02094219543,19887.6331181667,2232.61836564539,1380.80403638233,3613.42240202772,16274.210716139,105404.311310456,104401.290368261
2018-07-01,2018,"Q3","2018/19","Q1","July",34137.5903575505,33216.468571409,5575.67211045715,2603.35167154481,2972.32043891234,1702.02330274965,4674.34374166198,281.693803606686,0,0,281.693803606686,4392.6499380553,645.282585421771,370.733244783162,1016.01583020493,3376.63410785036,30613.1168998641,30331.4230962575,126837.339073837,123414.484180916,20719.165706383,9671.86186014988,11047.3038462331,6322.76194586354,17370.0657920967,1046.65869699736,0,0,1046.65869699736,16323.4070950993,2397.68103121592,1377.64987766725,3775.33090888317,12548.0761862161,113742.622320766,112695.963623769
2019-07-01,2019,"Q3","2019/20","Q1","July",36474.261667652,35631.564665811,5147.92611012388,2950.42617109825,2197.49993902564,2047.77530619299,4245.27524521863,296.570084629237,0,0,303.818763319881,3941.45648189875,694.190417377677,366.361206094143,1060.55162347182,2880.90485842693,32681.1384947128,32377.3197313929,135355.310857519,132228.749598862,19100.1985459895,10949.6157843414,8150.58276164811,7600.15600258589,15750.738764234,1100.55576345681,0,0,1127.50303502608,14623.2357292079,2576.2443860219,1359.47835129728,3935.72273731918,10687.5129918887,121279.133814521,120151.630779495
2020-07-01,2020,"Q3","2020/21","Q1","July",39065.078491971,38236.9847314305,4163.41385878534,3309.15710334415,854.256755441193,2320.69767391899,3174.95442936019,312.151100834441,0,13.6304722392379,325.781573073679,2849.17285628651,681.720585269979,364.432928114164,1046.15351338414,1803.01934290236,34927.8276280864,34602.0460550127,142533.863553034,139514.289279248,15241.1525386762,12070.6080902429,3170.54444843333,8468.035949644,11638.5803980773,1139.17187122264,0,49.8240277014247,1188.99589892407,10449.5844991533,2492.43719971948,1330.66874692669,3823.10594664617,6626.47855250709,127443.681189005,126254.685290081
2021-07-01,2021,"Q3","2021/22","Q1","July",43047.5609802369,42119.4206242602,7865.85434293683,3629.16775417249,4236.68658876434,2245.56437784145,6482.25096660579,328.302736445029,0,13.2515491280803,341.55428557311,6140.69668103268,533.516560347505,367.954187297909,901.470747645414,5239.22593338726,38490.2528700877,38148.6985845146,156824.847167793,153444.284208221,28867.81905468,13217.6619480765,15650.1571066035,8165.10461547211,23815.2617220756,1195.41986870841,0,48.2603568099497,1243.68022551836,22571.5814965572,1936.55860859561,1339.5543586177,3276.11296721331,19295.4685293439,140226.622260144,138982.942034626
2022-07-01,2022,"Q3","2022/23","Q1","July",47419.1077150186,46447.9657880658,12557.6517991318,3937.65973698542,8619.99206214638,1932.31424400815,10552.3063061545,345.152479172293,0,12.2028191428241,357.355298315118,10194.9510078394,466.724937503473,370.267968074346,836.99290557782,9357.95810226159,42510.3060510804,42152.9507527653,175973.994338227,172370.614745691,46600.2791826548,14612.9162178392,31987.3629648157,7167.22685479172,39154.5898196074,1280.79827813252,0,45.2539778100842,1326.05225594261,37828.5375636648,1732.218955026,1373.81626706475,3106.03522209075,34722.502341574,157757.698527852,156431.646271909
2023-07-01,2023,"Q3","2023/24","Q1","July",51359.9457635854,50296.0899978069,13504.005709765,4293.80422599528,9210.20148376972,1684.21744349608,10894.4189272658,362.928870314581,0,6.88822574043067,369.817096055012,10524.6018312108,526.597469034392,360.161025735268,886.758494769661,9637.84333644112,46002.2857718117,45632.4686757566,193367.908239479,189360.73922511,50842.3956014499,16166.7287100595,34675.6668913904,6335.17559028412,41010.8424816745,1366.19996790156,0,25.7815102173829,1391.98147811894,39618.8610035555,1982.92326248757,1355.15271835599,3338.07598084356,36280.785022712,173194.010515051,171802.029036932
2024-07-01,2024,"Q3","2024/25","Q1","July",55604.1884757872,54410.767153306,15161.7565774477,4745.33923943302,10416.4173380147,1679.35189569539,12095.7692337101,381.686200117989,0,2.68536683495008,384.371566952939,11711.3976667572,588.789334075579,341.094687896599,929.884021972177,10781.513644785,49665.427913873,49281.05634692,214242.821749756,209644.967083043,58443.7434281448,18287.4408870273,40156.3025411175,6471.37918277692,46627.6817238944,1470.3768806605,0,10.3202137620722,1480.69709442257,45146.9846294718,2269.09322581931,1313.003733426,3582.09695924531,41564.8876702265,191357.526196016,189876.829101593
2025-07-01,2025,"Q3","2025/26","Q1","July",60860.9334632339,59599.0101209771,17991.8326961961,5281.61835886205,12710.2143373341,1927.65667779858,14637.8710151327,401.482103423075,0,2.51239447728037,403.994497900355,14233.8765172323,660.562063042304,319.904889906177,980.466952948481,13253.4095642838,54317.3917621151,53913.3972642147,238735.673541007,233786.299007346,70592.2208993311,20718.1072051906,49874.1136941404,7562.90362511695,57437.0173192574,1574.66026886607,0,9.85776327071604,1584.51803213678,55852.4992871206,2591.26170442167,1254.33859213381,3845.60029655548,52006.8989905651,213068.191802155,211483.673770018
2026-07-01,2026,"Q3","2026/27","Q1","July",67118.6742746135,65824.2884675409,22422.67753639,5812.96974652208,16609.707789868,2208.74462082659,18818.4524106945,422.377773952462,0,2.76437963884522,423.759963771885,18394.6924469227,743.521942368799,296.322290568945,1039.84423293774,17354.8482139849,60011.3187210188,59587.558757247,267298.805392677,262146.198741444,89361.316408459,23149.2162135967,66212.1001948623,8796.69807862525,75008.7982734875,1681.75827235439,0,10.8973651874871,1687.20695494813,73321.5913185394,2961.40168416663,1179.02731684759,4140.42900101422,69181.1623175252,238996.982527848,237309.7755729
2027-07-01,2027,"Q3","2027/28","Q1","July",73575.6295790676,72344.0863246363,29272.6578878194,6287.94645211293,22984.7114357065,,,444.438192752237,0,0,446.353785581472,,836.996125750869,266.691258423291,1103.68738417416,,66056.1398725234,65609.7860869419,299724.495991085,294713.840911163,119395.694920328,25612.0782795536,93783.6166407744,,,1810.05672938827,0,0,1817.95558222716,,3410.29786312969,1084.96999855028,4495.26786167998,,269101.76263161,267283.807049382
2028-07-01,2028,"Q3","2028/29","Q1","July",80389.8064948808,79509.8413201592,41045.4421513272,,,,,467.73237174463,0,3.16392047329249,470.896292217922,,942.965171919104,230.246778391684,1173.21195031079,,,,336519.712540145,332855.589481374,172170.031359419,,,,,1957.46459817384,0,13.1961289137637,1970.66072708761,,3948.24958997745,961.994929086421,4910.24451906387,,,
