"Date","Year","Quarter","FY","QFY","Month","OUT_14","OUT_GPS_14","OUT_GPS_DBT_14","OUT_GPS_TRF_14","OUT_DEF_14","OUT_POS_14","OUT_EA_14","OUT_EA_ECL_14","OUT_EA_AGR_14","OUT_EA_EFU_14","OUT_EA_MMC_14","OUT_EA_TRA_14","OUT_EA_COM_14","OUT_EP_14","OUT_HC_14","OUT_HEA_14","OUT_HEA_OP_14","OUT_HEA_HP_14","OUT_HEA_PH_14","OUT_REC_14","OUT_EDU_14","OUT_EDU_PRI_14","OUT_EDU_SEC_14","OUT_EDU_TER_14","OUT_SOC_14"
2003-09-01,2003,"Q3","2003/04","Q1","September",236.816339659709,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-01,2003,"Q4","2003/04","Q2","October",253.619102959708,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-01,2003,"Q4","2003/04","Q2","November",255.714886159709,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-01,2003,"Q4","2003/04","Q2","December",243.903127159709,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-01,2004,"Q1","2003/04","Q3","January",234.027669359709,,,,,,,,,,,,,,,,,,,,,,,,
2004-02-01,2004,"Q1","2003/04","Q3","February",252.780339959709,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-01,2004,"Q1","2003/04","Q3","March",226.088004159709,,,,,,,,,,,,,,,,,,,,,,,,
2004-04-01,2004,"Q2","2003/04","Q4","April",262.105755959709,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-01,2004,"Q2","2003/04","Q4","May",273.001673259709,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-01,2004,"Q2","2003/04","Q4","June",393.397656643207,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-01,2004,"Q3","2004/05","Q1","July",191.9585576088,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-01,2004,"Q3","2004/05","Q1","August",237.334721992494,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-01,2004,"Q3","2004/05","Q1","September",217.557085911792,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-01,2004,"Q4","2004/05","Q2","October",256.790309322781,,,,,,,,,,,,,,,,,,,,,,,,
2004-11-01,2004,"Q4","2004/05","Q2","November",304.501470154701,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-01,2004,"Q4","2004/05","Q2","December",247.660571898435,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-01,2005,"Q1","2004/05","Q3","January",285.274424511821,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-01,2005,"Q1","2004/05","Q3","February",288.293276201924,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-01,2005,"Q1","2004/05","Q3","March",248.203282579018,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-01,2005,"Q2","2004/05","Q4","April",225.153678497136,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-01,2005,"Q2","2004/05","Q4","May",374.977802245122,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-01,2005,"Q2","2004/05","Q4","June",338.211377955172,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-01,2005,"Q3","2005/06","Q1","July",200.710517653172,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-01,2005,"Q3","2005/06","Q1","August",296.459134062636,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-01,2005,"Q3","2005/06","Q1","September",246.283985013338,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-01,2005,"Q4","2005/06","Q2","October",289.170893162966,,,,,,,,,,,,,,,,,,,,,,,,
2005-11-01,2005,"Q4","2005/06","Q2","November",322.768048804416,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-01,2005,"Q4","2005/06","Q2","December",262.921359806267,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,2006,"Q1","2005/06","Q3","January",299.9286808891,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-01,2006,"Q1","2005/06","Q3","February",326.678137123465,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-01,2006,"Q1","2005/06","Q3","March",265.518095258318,,,,,,,,,,,,,,,,,,,,,,,,
2006-04-01,2006,"Q2","2005/06","Q4","April",285.675966694912,,,,,,,,,,,,,,,,,,,,,,,,
2006-05-01,2006,"Q2","2005/06","Q4","May",338.540099362657,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-01,2006,"Q2","2005/06","Q4","June",353.145082168754,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-01,2006,"Q3","2006/07","Q1","July",189.855090878412,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-01,2006,"Q3","2006/07","Q1","August",341.170420981089,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-01,2006,"Q3","2006/07","Q1","September",262.651805535533,,,,,,,,,,,,,,,,,,,,,,,,
