"Date","Year","Quarter","FY","QFY","Month","GECE_G14_XDC","GEKC_G14_XDC","GX_G14_XDC","GE_G14_XDC","GEXFC_G14_XDC","GEG_G14_XDC","GRG_G14_XDC","GXCBG_G14_XDC","GEI_G14_XDC","GXMIG_G14_XDC","GADAF_T_G14_XDC","GALW_G14_XDC","GADL_T_G14_XDC","GXOB_G14_XDC","GXCBN_G14_XDC","GANW_G14_XDC","GADAN_T_G14_XDC","GEO_G14_XDC","GRO_G14_XDC","GXOPB_G14_XDC","GR_G14_XDC","GES_G14_XDC","GRS_G14_XDC","GAAF_G14_XDC","GAL_G14_XDC","GAAN_G14_XDC","GEST_G14_XDC","GRT_G14_XDC","GEGS_G14_XDC","GECE_G14_GDP_PT","GEKC_G14_GDP_PT","GX_G14_GDP_PT","GE_G14_GDP_PT","GEXFC_G14_GDP_PT","GEG_G14_GDP_PT","GRG_G14_GDP_PT","GXCBG_G14_GDP_PT","GEI_G14_GDP_PT","GXMIG_G14_GDP_PT","GADAF_T_G14_GDP_PT","GALW_G14_GDP_PT","GADL_T_G14_GDP_PT","GXOB_G14_GDP_PT","GXCBN_G14_GDP_PT","GANW_G14_GDP_PT","GADAN_T_G14_GDP_PT","GEO_G14_GDP_PT","GRO_G14_GDP_PT","GXOPB_G14_GDP_PT","GR_G14_GDP_PT","GES_G14_GDP_PT","GRS_G14_GDP_PT","GAAF_G14_GDP_PT","GAL_G14_GDP_PT","GAAN_G14_GDP_PT","GEST_G14_GDP_PT","GRT_G14_GDP_PT","GEGS_G14_GDP_PT"
2008-01-01,2008,"Q1","2007/08","Q3","January",471.756598290421,,4317.96138169143,3759.82881282959,3759.82881282959,1747.3161545936,738.481658401722,225.48124061413,309.405532901279,558.132568861839,882.31066261916,-1657.86453147884,753.835649811196,-332.651328247709,,,558.132568861839,16.042794130727,85.727433593,-23.24579534643,3985.31005344372,78.497214859,0,6473.62185616616,8131.486387645,,87.413855,3161.100961449,1049.39666305456,1.22310022383667,,11.1949669630558,9.74792399136392,9.74792399136392,4.53018100338514,1.91462522191236,0.584594167554883,0.802180569215669,1.44704297169194,2.28752363581914,-4.29826416183868,1.95443276333896,-0.862448804137053,,,1.44704297169194,0.0415933665016344,0.222261317799295,-0.0602682349213836,10.3325181589188,0.203515883853081,0,16.7838422822364,21.0821064440751,,0.226633619973465,8.19563161920715,2.72071932459825
2009-01-01,2009,"Q1","2008/09","Q3","January",591.350392367575,,4948.96965494375,4173.62389165432,4173.62389165432,1692.69225996959,884.809005711474,497.79608074716,357.867665871759,775.345763289431,424.33855253433,-2848.33267006951,1027.52229016985,-277.549682542271,,,775.345763289431,59.9527922807323,124.292639248,80.317983329488,4671.41997240148,79.027738973,0,7128.92945573849,9977.262125808,,92,3662.318327442,1300.73304219166,1.20811962157305,,10.1106677595484,8.52664846705549,8.52664846705549,3.45814386689873,1.80765098821499,1.01698962316573,0.731118055634059,1.58401929249291,0.866917039581454,-5.81909918703422,2.09921200083732,-0.567029669327186,,,1.58401929249291,0.122482618862328,0.25392792197434,0.164088386306873,9.54363809022121,0.161452437225219,0,14.5642916068859,20.3833907939201,,0.187954564027131,7.48205918003187,2.65737730283497
2010-01-01,2010,"Q1","2009/10","Q3","January",706.078443987644,,6785.4871806245,5694.23039380051,5694.23039380051,2201.08487817869,1093.29888486312,-281.39159852739,385.123382092945,1091.25678682399,265.524461254008,-3257.5017525755,1790.10765369214,-1372.64838535138,,,1091.25678682399,218.075967818403,113.852494653,-987.525003258435,5412.83879527312,222.417719409,0,8022.9797416665,11280.481494242,,87.4,4205.687415757,1874.05000231383,1.3136831956308,,12.6246319502577,10.5943112186509,10.5943112186509,4.09519401313293,2.03412012514534,-0.523538733585231,0.716535279625186,2.03032073160674,0.494017379723912,-6.06069389107595,3.33055677177223,-2.55385946519197,,,2.03032073160674,0.405737828046444,0.211826476618665,-1.83732418556678,10.0707724850657,0.413815806000223,0,14.9270293623326,20.9877232534085,,0.162610701793555,7.8248258833017,3.4867343944218
2011-01-01,2011,"Q1","2010/11","Q3","January",985.04963155833,,8809.25095963839,7408.79336694638,7408.79336694638,2644.69537777916,890.502064507041,-116.3201377789,423.545106548874,1400.45759269201,1681.91054186101,-6944.30895834881,3348.59634601028,-1516.77773047091,,,1400.45759269201,252.085375714722,95.06182176,-1093.23262392204,7292.47322916748,203.206187869,0,9740.00214060951,16684.3110989583,,184,6306.90934290044,2716.21168747629,1.41980949791483,,12.6972873054359,10.6787260798604,10.6787260798604,3.81195372919638,1.28353257398786,-0.167659000243445,0.610480270036861,2.01856122557548,2.424235780079,-10.0092376055418,4.82652725754231,-2.18622022581892,,,2.01856122557548,0.363345357694291,0.137018149238242,-1.57573995578206,10.511067079617,0.29289293283126,0,14.0388332789598,24.0480708845015,,0.265209933841652,9.0905163563909,3.91503435834516
2012-01-01,2012,"Q1","2011/12","Q3","January",1199.02852968097,,9023.81904476447,7176.94058125231,7176.94058125231,2783.04226772505,1129.25317561354,586.49842846023,603.302231099294,1846.87846351216,2759.61055946285,-7520.02493640263,3688.6,-1260.38003505193,,,1846.87846351216,202.564332275169,105.910946166,-657.077803952636,7763.43900971254,201.058788564,0,12214.4643526804,19734.489289083,,186.767526565,6528.274887933,2001.17690534283,1.5473731799517,,11.6454406421181,9.26200260847139,9.26200260847139,3.59157839630014,1.4573265223177,0.756889361527243,0.778575045296425,2.38343803364671,3.56133925183622,-9.70476065507257,4.76022093743547,-1.62654867211946,,,2.38343803364671,0.261413808944829,0.136680448799814,-0.847973626823038,10.0188919699986,0.259470871056164,0,15.7630398935066,25.4678005485791,,0.24102767727261,8.42488499888112,2.58256362964953
2013-01-01,2013,"Q1","2012/13","Q3","January",1403.16,,,7454.19,7454.19,2879.34,936.181,822.33,889.701,,,,,,,,,283.708,190.859,,8276.52,260.307,0,,,,29.021411552,7149.48,1708.95,1.67767853940242,,,8.91255066537537,8.91255066537537,3.44266293626027,1.11933833112139,0.983213171204132,1.06376484091969,,,,,,,,,0.339213505984194,0.228199241962289,,9.8957638365795,0.311234262348004,0,,,,0.0346992497961429,8.54822626349582,2.04329423580473
2014-01-01,2014,"Q1","2013/14","Q3","January",1516.31540786576,,11642.8453336438,8582.94952712265,8582.94952712265,3257.36374369138,702.487644142436,287.4633826245,970.137508981404,3059.89580652112,-4433.90280819699,-13510.999276482,-1936.33649371173,-2772.43242389662,,,3059.89580652112,415.013079132119,136.892502689,-1802.29491491522,8870.41290974715,228.712847956,0,7206.797926065,20717.797202547,,35.73,8031.03276291571,2159.67693949599,1.67823114913423,,12.8860958624533,9.49945715327016,9.49945715327016,3.60519273916613,0.777500934281959,0.318159401700571,1.07373108396206,3.38663870918311,-4.90736542433703,-14.9537356964782,-2.14310307874948,-3.06847930748253,,,3.38663870918311,0.459329156113997,0.151510207509518,-1.99474822352047,9.81761655497073,0.253135346152825,0,7.97635683334625,22.9300925298245,,0.0395453338055605,8.88860541317924,2.39029234493535
2015-01-01,2015,"Q1","2014/15","Q3","January",1762.87265509104,,12918.7639773453,9698.43647155092,9698.43647155092,3666.62768441017,930.808889875368,1346.35475299208,1212.9513001813,3220.32750579443,-1327.34045007661,-16483.445,1316.32801530847,-1873.97275280235,,,3220.32750579443,238.214561192312,221.492956245,-661.02145262105,11044.791224543,244.243168968,0,6301.581,23625.76,,68,9892.48937842267,2505.52710170809,1.80603693790702,,13.2350824478489,9.93590459128257,9.93590459128257,3.75640578261466,0.953599928158353,1.37932051325897,1.24265065073384,3.29917785656637,-1.35984064140622,-16.8870453846942,1.34855856501226,-1.9198573433074,,,3.29917785656637,0.244047291458162,0.226916254733122,-0.677206692573558,11.3152251045415,0.250223510877984,0,6.45587644708534,24.2042413687122,,0.0696649933408462,10.1347089216501,2.56687542435006
2016-01-01,2016,"Q1","2015/16","Q3","January",1970.22599852688,,15075.4616708926,11567.3630159843,11567.3630159843,4084.85749892604,1147.20911433931,1079.8151338865,1681.78611426471,3508.09865490828,1530.16739420136,,4271.59987125852,-2428.28352102178,,,3508.09865490828,220.354576170442,319.4122128777,-746.49740675707,12647.1781498708,157.714541266,0,,,,55.70940032,11180.5568226538,3396.71488651023,1.90549628957018,,14.5801731877062,11.1873294350748,11.1873294350748,3.95065378969026,1.10951876199436,1.04433894009159,1.62653279521138,3.39284375263139,1.4798953491894,,4.13126093722112,-2.3485048125398,,,3.39284375263139,0.213115057661675,0.308918259599118,-0.721972017328424,12.2316683751664,0.152532995411859,0,,,,0.0538791263963171,10.8132313535729,3.28511938113314
2017-01-01,2017,"Q1","2016/17","Q3","January",2150.88498591173,,16712.4130791966,12133.3157362867,12133.3157362867,4334.90846469353,949.743399543687,1763.231770104,2360.22698391049,4579.09734290992,850.976437186751,-27242.248910927,3337.61955737386,-2815.86557280592,,,4579.09734290992,457.537585290488,353.58532345021,-455.63858889543,13896.5475063907,173.620195536,0,9468.636796741,36710.885707668,,95.959401642,12593.2187833968,2560.17811930244,1.88548422622789,,14.6502446432174,10.6361686387029,10.6361686387029,3.80001793952587,0.8325532097406,1.54566409245065,2.06899521714514,4.01407600451446,0.74597324344012,-23.8807890449586,2.92578592988346,-2.46841191206382,,,4.01407600451446,0.40108137144578,0.309955927145245,-0.399416694918677,12.1818327311535,0.152196952501841,0,8.30028822604316,32.1810772710018,,0.0841188344980539,11.0393235942677,2.24427409735829
2018-01-01,2018,"Q1","2017/18","Q3","January",2412.25902111922,,18500.2905549836,14003.7018808428,14003.7018808428,3386.2,774.197566477742,1277.4250480824,2260.48852020451,4496.58867414076,409.326140114684,-26977.629569699,3563.74376462989,-3219.16362605836,,,4496.58867414076,2367.55614636232,430.851071475,-958.67510585385,15281.1269289252,1.2795597271306,0,14468.485402692,41446.114972391,,0,14076.0782909725,3575.91863342964,1.90031433836397,,14.5740432920936,11.0317487638592,11.0317487638592,2.66755947691823,0.609892521252357,1.00632192223287,1.78075352150978,3.54229452823441,0.322456388935469,-21.2522684494241,2.8074237944146,-2.53597260600154,,,3.54229452823441,1.86509858701932,0.339413164861352,-0.755219084491768,12.038070686092,0.00100800356635466,0,11.3978930224453,32.6501614718694,,0,11.0887649999783,2.81701483648152
2019-01-01,2019,"Q1","2018/19","Q3","January",2788.18542657515,,22420.3896261237,16645.7075906609,16645.7075906609,6157.13396554971,1201.55304165008,1193.6367692952,2525.28522492222,5774.6820354628,-215.547441253957,-32573.936632436,4082.43234695993,-4581.0452661676,,,5774.6820354628,506.849729278751,474.785234853,-2055.76004124538,17839.3443599561,1.0133048615544,0,17660.607308488,50234.543940924,,0,16163.006083453,4667.23993947348,1.99038100738501,,16.0050752954489,11.882746365127,11.882746365127,4.39534701965957,0.857743653155686,0.852092523214951,1.80270641328514,4.12232893032188,-0.153871234378159,-23.2533117026591,2.9142953441602,-3.27023640710693,,,4.12232893032188,0.361821012741554,0.338931372724028,-1.46752999382179,12.734838888342,0.000723360337481636,0,12.6072452106879,35.8605569133471,,0,11.5381638624623,3.33176755171825
2020-01-01,2020,"Q1","2019/20","Q3","January",3256.60387344081,,27167.0458290665,18634.1065774727,18634.1065774727,7429.29694981233,1156.38571035215,-191.8592346348,2932.36445424319,8532.93925159379,204.090830872706,-35827.849997065,8680.88249263516,-8724.79848622859,,-32271.653695864,8532.93925159379,830.601338169192,1373.654382879,-5792.4340319854,18442.2473428379,0.2706445,0,25394.019290915,61221.86928798,3556.196301201,0,15912.2072496067,4184.96931730717,2.30663805632424,,19.2422978730355,13.1984549081147,13.1984549081147,5.26213802542238,0.819062861480161,-0.13589304357066,2.0769807161174,6.04384296492081,0.144556628847961,-25.3767069902149,6.14863050532295,-6.17973600849147,,-22.8578689482264,6.04384296492081,0.588311237937154,0.972953297030117,-4.10275529237406,13.0625618645441,0.000191696297030825,0,17.9864710526086,43.3631780428235,2.51883804198847,0,11.2705457060338,2.96419517601653
2021-01-01,2021,"Q1","2020/21","Q3","January",3674.36993923576,,33771.1197386535,22518.0609709703,22518.0609709703,8711.98519868682,1953.77421186087,-725.5113163567,4055.55837506668,11253.0587676832,2527.3649549454,-47118.616147107,13890.2540458256,-11978.5700840399,,-42924.868916572,11253.0587676832,654.906811019665,1360.99941997317,-7923.01170897322,21792.5496546136,0.509714763,0,28000.3622636,75118.978410707,4193.747230535,0,18477.7760227796,5420.73093219838,2.39508381899563,,22.0132060116506,14.6780657251799,14.6780657251799,5.67877898136848,1.27353888644435,-0.472913844561217,2.64355587536042,7.33514028647064,1.64742554734305,-30.7135745648068,9.05415710912739,-7.80805413103185,,-27.9799423233833,7.33514028647064,0.426891339729791,0.887147386449108,-5.16449825567144,14.2051518806187,0.000332250045954385,0,18.251622915659,48.9651974804658,2.73363224142348,0,12.0444656077253,3.53342345967968
2022-01-01,2022,"Q1","2021/22","Q3","January",3799.10852134951,,34098.6137212421,25392.5191979678,25392.5191979678,10008.1108904725,1161.96449392822,-2400.2215061456,4966.430046357,8706.09452327427,-1428.13961303972,-54956.54240257,8123.51304864643,-11106.3160294199,,-50229.568823233,8706.09452327427,931.561790380649,1405.370620646,-6139.88598306287,22992.2976918222,1.6875298,0,31656.518038447,86613.060441017,4726.973579337,0,20424.9625772479,5685.62041960822,2.17041065884536,,19.4803581567987,14.5066122782478,14.5066122782478,5.71758096130192,0.66382418629248,-1.37123388585851,2.83729528873635,4.97374587855089,-0.815888627829891,-31.3963827917859,4.64092015507591,-6.34497976440941,,-28.6958877195817,4.97374587855089,0.532196337075685,0.802880822576425,-3.50768447567305,13.1353783923893,0.000964076873418228,0,18.0852017746968,49.4815845664827,2.70049507220423,0,11.6686733835204,3.24816495541514
2023-01-01,2023,"Q1","2022/23","Q3","January",4296.93923858548,6.520548539,35748.7173947758,28733.0520013834,28726.5314528444,11550.3309200696,1028.21565926473,-2131.170672794,5911.732775421,7022.18594193144,1283.75864510814,-63938.596744511,10389.2885752665,-9153.35661472544,-2137.691221333,-40501.7839468009,7015.66539339244,693.247089536633,1834.46537251563,-3241.62383930444,26595.3607800504,548.496366353313,0,31662.509958665,95601.106703176,23436.8127977101,2.4004,23732.67974827,5723.38466287838,2.25704475734481,0.00342503560739367,18.7776579322172,15.0925532760354,15.089128240428,6.06701942970054,0.54008880142491,-1.11943579533142,3.10524415792761,3.68852969178924,0.674317359114262,-33.5848999860862,5.45716101842456,-4.80796548712066,-1.12286083093881,-21.2742917794509,3.68510465618185,0.364140524709465,0.963585990322268,-1.70272132919305,13.9696924450966,0.288107599238001,0,16.6313038510891,50.2162038371753,12.3106082066352,0.00126085335042205,12.4660176533494,3.00631091815714
