"Date","Year","Quarter","FY","QFY","Month","REV_GRA","REV","REV_URA","REV_NURA","REV_OIL","GRA","GRA_BUD","GRA_PRO","EXP_LEN","EXP_CU","EXP_CU_W","EXP_CU_I","EXP_CU_I_DOM","EXP_CU_I_EXT","EXP_CU_OTH","EXP_DEV","EXP_DEV_DOM","EXP_DEV_EXT","NLP","NLP_HPP","NLP_HPP_GOU","NLP_HPP_EXBK","NLP_BOU","PAY_ARR_DOM","BAL_DOM","BAL_PRI","BAL_FIS_NGRA","BAL_FIS","FIN","FIN_EXT","FIN_EXT_DEP","FIN_EXT_DIS","FIN_EXT_DIS_BUD","FIN_EXT_DIS_PRO","FIN_EXT_AMO","FIN_DOM","FIN_DOM_BK","FIN_DOM_NBK","EAO"
1999-03-01,1999,"Q1","1998/99","Q3","March",171.098145288333,82.546050075,82.181594075,0.364456,0,88.5520952133333,68.11876188,20.4333333333333,138.363223451824,78.51133014,31.219943,8.73460514,2.574636,6.15996914,38.556782,49.0897436598244,11.035811,38.0539326598244,0.014112,,,,,10.748037652,-11.603271577,41.469526976509,-55.8171733768244,32.734921836509,-32.734921836509,3.56316167649104,0,17.620599326491,0,17.620599326491,-14.05743765,-8.94317600000013,-10.9277900000001,1.98461399999999,-27.3549075129999
1999-04-01,1999,"Q2","1998/99","Q4","April",116.899348415333,81.461309582,77.544326512,3.91698307,0,35.4380388333333,15.0047055,20.4333333333333,133.587495639824,73.5602616,28.707147,4.6258096,1.697355,2.9284546,40.227305,43.0101826598244,4.95625,38.0539326598244,0.387705,,,,,16.62934638,-11.143798798,-12.062337624491,-52.1261860578244,-16.688147224491,16.688147224491,12.620475936491,0,17.620599326491,0,17.620599326491,-5.00012339,-18.607386,-24.6974,6.09001400000003,22.675057288
1999-05-01,1999,"Q2","1998/99","Q4","May",98.9976492783333,73.399817945,71.160031945,2.239786,0,25.5978313333333,5.164498,20.4333333333333,136.247170209824,74.6861957,30.770995,3.6694187,0.920083,2.7493357,40.245782,49.1552676598244,11.101335,38.0539326598244,0.463573,,,,,11.94213385,-22.044083905,-33.5801022314911,-62.8473522648244,-37.2495209314911,37.2495209314911,41.141848626491,0,51.645527326491,34.024928,17.620599326491,-10.5036787,7.02131299999997,5.36829999999996,1.65301300000001,-10.9136406949999
1999-06-01,1999,"Q2","1998/99","Q4","June",121.393494271333,98.623388938,93.660215938,4.963173,0,22.7701053333333,2.336772,20.4333333333333,182.953212459824,87.664718,31.586918,6.110302,2.98408,3.126222,49.967498,88.0945606598244,50.040628,38.0539326598244,0.237066,,,,,6.9568678,-43.149668862,-55.4494161884911,-84.3298235218244,-61.5597181884911,61.5597181884911,53.574463326491,0,52.987959326491,35.36736,17.620599326491,0.586504,-16.4599245999996,-65.4302999999996,48.9703754,24.4451794619996
1999-07-01,1999,"Q3","1999/00","Q1","July",117.854358694,79.730109994,79.421200994,0.308909,0,38.1242487,12.1742487,25.95,107.177855633333,57.6472453,27.043838,5.4053873,0.852771,4.5526163,25.19802,45.8503003333333,3.241967,42.6083333333333,0.243185,,,,,3.437125,19.713203994,16.0818903606667,-27.4477456393333,10.6765030606667,-10.6765030606667,12.6068896831875,0,19.5012670831875,0,19.5012670831875,-6.8943774,-41.5311680000001,-2.1369000000001,-39.394268,18.2477752561459
1999-08-01,1999,"Q3","1999/00","Q1","August",106.183561,74.409229,71.610331,2.798898,0,31.774332,5.824332,25.95,147.282718333333,74.792307,26.090223,11.575802,1.171028,10.404774,37.126282,61.3431443333333,18.734811,42.6083333333333,-0.96585,,,,,12.113117,-19.860382,-29.5233553333333,-72.8734893333333,-41.0991573333333,41.0991573333333,10.5598930831875,0,19.5012670831875,0,19.5012670831875,-8.941374,47.4419239999999,49.4937999999999,-2.05187600000001,-16.902659749854
1999-09-01,1999,"Q3","1999/00","Q1","September",111.7371662,77.1056468,76.9911758,0.114471,0,34.6315194,8.6815194,25.95,132.364609633333,72.8118533,32.992724,11.8938783,4.897946,6.9959323,27.925251,53.6754703333333,11.067137,42.6083333333333,0.227528,,,,,5.649758,-5.65469720000002,-8.73356513333335,-55.2589628333334,-20.6274434333334,20.6274434333334,11.8489999831875,0,19.5012670831875,0,19.5012670831875,-7.6522671,22.8471999999998,36.7463999999998,-13.8992,-14.068756549854
1999-10-01,1999,"Q4","1999/00","Q2","October",109.285461818,74.213271818,73.747402818,0.465869,0,35.07219,9.12219,25.95,120.360159333333,65.705631,25.156854,6.867931,2.510389,4.357542,33.680846,49.7857323333333,7.177399,42.6083333333333,2.615229,,,,,2.253567,0.818987818000004,-4.20676651533333,-46.1468875153333,-11.0746975153333,11.0746975153333,13.9977970831875,0,19.5012670831875,0,19.5012670831875,-5.50347,9.81500200000045,24.7695550000005,-14.954553,-12.7381015678546
1999-11-01,1999,"Q4","1999/00","Q2","November",140.749168025,76.654358225,76.224998225,0.42936,0,64.0948098,38.1448098,25.95,158.751266333333,91.019085,37.366874,5.317786,1.258228,4.059558,48.334425,60.9958383333333,18.387505,42.6083333333333,1.968733,,,,,4.76761,-35.429016775,-12.6843123083333,-82.0969081083333,-18.0020983083333,18.0020983083333,13.0360450831875,0,19.5012670831875,0,19.5012670831875,-6.465222,15.4088329999996,6.68703899999957,8.72179400000004,-10.4427797748538
1999-12-01,1999,"Q4","1999/00","Q2","December",169.623331617,101.003183617,100.797871617,0.205312,0,68.620148,42.670148,25.95,171.450255833333,86.2814165,31.122057,7.9204665,1.685216,6.2352505,47.238893,63.2686673333333,20.660334,42.6083333333333,0.221349,,,,,21.678823,-21.603488383,6.09354228366666,-70.4470722163334,-1.82692421633334,1.82692421633334,9.85540968318751,0,19.5012670831875,0,19.5012670831875,-9.6458574,13.2267090000001,11.9607060000001,1.266003,-21.2551944668543
2000-01-01,2000,"Q1","1999/00","Q3","January",107.852599997,77.203289997,76.675525997,0.527764,0,30.64931,4.69931,25.95,132.664608833333,66.5914755,31.867768,6.5108435,1.613186,4.8976575,28.212864,54.9233813333333,12.315048,42.6083333333333,1.208285,,,,,9.941467,-7.95532800300001,-18.3011653363333,-55.4613188363333,-24.8120088363333,24.8120088363333,22.7511145831875,0,19.5012670831875,0,19.5012670831875,3.2498475,50.28629,47.2908,2.99548999999999,-48.2253957468542
2000-02-01,2000,"Q1","1999/00","Q3","February",106.511798897,75.714817197,74.197330197,1.517487,0,30.7969817,4.8469817,25.95,152.289832233333,79.5623079,32.479697,8.4422299,1.711155,6.7310749,38.640381,58.3318473333333,15.723514,42.6083333333333,1.316952,,,,,13.078725,-27.235606803,-37.3358034363333,-76.5750150363333,-45.7780333363333,45.7780333363333,11.0836248831875,0,19.5012670831875,0,19.5012670831875,-8.4176422,44.3402699999998,45.8633999999998,-1.52313000000001,-9.64586154685404
2000-03-01,2000,"Q1","1999/00","Q3","March",128.641635,85.844154,85.485855,0.358299,0,42.797481,16.847481,25.95,151.163833499333,81.994293166,31.477498729,8.634933,2.14116,6.493773,41.881861437,63.1493313333333,20.540998,42.6083333333333,1.230401,,,,,4.789808,-16.217573166,-13.8872654993333,-65.3196794993333,-22.5221984993333,22.5221984993333,3.41063608318751,0,19.5012670831875,0,19.5012670831875,-16.090631,-20.8281278339999,-15.7385669999999,-5.08956083399999,39.9396902501457
2000-04-01,2000,"Q2","1999/00","Q4","April",199.982882084,98.853759884,77.577761884,21.275998,0,101.1291222,75.1791222,25.95,140.363564333333,83.35363,27.408253,10.846153,7.107796,3.738357,45.099224,56.6361443333333,14.027811,42.6083333333333,-2.805325,,,,,3.179115,4.836885884,70.4654707506667,-41.5098044493333,59.6193177506667,-59.6193177506667,71.2736968831875,0,78.2468770831875,58.74561,19.5012670831875,-6.9731802,-139.370239,-159.24114,19.870901,8.47722436614589
2000-05-01,2000,"Q2","1999/00","Q4","May",135.200098567,87.576614567,87.048633567,0.527981,0,47.623484,21.673484,25.95,181.111570333333,94.617479,35.68816,6.681397,2.24244,4.438957,52.247922,66.5419338333333,23.9336005,42.6083333333333,1.430205,,,,,18.5219525,-46.487665433,-39.2300747663333,-93.5349557663334,-45.9114717663333,45.9114717663333,10.2758190831875,0,19.5012670831875,0,19.5012670831875,-9.225448,80.7686520000003,63.0293480000003,17.739304,-45.1329993168544
2000-06-01,2000,"Q2","1999/00","Q4","June",143.24102634388,101.950010559,98.226818559,3.723192,0,41.29101578488,15.34101578488,25.95,781.368273133333,122.8131608,35.19393,5.2544948,2.373846,2.8806488,82.364736,139.715443275333,97.107109942,42.6083333333333,476.44586,,,,,42.393809058,-633.929280441,-632.872751989453,-679.418262574333,-638.127246789453,638.127246789453,15.5247192831875,0,19.5012670831875,0,19.5012670831875,-3.9765478,511.050447834,433.331352,77.719095834,111.552079672266
2000-07-01,2000,"Q3","2000/01","Q1","July",135.35712775543,84.936583,84.077604,0.858979,0,50.4205447554301,15.485274,34.9352707554301,114.0010483135,60.8935374666667,31.659935,4.4348618,2.295659,2.1392028,24.7987406666667,52.7327378468333,6.409466,46.3232718468333,0.320067,,,,,0.054706,19.3980093333334,25.7909412419302,-29.0644653134999,21.3560794419302,-21.3560794419302,11.2608932914032,0,17.4550010914032,0,17.4550010914032,-6.1941078,-42.425486,2.77640700000003,-45.201893,9.80851326666659
