"Date","Year","Quarter","FY","QFY","Month","EXP_IDPD_SEC","EXP_IDPD_RAW","EXP_IDPD_AGR","EXP_IDPD_EDU","EXP_IDPD_HEA","EXP_IDPD_WAE","EXP_IDPD_JLO","EXP_IDPD_ACC","EXP_IDPD_EAM","EXP_IDPD_TTI","EXP_IDPD_LHUD","EXP_IDPD_SD","EXP_IDPD_ICT","EXP_IDPD_PSM","EXP_IDPD_PAD","EXP_IDPD_PARL","EXP_IDPD_STD","EXP_IDPD_TOU","EXP_IDPD_LGOV","EXP_IDPD_I","EXP_IDPD_I_DOM","EXP_IDPD_I_EXT","EXP_IDPD_CEN_TOT","EXP_IDPD_LGP_TOT","EXP_IDPD_I_TOT","EXP_IDPD"
2007-01-01,2007,"Q1","2006/07","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,45.9537638403458,0,0,45.9537638403458
2007-02-01,2007,"Q1","2006/07","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,68.8740982127457,0,0,68.8740982127457
2007-03-01,2007,"Q1","2006/07","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,25.8125302645057,0,0,25.8125302645057
2007-04-01,2007,"Q2","2006/07","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,79.7951044416157,0,0,79.7951044416157
2007-05-01,2007,"Q2","2006/07","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,54.8279788384357,0,0,54.8279788384357
2007-06-01,2007,"Q2","2006/07","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,130.091173399239,0,0,130.091173399239
2007-07-01,2007,"Q3","2007/08","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,6.40415555410323,0,0,6.40415555410323
2007-08-01,2007,"Q3","2007/08","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,14.2364564756024,0,0,14.2364564756024
2007-09-01,2007,"Q3","2007/08","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,111.481048514566,0,0,111.481048514566
2007-10-01,2007,"Q4","2007/08","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,36.9309091598885,0,0,36.9309091598885
2007-11-01,2007,"Q4","2007/08","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,17.8957603806917,0,0,17.8957603806917
2007-12-01,2007,"Q4","2007/08","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,44.9196701942902,0,0,44.9196701942902
2008-01-01,2008,"Q1","2007/08","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,41.0272905436439,0,0,41.0272905436439
2008-02-01,2008,"Q1","2007/08","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,71.9394599203245,0,0,71.9394599203245
2008-03-01,2008,"Q1","2007/08","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,88.5432907908798,0,0,88.5432907908798
2008-04-01,2008,"Q2","2007/08","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,83.9320422318564,0,0,83.9320422318564
2008-05-01,2008,"Q2","2007/08","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,64.034831380836,0,0,64.034831380836
2008-06-01,2008,"Q2","2007/08","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,108.412226559069,0,0,108.412226559069
2008-07-01,2008,"Q3","2008/09","Q1","July",7.30583996034792,27.6702194390037,14.4702344209276,8.30689979056777,0.42377261950974,1.68389313411366,0.868151888930841,2.01979897580015,14.0268557952025,0,0,0,0,1.16903611226419,0.0165647066664764,0,,,,0,0,0,77.9612668433346,0,0,77.9612668433346
2008-08-01,2008,"Q3","2008/09","Q1","August",0.345559823400835,5.5113928598628,1.3514968033168,0.0091210823922207,0.0908443068211236,0.00841102637563222,0,0.456817259170138,7.6083870670236,0,0,0,0,0.42286548201056,0,0.0428867740442198,,,,0,0,0,15.8477824844179,0,0,15.8477824844179
2008-09-01,2008,"Q3","2008/09","Q1","September",0,14.7663245096207,12.8952038444404,10.565224943076,2.50874740003527,1.94090792340787,0.0178357048590734,3.24970640077786,2.7969005617585,2.027993707237,0,0,2.8001019652033,1.6577249574657,0.0304226490941074,0.00337397097115301,,,,0,0,0,55.2604685379469,0,0,55.2604685379469
2008-10-01,2008,"Q4","2008/09","Q2","October",0,8.60289315988795,24.7803293051808,0.140007253222313,3.35001604165656,2.18275810503863,0.0178814680752079,6.37395469838129,11.5268694738234,0,0,0,0,3.53927747584064,0,0,,,,0,0,0,60.5139869811068,0,0,60.5139869811068
2008-11-01,2008,"Q4","2008/09","Q2","November",1.18691513478165,0.503373756472921,1.28275523832417,9.61694064619412,0.335639786068932,0.351695874645024,0.734363579137913,0.530501917964865,4.66659781397986,0,0,0.0339298922423564,0,1.14605782566548,0,0.00620156273264859,,,,0,0,0,20.3949730282099,0,0,20.3949730282099
2008-12-01,2008,"Q4","2008/09","Q2","December",2.82693189692187,2.56929389099847,5.5483219200918,1.11452027686424,0.0982712019480656,0.518151285877524,0.149888625241715,10.9569270327807,34.6350993706597,6.22004308826144,0,0.160004027366262,0,1.55795931921803,0.0135897229202754,0,,,,0,0,0,66.3690016591501,0,0,66.3690016591501
2009-01-01,2009,"Q1","2008/09","Q3","January",0.231102133689185,0.151458146652169,0.275948599453604,0.0475623030463086,0.175357907749036,0.0934209423429544,0.00077671228713566,0.00377409623708747,0.914900470445606,0,0,0,0.01786879948997,0.701008275120135,0,0,,,,0,0,0,2.61317838651319,0,0,2.61317838651319
