"Date","Year","Quarter","FY","QFY","Month","EXP_W_SEC","EXP_W_RAW","EXP_W_AGR","EXP_W_EDU","EXP_W_HEA","EXP_W_WAE","EXP_W_JLO","EXP_W_ACC","EXP_W_EAM","EXP_W_TTI","EXP_W_LHUD","EXP_W_SD","EXP_W_ICT","EXP_W_PSM","EXP_W_PAD","EXP_W_PARL","EXP_W_STD","EXP_W_TOU","EXP_W_LGOV","EXP_W_I","EXP_W_I_DOM","EXP_W_I_EXT","EXP_W_CEN_TOT","EXP_W_LGP_TOT","EXP_W_I_TOT","EXP_W"
2010-03-01,2010,"Q1","2009/10","Q3","March",19.332556603,1.670766667,0.817701967,46.740092184,13.171151814,0.701881127,11.508065484,3.601100691,0.268455278,1.217603371,0.209663781,0.157455897,0.043947443,8.581682044,1.97368689141667,1.41660002,,,,0,0,0,52.9753578074167,58.437053455,0,111.412411262417
2010-04-01,2010,"Q2","2009/10","Q4","April",18.362712654,2.824638978,0.402515551,47.912069889,11.486775474,0.220572453,14.396576851,1.99165319299999,0.138960283,0.300133328,0.127929651,0.280098956,0.051639678,8.04153494,4.18032412241667,1.209898351,,,,0,0,0,52.6272126034167,59.300821749,0,111.928034352417
2010-05-01,2010,"Q2","2009/10","Q4","May",21.050936255,0.209707674,0.817291594,47.925535173,13.787123404,0.562967551,3.48347472,2.420233393,0.142715608,1.539179797,0.014800424,0.06398856,0.038143442,7.955946758,1.64406294441667,1.043561199,,,,0,0,0,42.5463643654167,60.153304131,0,102.699668496417
2010-06-01,2010,"Q2","2009/10","Q4","June",26.428561441,3.657204585,0.702686709,47.505229139,18.961625776,0.931547193,36.051132891,4.52107342100002,0.135093688,1.419376676,0.344467505,0.313152779,0.121854589,10.184636436,6.97856928241667,2.716104855,,,,0,0,0,99.5272726174167,61.445044348,0,160.972316965417
2010-07-01,2010,"Q3","2010/11","Q1","July",22.352055324,2.248483956,0.327809314,55.736921514,15.239603415,0.420609589,14.19639413,2.104023392,0.157064613,0.104695282,0.150789896,0.133605164,0.047183287,10.481502916,2.41462875691667,0.935810428,,,,0,0,0,56.4006580029167,70.650522974,0,127.051180976917
2010-08-01,2010,"Q3","2010/11","Q1","August",21.937462568,1.789772325,1.650262355,56.538761105,15.499995861,0.425051191,14.415582833,2.589366348,0.168575928,1.320583875,0.150252183,0.133517727,0.047202445,10.573609791,2.39611804591667,1.152672278,,,,0,0,0,59.1563353809167,71.632451478,0,130.788786858917
2010-09-01,2010,"Q3","2010/11","Q1","September",24.368316157,1.705671457,0.340600948,64.031409881,16.901326231,0.436310491,14.446106919,2.902770195,0.163523799,0.575692111,0.161480778,0.142966871,0.329683673,10.518760569,2.43623951191667,1.150916859,,,,0,0,0,60.4439885759167,80.167787875,0,140.611776450917
2010-10-01,2010,"Q4","2010/11","Q2","October",23.204841922,1.635718718,3.79801738,58.52415639,16.309039226,0.438305184,14.981755151,2.542196677,0.169636167,0.748101127,0.160361095,0.127753412,0.170232705,10.620796388,2.52800414291667,2.011293268,,,,0,0,0,63.9052836049167,74.064925348,0,137.970208952917
2010-11-01,2010,"Q4","2010/11","Q2","November",23.250650384,1.72109821,3.745349596,58.595594655,16.29043386,0.444715819,14.43862909,3.968675493,0.16331325,1.346112453,0.155574472,0.135475368,0.258641606,10.589991895,2.52198117591667,0.304182028,,,,0,0,0,63.9482249739167,73.982194381,0,137.930419354917
2010-12-01,2010,"Q4","2010/11","Q2","December",24.377177409,1.788440257,1.963794836,60.228584758,16.568353065,0.481262168,14.627537952,2.413367327,0.169031149,1.11874663,0.156747689,0.129420146,0.103459247,10.593773131,2.48876039391667,1.153193096,,,,0,0,0,62.4026833939167,75.95896586,0,138.361649253917
