"Date","Year","Quarter","FY","QFY","Month","DCS_NFA","DCS_NFA_CBK","DCS_NFA_CBK_OFA","DCS_NFA_ODC","DCS_NDA","DCS_DCL","DCS_DCL_NCCG","DCS_DCL_CCG","DCS_DCL_LCG","DCS_DCL_COS","DCS_DCL_COS_OFC","DCS_DCL_COS_SLG","DCS_DCL_COS_PNFC","DCS_DCL_COS_PRV","DCS_DCL_COS_PRV_LN","DCS_OIN","DCS_OIN_SOE","DCS_OIN_COA","DCS_OIN_OIN","DCS_M3","DCS_M3_FXD","DCS_M2","DCS_M2_OLCD","DCS_M1","DCS_M1_TLCD","DCS_M1_CODC"
2004-10-01,2004,"Q4","2004/05","Q2","October",2251.047433452,1633.247919071,2018.590766587,617.799514381,356.680413083002,1353.41567684,132.706276999001,2406.833823051,2274.127546052,1220.709399841,46.08718664,0.609634,13.401294466,1160.611284735,1156.231284735,-996.735263756999,689.894126462315,-112.086759152,-194.754378142684,2607.727846535,634.092153,1973.635693535,623.560078,1350.075615535,807.448224,542.627391535
2004-11-01,2004,"Q4","2004/05","Q2","November",2327.376352151,1726.34769277,2068.220232928,601.028659381,330.415139656001,1473.453851465,233.202668281001,2674.579968094,2441.377299813,1240.251183184,52.510140861,0.322613,9.986022223,1177.4324071,1173.0524071,-1143.038711809,774.845661105315,-127.413308752,-240.779741951685,2657.791491807,649.773065,2008.018426807,646.123252,1361.895174807,810.798896,551.096278807
2004-12-01,2004,"Q4","2004/05","Q2","December",2511.867555264,1912.680552737,2251.916020259,599.187002527,134.810438921,1262.764187011,-28.3775137789999,2605.823363439,2634.200877218,1291.14170079,38.3959713,0.583674,14.319900979,1237.842154511,1233.842154511,-1127.95374809,783.465644464315,-155.972680305,-188.515423320685,2646.677994185,646.146880542,2000.531113643,672.512144,1328.018969643,739.411188201,588.607781442
2005-01-01,2005,"Q1","2004/05","Q3","January",2449.870831836,1842.157993455,2208.286053134,607.712838381,225.96611514,1255.301950442,-16.1805167690009,2695.981108355,2712.161625124,1271.482467211,34.851312113,0.205133,14.284199948,1222.14182215,1218.26682215,-1029.335835302,640.180629791315,-144.883684454,-244.271521056684,2675.836946976,621.394419,2054.442527976,645.279112,1409.163415976,830.776626,578.386789976
2005-02-01,2005,"Q1","2004/05","Q3","February",2149.789253824,1571.448777443,2005.910633986,578.340476381,570.28932742,1772.488957686,519.819731367,2564.887131188,2045.067399821,1252.669226319,35.055063459,0.352221,13.104571909,1204.157369951,1201.032369951,-1202.199630266,863.126597170315,-117.986480812,-221.086552283685,2720.078581244,628.600368,2091.478213244,640.457525,1451.020688244,874.528891,576.491797244
2005-03-01,2005,"Q1","2004/05","Q3","March",2501.434526751,1924.18446437,2252.854885249,577.250062381,301.449621442,1392.571959472,99.4050621399997,2546.033816677,2446.628754537,1293.166897332,35.198281783,0.041012,12.367369886,1245.560233663,1241.805233663,-1091.12233803,716.154559733315,-118.352800858,-256.614977438685,2802.884148193,633.401964,2169.482184193,637.687626,1531.794558193,940.607031,591.187527193
2005-04-01,2005,"Q2","2004/05","Q4","April",2811.901043004,2198.532571623,2518.211941884,613.368471381,-5.67521083624888,1192.098475028,-196.825632723,2581.975140656,2778.800773379,1388.924107751,34.793082849,0.11783,11.846200178,1342.166994724,1338.411994724,-1197.77368586425,787.146561483315,-191.764889888,-218.862234492934,2806.22583216775,663.35685099175,2142.868981176,674.629499,1468.239482176,875.449258,592.790224176
2005-05-01,2005,"Q2","2004/05","Q4","May",2612.258209366,2067.152831985,2379.511659648,545.105377381,177.202231887,1200.309674119,-126.412038773,2450.985013179,2577.397051952,1326.721712892,35.198867824,0.018028,11.88465247,1279.620164598,1275.865164598,-1023.107442232,661.090049677315,-113.513203783,-248.504188771685,2789.460441253,631.869592,2157.590849253,684.813929,1472.776920253,885.439004,587.337916253
2005-06-01,2005,"Q2","2004/05","Q4","June",2606.03656071305,1995.584988133,2273.85745975,610.45157258005,205.07757937195,1120.859027708,-172.739024298,2279.22795588,2451.966980178,1293.598052006,33.248864599,0.029429,11.836326116,1248.483432291,1247.108432291,-915.78144833605,563.60961141,-101.765484097,-250.40635282905,2811.114140085,653.251958089,2157.862181996,692.654443796,1465.2077382,860.147222,605.0605162
2005-07-01,2005,"Q3","2005/06","Q1","July",2570.02289326905,1996.223791689,2276.653276594,573.79910158005,306.33327091895,1249.386000021,-104.137605718,2153.524581024,2257.662186742,1353.523605739,33.742420599,0.362845,23.665358085,1295.752982055,1294.502982055,-943.05272910205,586.947420872,-100.687899595,-255.41740863505,2876.356164188,661.52722,2214.828944188,707.55717,1507.271774188,891.434709,615.837065188
2005-08-01,2005,"Q3","2005/06","Q1","August",2647.30048042005,2016.42065984,2315.352705121,630.87982058005,324.26440382195,1395.316446512,21.4716604379996,2343.820195883,2322.348535445,1373.844786074,33.781546265,0.359222,19.629467054,1320.074550755,1318.824550755,-1071.05204269005,670.927028435,-107.043226958,-293.08178729705,2971.564884242,714.364275,2257.200609242,741.787152,1515.413457242,900.795285,614.618172242
2005-09-01,2005,"Q3","2005/06","Q1","September",2580.36239042805,1995.593120926,2304.438969225,584.76926950205,325.08952901495,1428.099479915,21.6263576750002,2385.529191805,2363.90283413,1406.47312224,29.848573042,0,5.632694023,1370.991855175,1369.861855175,-1103.00995090005,709.063255739,-85.7431460370001,-308.20354912405,2905.451919443,679.316837523,2226.13508192,743.757933723,1482.377148197,863.911351403,618.465796794
2005-10-01,2005,"Q4","2005/06","Q2","October",2550.44791195405,2022.553991668,2316.914881821,527.89392028605,373.48730429395,1427.199611842,-6.71212960000003,2438.766064299,2445.478193899,1433.911741442,30.574386455,0.459438,21.491044992,1381.386871995,1380.256871995,-1053.71230754805,700.282214972,-83.7262254230001,-269.70386715305,2923.935216248,684.180881367,2239.754334881,746.742909043,1493.011425838,876.030485324,616.980940514
2005-11-01,2005,"Q4","2005/06","Q2","November",2437.9899387503,1971.226977402,2235.360903105,466.762961348301,580.176966692934,1590.399205445,80.6621592669999,2559.299169954,2478.637010687,1509.737046178,30.072846209,0.396313,29.003970961,1450.263916008,1446.706716008,-1010.22223875207,672.8555771686,-78.2828803820001,-259.083781201466,3018.16690544324,679.191569849235,2338.975335594,780.039797742,1558.935537852,910.555780406,648.379757446
2005-12-01,2005,"Q4","2005/06","Q2","December",2680.06726663405,2162.845139858,2415.71743674,517.22212677605,421.38550844595,1386.087546147,-58.8369239269996,2586.320577566,2645.157501493,1444.924470074,42.720857565,0.394245,18.91852593,1382.890841579,1382.140841579,-964.70203770105,705.94586261,-88.257456761,-170.49871833005,3101.45277508,665.801322834,2435.651452246,829.097976149,1606.553476097,896.330794626,710.222681471
2006-01-01,2006,"Q1","2005/06","Q3","January",3042.37372646805,2539.174420884,2554.932045749,503.19930558405,61.9988612347499,1089.850759701,-380.394582602,2513.359467572,2893.754050174,1470.245342303,46.645133515,0.01064,18.247041899,1405.342526889,1404.717526889,-1027.85189846625,753.5728830772,-97.9937519779999,-176.28526341105,3104.3725877028,682.8761688538,2421.496418849,774.413266035,1647.083152814,939.677485789,707.405667025
2006-02-01,2006,"Q1","2005/06","Q3","February",3016.02482686103,2542.653124769,2559.590668834,473.37170209203,111.40106886846,1138.06342814552,-339.61444836,2592.327469962,2931.941918322,1477.67787650552,52.18099577,0.306986,17.906104868,1407.28378986752,1406.65878986752,-1026.66235927706,760.30262536071,-102.62737078,-163.73236313635,3127.42589572949,683.45510043348,2443.97079529601,794.89914236132,1649.07165293469,930.60684978435,718.46480315034
2006-03-01,2006,"Q1","2005/06","Q3","March",3034.06897319805,2581.116779819,2593.091728748,452.95219337905,59.8139895559495,1367.319437269,-121.438156149999,2567.06276002,2688.50091617,1488.757593419,52.364862697,0.752493,17.843942837,1417.796294885,1417.171294885,-1307.50544771305,752.01922827,-99.352255339,-456.133964104051,3093.882962754,679.069731034,2414.81323172,789.067184955,1625.746046765,918.725911554,707.020135211
2006-04-01,2006,"Q2","2005/06","Q4","April",3101.99936951394,2625.025478936,2633.481901908,476.973890577935,54.2161361970648,1421.98240657,-104.873881381,2649.492404425,2754.366285806,1526.856287951,49.025883782,0.778651,18.803835806,1458.247917363,1457.622917363,-1367.76627037294,783.17577256956,-128.140547985,-456.449949818376,3156.215505711,713.56983086,2442.645674851,790.867555421,1651.77811943,945.677532942,706.100586488
2006-05-01,2006,"Q2","2005/06","Q4","May",3102.9612407642,2651.495365842,2660.708515286,451.465874922198,174.500025747509,1581.26420203913,-13.2111871970001,2730.201860466,2743.413047663,1594.47538923613,55.276758072,0.911885,17.678624775,1520.60812138913,1519.98312138913,-1406.76417629162,874.814756425245,-114.43948133392,-417.509938532454,3277.46126651171,705.069422504052,2572.39184400765,836.081921992681,1736.30992201497,1025.78881129039,710.521110724581
