"Date","Year","Quarter","FY","QFY","Month","EXP_DPD_AGRO_P","EXP_DPD_MID_P","EXP_DPD_SPD_P","EXP_DPD_MAN_P","EXP_DPD_TOD_P","EXP_DPD_NECLW_P","EXP_DPD_PSD_P","EXP_DPD_SED_P","EXP_DPD_ITIS_P","EXP_DPD_SUD_P","EXP_DPD_DIT_P","EXP_DPD_HCD_P","EXP_DPD_TTD_P","EXP_DPD_PST_P","EXP_DPD_CMC_P","EXP_DPD_GOS_P","EXP_DPD_DPI_P","EXP_DPD_RBD_P","EXP_DPD_ADJ_P","EXP_DPD_LEG_P","EXP_DPD_LGOV_P","EXP_DPD_I_P","EXP_DPD_I_DOM_P","EXP_DPD_I_EXT_P","EXP_DPD_CEN_TOT_P","EXP_DPD_LGP_TOT_P","EXP_DPD_I_TOT_P","EXP_DPD_P"
2003-08-01,2003,"Q3","2003/04","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
2003-09-01,2003,"Q3","2003/04","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
2003-10-01,2003,"Q4","2003/04","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
2003-11-01,2003,"Q4","2003/04","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
2003-12-01,2003,"Q4","2003/04","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
2004-01-01,2004,"Q1","2003/04","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
2004-02-01,2004,"Q1","2003/04","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
2004-03-01,2004,"Q1","2003/04","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
2004-04-01,2004,"Q2","2003/04","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
2004-05-01,2004,"Q2","2003/04","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.6583263263752,0,0,58.6583263263752
2004-06-01,2004,"Q2","2003/04","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,58.9583263263751,0,0,58.9583263263751
2004-07-01,2004,"Q3","2004/05","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2004-08-01,2004,"Q3","2004/05","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2004-09-01,2004,"Q3","2004/05","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2004-10-01,2004,"Q4","2004/05","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2004-11-01,2004,"Q4","2004/05","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2004-12-01,2004,"Q4","2004/05","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2005-01-01,2005,"Q1","2004/05","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2005-02-01,2005,"Q1","2004/05","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2005-03-01,2005,"Q1","2004/05","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2005-04-01,2005,"Q2","2004/05","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2005-05-01,2005,"Q2","2004/05","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7966395091361,0,0,52.7966395091361
2005-06-01,2005,"Q2","2004/05","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.7040645958027,0,0,52.7040645958027
2005-07-01,2005,"Q3","2005/06","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,78.8841871294953,0,0,78.8841871294953
2005-08-01,2005,"Q3","2005/06","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,78.8841871294953,0,0,78.8841871294953
2005-09-01,2005,"Q3","2005/06","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,78.8841871294953,0,0,78.8841871294953
2005-10-01,2005,"Q4","2005/06","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,74.907434737937,0,0,74.907434737937
2005-11-01,2005,"Q4","2005/06","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,74.907434737937,0,0,74.907434737937
2005-12-01,2005,"Q4","2005/06","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,74.907434737937,0,0,74.907434737937
2006-01-01,2006,"Q1","2005/06","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,93.9140251632852,0,0,93.9140251632852
2006-02-01,2006,"Q1","2005/06","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,93.9140251632852,0,0,93.9140251632852
2006-03-01,2006,"Q1","2005/06","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,93.9140251632852,0,0,93.9140251632852
2006-04-01,2006,"Q2","2005/06","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,19.2951381172331,0,0,19.2951381172331
2006-05-01,2006,"Q2","2005/06","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,19.2951381172331,0,0,19.2951381172331
2006-06-01,2006,"Q2","2005/06","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,21.3160083199961,0,0,21.3160083199961
2006-07-01,2006,"Q3","2006/07","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2006-08-01,2006,"Q3","2006/07","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2006-09-01,2006,"Q3","2006/07","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2006-10-01,2006,"Q4","2006/07","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2006-11-01,2006,"Q4","2006/07","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2006-12-01,2006,"Q4","2006/07","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-01-01,2007,"Q1","2006/07","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-02-01,2007,"Q1","2006/07","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-03-01,2007,"Q1","2006/07","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-04-01,2007,"Q2","2006/07","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-05-01,2007,"Q2","2006/07","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-06-01,2007,"Q2","2006/07","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-07-01,2007,"Q3","2007/08","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,28.6163231241033,0,0,28.6163231241033
2007-08-01,2007,"Q3","2007/08","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,59.0617792946024,0,0,59.0617792946024
2007-09-01,2007,"Q3","2007/08","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,79.9142520125662,0,0,79.9142520125662
2007-10-01,2007,"Q4","2007/08","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,53.3089133652957,0,0,53.3089133652957
2007-11-01,2007,"Q4","2007/08","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,25.8321162798925,0,0,25.8321162798925
2007-12-01,2007,"Q4","2007/08","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,64.8405051827406,0,0,64.8405051827406
2008-01-01,2008,"Q1","2007/08","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,37.401989523275,0,0,37.401989523275
2008-02-01,2008,"Q1","2007/08","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,65.5826619451694,0,0,65.5826619451694
2008-03-01,2008,"Q1","2007/08","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,80.7193258593052,0,0,80.7193258593052
2008-04-01,2008,"Q2","2007/08","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,66.3150616139764,0,0,66.3150616139764
2008-05-01,2008,"Q2","2007/08","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.1314580245559,0,0,52.1314580245559
2008-06-01,2008,"Q2","2007/08","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,114.876691916841,0,0,114.876691916841
2008-07-01,2008,"Q3","2008/09","Q1","July",4.22536940217391,16.0032110207128,8.36893308590346,4.80433740575921,0.245091032608696,0.973888090080163,0.502100025163044,1.16816092840908,8.11250282067936,0,0,0,0,0.676117933818277,0.00958028167663044,0,,,,,,0,0,0,45.0892920269847,0,0,45.0892920269847
