"Date","Year","Quarter","FY","QFY","Month","OFCS_NFA","OFCS_CNR","OFCS_LNR","OFCS_NCCG","OFCS_CCG","OFCS_LCG","OFCS_COS","OFCS_COS_SLG","OFCS_COS_PNFC","OFCS_COS_PRV","OFCS_COS_PRV_LN","OFCS_CDC","OFCS_LDC","OFCS_LOS","OFCS_LOS_ITR","OFCS_SOE","OFCS_OIN","OFCS_OIN_FA"
2018-10-01,2018,"Q4","2018/19","Q2","October",3729.72687599716,4020.46712044734,290.74024445018,6898.5593591482,6908.03297318213,9.47361403393,1681.99063134793,0,238.20950500564,1443.78112634229,745.088454746679,1015.17111486715,85.3633064049483,12396.3492827006,12366.3296154221,1616.80565936727,773.070267114288,1012.29227914699
2019-01-01,2019,"Q1","2018/19","Q3","January",4083.11474712496,4395.30463295014,312.18988582518,7149.47929728627,7157.7292605832,8.24996329693,1643.19437899182,0,238.287410825435,1404.90696816638,691.071817599598,964.361129983595,94.9450004112376,12893.3420379449,12853.2787076055,1745.91548046714,894.052965435764,1009.2963736155
2019-04-01,2019,"Q2","2018/19","Q4","April",4282.58319669986,4544.73647716419,262.153280464327,7428.42774805871,7440.04413853364,11.61639047493,1644.90820990808,0,238.107630414083,1406.800579494,705.302557460618,1069.66036057018,97.341527643039,13396.6637054728,13353.0232654528,1889.48039033784,957.906108216069,1130.65969286309
2019-07-01,2019,"Q3","2019/20","Q1","July",4704.08800737995,4928.97296324589,224.884955865941,7447.77190084622,7460.56124353915,12.78934269293,1673.5993602028,0,251.644212495194,1421.95514770761,742.711311791923,1119.32348726809,92.6793649748672,14032.2628684093,13984.7284921707,1804.90820167211,985.067737083554,1215.78356333211
2019-10-01,2019,"Q4","2019/20","Q2","October",5020.80951408413,5275.58975519653,254.780241112401,8046.0047605703,8062.12411516723,16.11935459693,1633.51862081712,0,248.288746239619,1385.2298745775,764.317619383478,1122.68413620771,128.496354243955,14684.09394233,14630.2496145132,2092.59428182353,1082.1675467182,1264.94759016986
2020-01-01,2020,"Q1","2019/20","Q3","January",4916.28673662839,5294.17670363384,377.88996700545,8299.53788180955,8313.09919165955,13.56130985,1657.84718780184,0,223.627957776907,1434.21923002493,802.624226123382,1239.46969872177,105.301159252412,15235.0292733963,15179.767855423,2015.85601593073,1243.04494361788,1325.3314895915
2020-04-01,2020,"Q2","2019/20","Q4","April",5051.47911325237,5403.93516215726,352.456048904889,8790.38554217261,8802.36952242354,11.98398025093,1805.93780455414,0,241.949392309907,1563.98841224423,807.009869694903,1262.92388497006,93.4249876976938,15823.1393645316,15766.6867383252,2136.5638750757,1142.40188235373,1321.81805034062
2020-07-01,2020,"Q3","2020/21","Q1","July",5185.63693600106,5548.90186193616,363.2649259351,9155.69791474423,9166.25965298416,10.56173823993,1840.14685383008,0,259.043511212475,1581.1033426176,847.539923765197,1775.62805768979,96.5073435855902,16449.2049883037,16390.5165562414,2631.90849526487,1220.51106488965,1425.6227658537
2020-10-01,2020,"Q4","2020/21","Q2","October",5172.75570174727,5534.4349856342,361.679283886932,9990.80036376314,10007.1493354181,16.34897165493,1849.74406180515,0,258.412800941,1591.33126086415,965.270060858076,1678.51416008494,104.13398229045,17093.707146817,17014.6251349559,2633.66272123895,1139.6895629408,1472.72767145488
2021-01-01,2021,"Q1","2020/21","Q3","January",5274.49635041388,5572.50733851616,298.010988102281,10450.8894485778,10463.0397997128,12.15035113493,2044.77423071457,0,253.791857549,1790.98237316557,1094.00057715124,1674.99388141456,103.197098398831,17647.6173700337,17567.4061409361,2980.39144946139,1286.05200677318,1532.0083053122
2021-04-01,2021,"Q2","2020/21","Q4","April",5587.85007839296,5899.47433141243,311.62425301946,11014.1667496629,11030.5865186948,16.41976903193,2051.14999258355,0,254.059438214,1797.09055436955,1137.13547212169,1759.68100664016,104.75325872926,18384.5503270887,18316.2749090307,3365.6501040022,1442.10586254064,1659.74783771957
2021-07-01,2021,"Q3","2021/22","Q1","July",6301.59402669161,6634.11313410012,332.519107408513,10707.5183953139,10723.4499921459,15.93159683193,2102.08943641537,0,259.845833526,1842.24360288937,1259.99304156103,1804.21193039721,105.349737446617,19030.1508583343,18952.1112614842,3147.90058639951,1367.98739336228,1611.14495634685
2021-10-01,2021,"Q4","2021/22","Q2","October",6138.92975085379,6490.25796940196,351.328218548168,11321.1302515454,11337.3812249493,16.25097340393,2570.79085579996,0,287.765478326989,2283.02537747297,1384.54861083131,1658.23910039295,103.842373766577,19969.2150891756,19897.3421120357,3100.87506906116,1484.84257341128,1710.29082273154
2022-01-01,2022,"Q1","2021/22","Q3","January",6925.65182186581,7347.96882090648,422.316999040675,10977.5627330706,10987.9152644745,10.35253140393,2639.1465207319,0,265.035492256527,2374.11102847537,1457.3505019824,1936.99457875122,110.902524733028,20437.9235928467,20372.5117165139,3532.82130669904,1602.29176985677,1758.08731085917
2022-04-01,2022,"Q2","2021/22","Q4","April",7126.87351672008,7477.25151492993,350.377998209846,11273.972089372,11284.3246207759,10.35253140393,2703.41452271002,0,238.664028410808,2464.75049429921,1568.55169822065,1644.73948408403,113.527497585745,20866.4049179219,20810.2092516877,3477.18692885677,1708.11973147826,1766.51264633446
2022-07-01,2022,"Q3","2022/23","Q1","July",7154.90412561279,7635.77660287403,480.872477261246,12031.2556310911,12041.191495227,9.93586413593,2963.78722906591,0,292.137429312225,2671.64979975369,1735.23078171752,1546.89342190542,125.453597629178,21541.3637269591,21489.0314980056,3769.26705508259,1739.24397199565,1781.4219066407
