"Date","Year","Quarter","FY","QFY","Month","IM_ASI","IM_IND","IM_CHN","IM_JPN","IM_MYS","IM_KOR","IM_SGP","IM_IDN","IM_THA","IM_HKG","IM_RUS","IM_PAK","IM_TWN","IM_VNM","IM_BGD","IM_LKA","IM_GEO","IM_PHL","IM_PRK","IM_ASI_OTH","IM_EUU","IM_DEU","IM_GBR","IM_NLD","IM_ITA","IM_FRA","IM_BEL","IM_SWE","IM_DNK","IM_IRL","IM_ESP","IM_FIN","IM_AUT","IM_HUN","IM_POL","IM_CZE","IM_MLT","IM_ROU","IM_BGR","IM_SVK","IM_LUX","IM_CYP","IM_PRT","IM_GRC","IM_LTU","IM_EST","IM_EUU_OTH","IM_MIE","IM_ARE","IM_KWT","IM_SAU","IM_LBN","IM_BHR","IM_QAT","IM_ISR","IM_IRN","IM_SYR","IM_JOR","IM_IRQ","IM_OMN","IM_MIE_OTH","IM_COM","IM_KEN","IM_EGY","IM_SWZ","IM_COD","IM_MUS","IM_RWA","IM_MWI","IM_SDN","IM_BDI","IM_ZWE","IM_ETH","IM_NAM","IM_ZMB","IM_ERI","IM_SSD","IM_COM_OTH","IM_ROA","IM_ZAF","IM_TZA","IM_CIV","IM_GHA","IM_LBR","IM_NGA","IM_BEN","IM_GAB","IM_BWA","IM_MLI","IM_CMR","IM_BFA","IM_SEN","IM_NER","IM_SLE","IM_TGO","IM_TUN","IM_ROA_OTH","IM_ROE","IM_UKR","IM_TUR","IM_CHE","IM_NOR","IM_SRB","IM_HRV","IM_MDA","IM_ROE_OTH","IM_UCL","IM_USA","IM_BRA","IM_CAN","IM_AUS","IM_CHL","IM_PER","IM_JAM","IM_COL","IM_MEX","IM_PAN","IM_VGB","IM_ARG","IM_DOM","IM_NZL","IM_URY","IM_CUB","IM_LIE","IM_UCL_OTH","IM"
2000-03-01,2000,"Q1","1999/00","Q3","March",19.103,9.607,3.608,1.694,0.588,0.648,0.079,0.784,0.054,0.039,0.945,0.334,0.558,0,0.165,0,0,0,0,0,15.059,1.666,5.535,0.473,0.755,1.21,2.521,1.629,0.579,0.379,0.287,,0.015,,,,,,,,,,,,,,0.00999999999999623,5.331,0.419,,0.437,,4.142,,0.269,,,0.005,,,0.0590000000000002,13.047,12.101,0.229,0.265,,,,,,,0.07,,,,,,0.382,6.856,6.076,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.914,0,0,0.209,0.157,0,0,0,0.548,6.014,3.052,,1.041,1.063,0,0,0,0,0.611,0,0,,0,0,0,0,0,0.247,66.324
2000-04-01,2000,"Q2","1999/00","Q4","April",8.87,2.534,2.175,2.39,0.209,0.471,0.141,0.268,0.034,0.093,0.092,0.188,0.197,0,0.076,0,0,0,0,0.00200000000000067,11.323,0.832,3.686,3.239,1.039,0.751,0.399,0.274,0.426,0.193,0.142,,0.051,,,,,0.009,,,,,,,,,0.282,5.94,0.262,,0.371,,4.92,,0.045,,,,,,0.342,9.717,9.349,0.052,,,,,,,,0.178,,,0.121,,,0.017,6.556,6.364,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.564,0,0,0.286,0.07,0,0,0,0.208,6.195,1.736,0.294,0.781,1.975,0,0,0,0,0.327,0,0,,0,0,0,0,0,1.082,49.165
2000-05-01,2000,"Q2","1999/00","Q4","May",19.516,5.772,3.179,5.815,2.348,0.728,0.157,0.296,0.109,0.042,0.454,0.449,0.064,0,0.075,0,0,0,0,0.0280000000000022,18.039,2.612,10.005,0.866,0.261,0.93,1.651,0.728,0.178,0.307,0.128,,0.013,,,,,,,,,,,,,,0.359999999999999,10.059,0.307,,0.6,,8.867,,0.141,,,0.038,,,0.105999999999998,18.311,15.932,1.531,0.423,0.052,,,,,,0.074,,,0.059,,,0.24,13.366,8.755,4.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.31,0,0,0.085,0.051,0,0,0,0.174,6.228,2.094,0.197,0.712,0.028,0,0,0,0,0.546,0,0,,0,0,0,0,0,2.651,85.829
2000-06-01,2000,"Q2","1999/00","Q4","June",10.699,3.832,2.509,1.459,0.156,0.564,0.39,0.334,0.096,0.749,0.335,0.206,0.018,0,0.051,0,0,0,0,0,14.354,0.984,7.768,1.3,1.486,0.662,0.278,0.362,0.45,0.671,0.296,,0.014,,,,,0.041,,,,,,,,,0.0420000000000016,6.683,2.835,,0.564,,3.039,,0.012,,,0.005,,,0.228,10.988,9.239,0.08,0.861,,,0.039,,,,0.272,,,0.007,,,0.49,4.516,4.002,0.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.222,0,0,0.13,,0,0,0,0.092,3.22,0.815,0.194,0.623,0.176,0,0,0,0,0.125,0,0,0.039,0,0,0,0,0,1.248,50.682
2000-07-01,2000,"Q3","2000/01","Q1","July",13.895,2.283,2.629,2.552,2.251,0.27,0.286,0.124,0.545,0.787,0,0.416,0.188,1.435,0.129,0,0,0,0,0,18.006,1.481,9.144,0.881,1.29,1.238,2.694,0.299,0.348,0.192,0.123,,0.055,,,,,0.261,,,,,,,,,0,5.609,3.386,,0.348,,1.532,,0.114,,,0.002,,,0.226999999999999,22.571,21.164,0.435,0.898,,,,,,,0.036,0.004,,0.006,,,0.028,4.137,3.458,0.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.557,0,0,0.527,0.03,0,0,0,,5.087,4.096,0.013,0.475,0.041,0,0,0,0,0.098,0,0,0.055,0,0,0,0,0,0.309,69.862
2000-08-01,2000,"Q3","2000/01","Q1","August",18.145,3.141,2.951,5.29,2.071,0.344,0.792,0.227,0.534,0.937,0,0.388,0.422,0.952,0.096,0,0,0,0,0,16.727,1.651,7.528,1.453,1.543,1.485,0.587,0.299,0.537,0.1,0.194,,0.018,,,,,0.041,,,,,,,,,1.291,7.57,5.936,,0.985,,0.533,,0.037,,,0.001,,,0.078,27.992,25.805,0.671,0.342,,,0.249,,,,0.212,0.046,,0.015,,,0.652,8.396,7.571,0.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.66,0,0,0.478,0.182,0,0,0,,6.874,2.953,0.281,0.451,2.402,0,0,0,0,0.3,0,0,,0,0,0,0,0,0.487,86.364
2000-09-01,2000,"Q3","2000/01","Q1","September",17.571,4.701,2.125,5.047,1.317,0.408,0.413,0.429,0.406,1.074,0,0.598,0.103,0.925,0.025,0,0,0,0,0,16.713,1.056,6.355,1.673,1.07,1.219,2.591,0.559,1.267,0.374,0.161,,0.01,,,,,,,,,,,,,,0.378,6.082,4.827,,0.523,,0.54,,0.043,,,0.024,,,0.125,24.896,24.097,0.161,0.41,,,,,,,0.087,0.014,,0.004,,,0.123,8.832,7.407,1.423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,2.698,0,0,1.219,1.479,0,0,0,,6.505,1.249,0.021,0.449,3.59,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.996,83.297
2000-10-01,2000,"Q4","2000/01","Q2","October",19.987,4.219,1.612,7.511,1.593,0.256,0.431,0.589,0.705,1.067,0,0.257,0.026,1.721,0,0,0,0,0,0,14.482,2.074,6.303,1.06,0.711,0.651,1.368,0.188,1.179,0.589,0.299,,0.035,,,,,,,,,,,,,,0.0249999999999986,6.401,4.893,,0.817,,0.115,,0.231,,,0.009,,,0.335999999999999,24.569,22.838,0.269,0.593,,,0.107,,,,0.202,0.299,,0.134,,,0.127,7.219,5.995,1.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0.785,0,0,0.691,0.094,0,0,0,,8.266,4.659,0.075,0.499,2.355,0,0,0,0,0,0,0,0.195,0,0,0,0,0,0.483,81.709
2000-11-01,2000,"Q4","2000/01","Q2","November",20.093,4.161,2.298,6.727,1.226,0.529,0.479,0.363,1.475,1.091,0.04,0.518,0.055,1.03,0.101,0,0,0,0,0,23.367,1.573,15.426,1.082,1.409,0.666,1.818,0.06,0.605,0.345,0.315,,0.035,,,,,,,,,,,,,,0.0330000000000013,5.001,4.221,,0.38,,0.029,,0.294,,,,,,0.077,28.919,27.305,0.269,0.833,,,0.025,,,,0.349,0.048,,0.089,,,0.001,8.969,8.146,0.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,1,0,0,0.918,0.082,0,0,0,,5.003,2.782,0.92,0.469,0.436,0,0,0,0,0,0,0,,0,0,0,0,0,0.396,92.352
2000-12-01,2000,"Q4","2000/01","Q2","December",16.319,3.65,2.304,4.896,1.24,0.419,0.51,0.602,0.618,1.145,0,0.376,0.088,0.457,0.014,0,0,0,0,0,12.801,1.322,5.091,0.851,0.632,0.729,0.719,0.537,0.875,0.17,0.135,,1.628,,,,,0.112,,,,,,,,,,4.79,3.83,,0.61,,0.068,,0.246,,,,,,0.0360000000000005,23.613,22.86,0.179,0.402,,,0.007,,,,0.118,0.006,,0.035,,,0.006,7.039,6.507,0.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.355,0,0,0.406,0.949,0,0,0,,3.097,1.005,0.02,0.344,0.436,0,0,0,0,0,0,0,,0,0,0,0,0,1.292,69.014
