"Date","Year","Quarter","FY","QFY","Month","EXPI_99","EXPI_05","IMPI_99","IMPI_05","TOT_99","TOT_05"
1999-04-01,1999,"Q2","1998/99","Q4","April",106.237251320759,,89.5673435763091,,118.611591098766,
1999-05-01,1999,"Q2","1998/99","Q4","May",101.568245169407,,90.1362774639993,,112.682981843768,
1999-06-01,1999,"Q2","1998/99","Q4","June",98.9782843414765,,88.4857932367259,,111.857825670026,
1999-07-01,1999,"Q3","1999/00","Q1","July",96.6654062985418,,90.4559421137917,,106.864628281621,
1999-08-01,1999,"Q3","1999/00","Q1","August",97.6945589906067,,94.0752799545053,,103.847215801911,
1999-09-01,1999,"Q3","1999/00","Q1","September",93.0222977287874,,97.5918408218189,,95.3176996616197,
1999-10-01,1999,"Q4","1999/00","Q2","October",92.7987298601782,,97.8101532132251,,94.8763771567539,
1999-11-01,1999,"Q4","1999/00","Q2","November",86.634895690996,,99.3264678214209,,87.2223663955885,
1999-12-01,1999,"Q4","1999/00","Q2","December",96.7584745901605,,100.264597457412,,96.5031297624862,
2000-01-01,2000,"Q1","1999/00","Q3","January",99.4602288375891,,101.889071627886,,97.6161891049834,
2000-02-01,2000,"Q1","1999/00","Q3","February",108.153422707556,,104.344192188086,,103.650639714191,
2000-03-01,2000,"Q1","1999/00","Q3","March",100.391090678152,,104.132116688689,,96.4074234448526,
2000-04-01,2000,"Q2","1999/00","Q4","April",90.5216689087095,,100.841207666712,,89.7665458429362,
2000-05-01,2000,"Q2","1999/00","Q4","May",84.4647158287082,,104.71954319213,,80.6580254783386,
2000-06-01,2000,"Q2","1999/00","Q4","June",79.5622328440384,,104.549587254324,,76.0999970765049,
2000-07-01,2000,"Q3","2000/01","Q1","July",85.6566051631748,,103.133500655383,,83.0541042618089,
2000-08-01,2000,"Q3","2000/01","Q1","August",79.9075591330484,,102.891062989242,,77.6622933144383,
2000-09-01,2000,"Q3","2000/01","Q1","September",80.0915287892998,,105.877037385672,,75.6457970178703,
2000-10-01,2000,"Q4","2000/01","Q2","October",78.0731909658324,,102.738911217241,,75.991841884276,
2000-11-01,2000,"Q4","2000/01","Q2","November",76.5683435426556,,103.165536516538,,74.2189166344143,
2000-12-01,2000,"Q4","2000/01","Q2","December",75.9186653025971,,99.0731590733927,,76.6288932468148,
2001-01-01,2001,"Q1","2000/01","Q3","January",77.275212206792,,100.371401807009,,76.9892726569408,
2001-02-01,2001,"Q1","2000/01","Q3","February",79.8210814072818,,101.235595570478,,78.8468531819045,
2001-03-01,2001,"Q1","2000/01","Q3","March",83.2612715047172,,98.9089251727985,,84.1797354073516,
2001-04-01,2001,"Q2","2000/01","Q4","April",80.0982690046132,,99.888134338168,,80.1879718099882,
2001-05-01,2001,"Q2","2000/01","Q4","May",79.2117130518764,,103.093449024283,,76.8348656501135,
2001-06-01,2001,"Q2","2000/01","Q4","June",73.5013104009026,,101.336668329586,,72.531800790853,
2001-07-01,2001,"Q3","2001/02","Q1","July",76.2047747144391,76.2047747144391,72.3864586642495,72.3864586642495,105.274903788152,105.274903788152
2001-08-01,2001,"Q3","2001/02","Q1","August",71.4735446780461,71.4735446780461,71.3088427319878,71.3088427319878,100.230969876593,100.230969876593
2001-09-01,2001,"Q3","2001/02","Q1","September",61.483000645065,61.483000645065,69.1766070457625,69.1766070457625,88.8783120056641,88.8783120056641
2001-10-01,2001,"Q4","2001/02","Q2","October",63.6868145586715,63.6868145586715,64.9486550504163,64.9486550504163,98.0571722528121,98.0571722528121
2001-11-01,2001,"Q4","2001/02","Q2","November",63.1534162541755,63.1534162541755,65.3139910887146,65.3139910887146,96.69201835851,96.69201835851
2001-12-01,2001,"Q4","2001/02","Q2","December",62.2350648575626,62.2350648575626,64.9587736280882,64.9587736280882,95.8070194087718,95.8070194087718
2002-01-01,2002,"Q1","2001/02","Q3","January",61.1864979559329,61.1864979559329,65.9846128374139,65.9846128374139,92.7284336830109,92.7284336830109
2002-02-01,2002,"Q1","2001/02","Q3","February",60.1315396942298,60.1315396942298,66.8991921805788,66.8991921805788,89.8838053708014,89.8838053708014
2002-03-01,2002,"Q1","2001/02","Q3","March",71.7811990950634,71.7811990950634,69.6143977813734,69.6143977813734,103.112576396186,103.112576396186
2002-04-01,2002,"Q2","2001/02","Q4","April",64.849689043834,64.849689043834,70.1309610208618,70.1309610208618,92.4694145065875,92.4694145065875
2002-05-01,2002,"Q2","2001/02","Q4","May",61.6626580859261,61.6626580859261,70.6494631865227,70.6494631865227,87.2797262777916,87.2797262777916
2002-06-01,2002,"Q2","2001/02","Q4","June",62.7752519435271,62.7752519435271,72.0089663724736,72.0089663724736,87.1769935133019,87.1769935133019
2002-07-01,2002,"Q3","2002/03","Q1","July",75.0049542614107,74.9902309698237,75.1575949071141,75.1575949071141,99.7969058936865,99.7773160017997
2002-08-01,2002,"Q3","2002/03","Q1","August",75.4936430572652,75.4788238372465,75.3699879860477,75.3699879860477,100.164064071816,100.144402107665
2002-09-01,2002,"Q3","2002/03","Q1","September",75.2631370092992,75.2483630370617,77.5295357210412,77.5295357210412,97.0767286419762,97.0576727143221
2002-10-01,2002,"Q4","2002/03","Q2","October",74.0028726851757,73.9883460997848,77.5081362066915,77.5081362066915,95.4775541084251,95.4588120948743
2002-11-01,2002,"Q4","2002/03","Q2","November",84.6424374081259,84.6258223018457,76.1468246842712,76.1468246842712,111.156883769061,111.135063940921
2002-12-01,2002,"Q4","2002/03","Q2","December",81.9807207747392,81.9646281570133,76.7922273322709,76.7922273322709,106.756534642521,106.735578592299
2003-01-01,2003,"Q1","2002/03","Q3","January",92.8470326765941,92.8288070280547,78.3449462534397,78.3449462534397,118.510557625812,118.487294289233
2003-02-01,2003,"Q1","2002/03","Q3","February",92.1359814752342,92.1178954043303,78.9413823143408,78.9413823143408,116.714426292097,116.691515531767
2003-03-01,2003,"Q1","2002/03","Q3","March",86.8996093864998,86.8825512028053,77.0680046039482,77.0680046039482,112.757051169388,112.734917232247
2003-04-01,2003,"Q2","2002/03","Q4","April",83.5911748493133,83.5747661033375,75.3197798964551,75.3197798964551,110.981703563432,110.959918122744
2003-05-01,2003,"Q2","2002/03","Q4","May",86.0647618612795,86.0478675561403,75.7755306532665,75.7755306532665,113.57856701142,113.556271812702
2003-06-01,2003,"Q2","2002/03","Q4","June",83.8683246229306,83.8518614731227,75.5103463088507,75.5103463088507,111.068653135153,111.046850626474
2003-07-01,2003,"Q3","2003/04","Q1","July",82.4405303542954,82.4243474770582,75.1990655804417,75.1990655804417,109.629727069025,109.608207018061
2003-08-01,2003,"Q3","2003/04","Q1","August",84.611736361386,84.5951272816472,76.5945522042218,76.5945522042218,110.467042271868,110.44535785795
2003-09-01,2003,"Q3","2003/04","Q1","September",85.9591673776857,85.9422938004889,77.8312646828796,77.8312646828796,110.44297908806,110.421299397687
2003-10-01,2003,"Q4","2003/04","Q2","October",80.8733352137529,80.8574599731413,81.3994751448043,81.3994751448043,99.3536322806561,99.3341294023103
2003-11-01,2003,"Q4","2003/04","Q2","November",82.6775636295746,82.6613342232773,82.5866937132737,82.5866937132737,100.110029730233,100.090378372892
2003-12-01,2003,"Q4","2003/04","Q2","December",82.6764555851675,82.6602263963767,83.9031503541947,83.9031503541947,98.5379633972637,98.5186206327521
2004-01-01,2004,"Q1","2003/04","Q3","January",89.9090200095723,89.891371085832,87.5249664319072,87.5249664319072,102.723855460739,102.703691015712
2004-02-01,2004,"Q1","2003/04","Q3","February",85.8057287027691,85.7888852452139,89.8804604234369,89.8804604234369,95.4664988347063,95.447758991279
2004-03-01,2004,"Q1","2003/04","Q3","March",94.7942987655203,94.775690873345,92.6887214797475,92.6887214797475,102.271665044202,102.251589363064
2004-04-01,2004,"Q2","2003/04","Q4","April",97.0211241400873,97.0020791274627,92.5800552533163,92.5800552533163,104.797003927703,104.776432528634
2004-05-01,2004,"Q2","2003/04","Q4","May",91.8883159250495,91.8702784702957,93.3588209973906,93.3588209973906,98.4248889857101,98.4055684174326
2004-06-01,2004,"Q2","2003/04","Q4","June",89.0362444415274,89.0187668415257,91.9896865799127,91.9896865799127,96.7893768875714,96.7703773663735
2004-07-01,2004,"Q3","2004/05","Q1","July",73.0004803373081,72.9861505191171,92.253842914196,92.253842914196,79.130015651711,79.114482620524
2004-08-01,2004,"Q3","2004/05","Q1","August",88.7382592780714,88.7208401718385,91.5807197504514,91.5807197504514,96.8962239212299,96.8772034262171
2004-09-01,2004,"Q3","2004/05","Q1","September",86.2765245529955,86.2595886793507,91.0591017959084,91.0591017959084,94.7478317393992,94.7292329685891
2004-10-01,2004,"Q4","2004/05","Q2","October",86.0659835767512,86.0490890317922,92.202967376541,92.202967376541,93.3440495741016,93.3257263623442
2004-11-01,2004,"Q4","2004/05","Q2","November",87.6443404809281,87.6271361083162,90.8907492481682,90.8907492481682,96.4282297218432,96.4093010929627
2004-12-01,2004,"Q4","2004/05","Q2","December",88.0386168101294,88.0213350420252,90.3116143140412,90.3116143140412,97.4831614724459,97.4640257630076
2005-01-01,2005,"Q1","2004/05","Q3","January",95.8595005138218,91.3496830853923,93.8003676409185,93.8003676409185,102.195229000366,97.3873401382522
2005-02-01,2005,"Q1","2004/05","Q3","February",95.8264065228513,93.064483969806,96.3748361039456,96.3748361039456,99.4309411011576,96.5651281309893
2005-03-01,2005,"Q1","2004/05","Q3","March",102.501329592457,99.3941893936669,101.793703518742,101.793703518742,100.695157017825,97.642767634804
2005-04-01,2005,"Q2","2004/05","Q4","April",104.024881450293,100.006386849179,99.2336189131118,99.2336189131118,104.828265450418,100.778736021654
2005-05-01,2005,"Q2","2004/05","Q4","May",103.608516961937,101.96588338526,97.9245846511075,97.9245846511075,105.804397671004,104.126950089757
2005-06-01,2005,"Q2","2004/05","Q4","June",103.454170156962,102.924616710998,96.3667261816721,96.3667261816721,107.354658870458,106.805139895448
2005-07-01,2005,"Q3","2005/06","Q1","July",103.552582038331,101.156553061917,100.5594269788,100.5594269788,102.976503694836,100.593804182319
2005-08-01,2005,"Q3","2005/06","Q1","August",105.356025064382,101.300840351871,102.861755657289,102.861755657289,102.424875398202,98.4825115073691
2005-09-01,2005,"Q3","2005/06","Q1","September",108.571437877637,99.0280638592249,102.50076752633,102.50076752633,105.922560872286,96.6120217917265
2005-10-01,2005,"Q4","2005/06","Q2","October",99.4754045112783,101.713289576001,102.094110163566,102.094110163566,97.4350081037072,99.6269906393671
2005-11-01,2005,"Q4","2005/06","Q2","November",104.787554005848,102.965572904764,101.531849204025,101.531849204025,103.20658475872,101.412092571916
2005-12-01,2005,"Q4","2005/06","Q2","December",99.0200650881435,104.513595417528,104.958253460492,104.958253460492,94.3423330928578,99.5763477113011
2006-01-01,2006,"Q1","2005/06","Q3","January",104.935715200732,104.915116572975,109.856136453095,109.856136453095,95.5210319503058,95.5022814021594
2006-02-01,2006,"Q1","2005/06","Q3","February",115.360862541694,115.338217482662,111.907698560278,111.907698560278,103.085725134055,103.065489654885
2006-03-01,2006,"Q1","2005/06","Q3","March",120.26580659211,120.242198704393,113.177958646304,113.177958646304,106.262569170342,106.241710084351
