"Date","Year","Quarter","FY","QFY","Month","EXP_DPD_AGRO","EXP_DPD_MID","EXP_DPD_SPD","EXP_DPD_MAN","EXP_DPD_TOU","EXP_DPD_NECLW","EXP_DPD_PSD","EXP_DPD_SED","EXP_DPD_ITIS","EXP_DPD_SUD","EXP_DPD_DIT","EXP_DPD_HCD","EXP_DPD_TTD","EXP_DPD_PST","EXP_DPD_CMC","EXP_DPD_GOS","EXP_DPD_DPI","EXP_DPD_RBD","EXP_DPD_ADJ","EXP_DPD_LEG","EXP_DPD_LGOV","EXP_DPD_I","EXP_DPD_I_DOM","EXP_DPD_I_EXT","EXP_DPD_CEN_TOT","EXP_DPD_LGP_TOT","EXP_DPD_I_TOT","EXP_DPD"
2006-09-01,2006,"Q3","2006/07","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2006-10-01,2006,"Q4","2006/07","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2006-11-01,2006,"Q4","2006/07","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2006-12-01,2006,"Q4","2006/07","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-01-01,2007,"Q1","2006/07","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-02-01,2007,"Q1","2006/07","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-03-01,2007,"Q1","2006/07","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-04-01,2007,"Q2","2006/07","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-05-01,2007,"Q2","2006/07","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-06-01,2007,"Q2","2006/07","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,77.6487488162657,0,0,77.6487488162657
2007-07-01,2007,"Q3","2007/08","Q1","July",,,,,,,,,,,,,,,,,,,,,,0,0,0,28.6163231241033,0,0,28.6163231241033
2007-08-01,2007,"Q3","2007/08","Q1","August",,,,,,,,,,,,,,,,,,,,,,0,0,0,59.0617792946024,0,0,59.0617792946024
2007-09-01,2007,"Q3","2007/08","Q1","September",,,,,,,,,,,,,,,,,,,,,,0,0,0,79.9142520125662,0,0,79.9142520125662
2007-10-01,2007,"Q4","2007/08","Q2","October",,,,,,,,,,,,,,,,,,,,,,0,0,0,53.3089133652957,0,0,53.3089133652957
2007-11-01,2007,"Q4","2007/08","Q2","November",,,,,,,,,,,,,,,,,,,,,,0,0,0,25.8321162798925,0,0,25.8321162798925
2007-12-01,2007,"Q4","2007/08","Q2","December",,,,,,,,,,,,,,,,,,,,,,0,0,0,64.8405051827406,0,0,64.8405051827406
2008-01-01,2008,"Q1","2007/08","Q3","January",,,,,,,,,,,,,,,,,,,,,,0,0,0,37.401989523275,0,0,37.401989523275
2008-02-01,2008,"Q1","2007/08","Q3","February",,,,,,,,,,,,,,,,,,,,,,0,0,0,65.5826619451694,0,0,65.5826619451694
2008-03-01,2008,"Q1","2007/08","Q3","March",,,,,,,,,,,,,,,,,,,,,,0,0,0,80.7193258593052,0,0,80.7193258593052
2008-04-01,2008,"Q2","2007/08","Q4","April",,,,,,,,,,,,,,,,,,,,,,0,0,0,66.3150616139764,0,0,66.3150616139764
2008-05-01,2008,"Q2","2007/08","Q4","May",,,,,,,,,,,,,,,,,,,,,,0,0,0,52.1314580245559,0,0,52.1314580245559
2008-06-01,2008,"Q2","2007/08","Q4","June",,,,,,,,,,,,,,,,,,,,,,0,0,0,114.876691916841,0,0,114.876691916841
