"Date","Year","Quarter","FY","QFY","Month","CPI_HL_05","CPI_C_05","CPI_HL_09","CPI_C_09","CPI_HL_16","CPI_C_16","INF_HL_05","INF_C_05","INF_HL_09","INF_C_09","INF_HL_16","INF_C_16","E_EP","E_PA","E_DA","REER","I_CBR","I_RR","I_LR","I_TBY_91","I_TBY_364","I_TDR","NFA","NDA","DC","NCG","PSC","M3","M2","CODC","PDD","PTSD","CIC","M0","TB","EX_G","IM_G","EX_S","IM_S","EDS","DLG","TOT","R_PT","FDI","BTI","CIEA","TBILL","TBOND","FXR","FXR_M"
1996-01-01,1996,"Q1","1995/96","Q3","January",,,,,,,,,,,,,1029.59,1045.36166666667,7.91896764678073,54.1282159861427,,14.0791666666667,20.2992654740771,11.725,14.64775,10.6187877871206,203.260779509889,232.708810560292,417.002407645,-75.4945923549998,465.922,753.664,655.443,221.094,229.742,204.607,246.172,321.372018,-336.869137015618,641.822568157432,978.691705173049,142.412774802334,463.621706934308,136.47460276874,244.14172721083,,,,,,95.9308,,527.3,4.96532653092574
1997-01-01,1997,"Q1","1996/97","Q3","January",,,,,,,,,,,,,1140.11,1083.0086984127,3.60134037304778,51.4774592234221,,12.8675,21.3705329954956,10.5895,13.6564166666667,11.8110765700964,404.691939009818,217.047397242946,350.706,-9.87900000000002,333.353,904.162,783.261,240.455,272.077,270.729,268.988,350.610018,-293.38996537247,592.633637450441,886.023602822911,161.295261694452,388.333674707491,149.8268685,693.6246,,,,,,141.05052,,628.1,5.23160469536381
1998-01-01,1998,"Q1","1997/98","Q3","January",71.2755805278001,,,,,,,,,,,,1362.69,1240.22190789474,14.516338577193,57.2016602795286,,10.3233333333333,20.8619467840984,7.54766666666667,10.22825,11.3540733967536,621.361816494483,241.639034114801,495.772355,-24.447432,492.557787,1090.471543,944.600543,285.877,326.559232,332.164311,318.844,423.253018,-488.86902419023,510.20036,999.06938419023,177.132197136077,441.635798806371,140.20955962104,788.91444163735,,,,,,139.9253,,720.4,6.24585270336405
1999-01-01,1999,"Q1","1998/99","Q3","January",75.380377918928,,,,,,5.75905150225586,,,,,,1506.04,1455.58533491919,17.3649107190851,67.0185029021622,,11.1133333333333,21.5491666666667,7.44155608333333,9.40889041666667,8.72766666666667,849.757319443076,257.087855524838,558.1836,0.0515999999999508,533.438,1285.91382,1004.87732,330.7592,363.06422,300.5679,370.2939,467.3939,-444.775899458085,485.758537,930.534436458085,191.793612733503,428.477717042325,115.133947226,678.1991449658,,,,,,299.4825,,760.8,6.86744608167543
2000-01-01,2000,"Q1","1999/00","Q3","January",77.9293692036859,,,,,,3.3815050483023,,,,,,1766.68,1644.47497222222,12.9768851589533,69.8929988019053,,19.0834660294873,22.9198059172346,13.1908333333333,15.218125,9.83938,1252.41116553735,388.476846475395,960.092693,316.780493,621.7937,1522.210508,1167.492508,362.248,451.684508,343.8025,409.1148,547.2375,-472.949501572119,440.896798,913.846299572119,208.29550224623,415.55620194307,97.822468515,765.237994045951,,,,,,485.9591,,804.52,7.26208953947097
2001-01-01,2001,"Q1","2000/01","Q3","January",79.4270675147959,,,,,,1.92186633411009,,,,,,1727.4,1755.65751600877,6.76097512364728,71.7893577819067,,13.5208333333333,22.6550184404415,10.9989644108366,16.0174179739039,8.47793475083508,1519.888169754,136.945578374,912.356943519,142.198293461,731.640281718,1656.833758509,1320.646925509,393.433865509,519.132459,408.080601,444.515393509,617.289292487,-508.204756302111,467.23790773,975.442664032111,216.920554331899,482.579769159595,78.62044572,836.234819109353,102.520722134886,348.57479362321,151.496150651927,,,697.6272,,981.5,7.63017309286873
2002-01-01,2002,"Q1","2001/02","Q3","January",79.2,,,,,,-0.3,,,,,,1852.6,1797,2.4,74.7,,7.5,19.1,5.9,10.9,5.6,1608.9,454.3,1431.5,526.1,859.2,2063.2,1630.2,466.6,640,523.5,527.9,681.3,-562.6,478.2,1040.8,224.7,508.1,70.07539799,624.338417197155,91.488786034245,441.830059991341,184.6480591975,,,1200.6976,,931.055837716895,7.14508320963616
2003-01-01,2003,"Q1","2002/03","Q3","January",86.0864374912455,,,,,,8.71020674292787,,,,,,1935.32,1963.6848125,9.27577171132219,85.5451994128446,,18.9509166666667,19.0207837734755,16.8659472822816,19.1406428843171,9.84918942429228,2230.454328584,202.741947822,1255.241025708,163.148102876,1042.714632067,2433.196276406,1819.698255406,546.231844406,692.207466,581.258945,623.770635406,767.052179493,-625.253782566839,572.217735780241,1197.47151834708,261.788952477531,381.212892180803,97.08494652734,875.722903773649,106.768380051346,298.785184174032,202.192593618499,,,1340.014,,1075.46681765289,6.73447496761914
2004-01-01,2004,"Q1","2003/04","Q3","January",89.2423465164119,,,,,,3.66597703092013,,,,,,1738.59,1810.77222665281,-7.78702289052784,82.4022700789667,,14.8767916666667,20.8008154808299,9.01795668435572,13.2588140055908,7.68446972575161,2511.867555264,134.810438921,1262.764187011,-28.3775137789999,1233.842154511,2646.677994185,2000.531113643,588.607781442,739.411188201,672.512144,696.508740758,924.571085441,-667.631555989649,759.123292303551,1426.7548482932,373.163160837849,492.535518772808,124.276152549667,948.735988888402,99.4180656638168,310.532464928578,295.416479800691,,,1176.0202,,1308.73524122651,6.67038621172417
2005-01-01,2005,"Q1","2004/05","Q3","January",96.9187440194705,,,,,,8.60174323368656,,,,,,1816.855,1780.66553169856,-1.66264395439142,82.4709651048021,,14.2280277777778,19.6428333333333,8.50265850880528,12.1690488020261,8.79158333333333,2680.06726663405,421.38550844595,1386.087546147,-58.8369239269996,1382.140841579,3101.45277508,2435.651452246,710.222681471,896.330794626,829.097976149,832.73502179,1051.212874311,-729.709508180297,1015.8575762569,1745.5670844372,526.165348586671,604.522090448607,157.36521516716,853.239387829276,100,321.808492956159,379.808340667061,,,1092.4528,694.8259,1343.05676942959,5.39731121162246
2006-01-01,2006,"Q1","2005/06","Q3","January",103.915668053064,103.233831855365,72.1798439015092,73.6599245264717,,,7.21937134491559,,,,,,1741.44,1831.45185089088,2.85209761677543,84.600477926692,,13.7848055555556,18.697692864388,8.11894447080146,10.9969436653075,9.6582465362448,3778.27970359592,-152.031932182633,1275.79122148581,-536.589388974319,1722.83034196513,3626.24777073363,2831.42373283,885.870798739,1004.396446236,941.156487855,1026.340281185,1226.598927999,-1039.7030630837,1175.87303307,2215.5760961537,547.952900039231,770.481331561374,210.308603530623,758.84131694917,94.329895867225,411,644.26249994651,,61.8615975313468,1041.8285,946.066,1813.74094743833,5.52149928805724
2007-01-01,2007,"Q1","2006/07","Q3","January",110.244364374745,110.091169028722,76.5654154316266,78.5463721790269,,,6.09022339003707,6.64252895597606,6.07589500484595,6.63379399852502,,,1697.34,1723.49158714041,-5.89479126617278,82.1010638908992,,14.7902222222222,19.1057894680034,9.0816961586615,12.2968168590386,9.26209470422399,4958.64630811385,-535.85521884665,1163.67038881702,-1109.93993746083,2167.70935264985,4422.7910902772,3388.313260814,1022.330884529,1264.688458132,1101.293918153,1199.97641206,1543.533839495,-1193.20913717222,1764.96915839609,2958.17829556832,662.871919794277,977.237682291444,57.5991263250578,844.97926486718,93.3459828969572,451.571875891443,792.305780891244,,67.8228209737044,1528.4563,1256.6783,2578.10658296099,5.79494265904053
2008-01-01,2008,"Q1","2007/08","Q3","January",123.522108821028,122.725422965516,85.7868937837437,87.5604903928585,,,12.0439212667133,11.4761738368847,12.0439212667133,11.4761738368847,,,1949.18,1720.44387915111,-0.176833354571593,80.4937454984015,,15.2746666666667,20.450066096838,9.07519503849373,14.6942991914834,10.6705362316752,4996.55066458262,789.177032728699,2969.54524452258,-553.310582539421,3405.403658157,5785.72769631691,4522.51254388911,1254.523852842,1637.03154117188,1630.95714987523,1487.710321437,1926.960890525,-1835.13678771622,2207.62874333645,4042.76553105267,832.090830042777,1257.39877227793,54.346764252008,646.027284043538,99.0856635664722,723.521002699915,728.860900652408,,72.6257671447451,1367.9466,1365.2354,2318.2992985204,5.27906365735247
2009-01-01,2009,"Q1","2008/09","Q3","January",139.601298176216,136.282952532664,96.9539935240888,97.2333349325645,,,13.0172561889183,11.0470424460927,13.0172561889183,11.0470424460927,,,1899.71,2030.48788683418,18.0211636915501,83.3889204096326,,11.3463957335812,20.9551657814281,7.39284332974369,12.9308776474935,9.75250938918253,5216.25860286452,1528.8024346846,3498.9367917187,-620.21282181185,3995.28271448955,6745.06103741876,5332.43981443493,1329.74924357784,1925.60557439077,2077.08499646632,1595.249361945,2181.520200386,-1508.68075517509,2326.56199433952,3835.24274951461,1027.18353600284,1392.95169148434,63.7423587135502,840.837688712221,106.071767542345,778.33260593,841.570802747638,,77.552302026874,1185.9977,1406.5862,2769.21091651357,5.37862918336418
2010-01-01,2010,"Q1","2009/10","Q3","January",145.175866091939,142.828403504303,101.308612793202,101.754221428192,,,3.99320635878833,4.80283912991322,4.49142847120703,4.64952323065273,,,2308.3,2177.55750683358,7.24306807999242,90.8662044284668,,7.98563888888889,20.1746301259357,5.01365106608655,7.34883920126597,7.68727600132163,6169.1831449068,3375.24324417158,6178.30683018489,445.005845061949,5657.99271705895,9544.42297410179,7397.64926128196,1770.74789579644,2611.45805307343,3015.44331241209,2103.786046337,2849.13965492037,-2211.71688196219,2163.97407052818,4375.69095249038,1304.10356404105,1802.65672160876,54.5480760460232,878.209144600085,98.7577047323757,768,543.872727272727,,82.314597583928,1456.7256,1960.2787,2484.72086346943,4.01125122169114
