"Date","Year","Quarter","FY","QFY","Month","CPI_HL_05","CPI_C_05","CPI_HL_09","CPI_C_09","CPI_HL_16","CPI_C_16","INF_HL_05","INF_C_05","INF_HL_09","INF_C_09","INF_HL_16","INF_C_16","E_EP","E_PA","E_DA","REER","I_CBR","I_RR","I_LR","I_TBY_91","I_TBY_364","I_TDR","NFA","NDA","DC","NCG","PSC","M3","M2","CODC","PDD","PTSD","CIC","M0","TB","EX_G","IM_G","EX_S","IM_S","EDS","DLG","TOT","R_PT","FDI","BTI","CIEA","TBILL","TBOND","FXR","FXR_M"
2009-07-01,2009,"Q3","2009/10","Q1","July",143.987156281016,140.160730501717,100,100,,,9.39674773185995,7.76130646084894,9.39674773185992,7.76130646084894,,,2283.335,2028.88111786156,5.12169595320668,83.9271016904173,,8.56652343303214,20.7471864333625,5.50917636152421,9.3594229640802,8.73689373105011,5779.47900379705,2608.91324735441,4884.220437762,92.4792178123807,4677.63097373662,8388.3922534882,6502.51509306146,1433.91564577778,2331.03535438678,2737.5640928969,1738.981126729,2406.12087059884,-1799.54384430793,2317.29769554967,4116.84153985759,1153.05841953,1640.39562181033,62.764853114,814.305702850367,100.352602847001,777.470260407214,692.721765010182,,79.5695769873477,1214.4018,1563.8687,2384.19670955223,4.37404898678044
2010-07-01,2010,"Q3","2010/11","Q1","July",153.390235521576,149.024239582483,106.244132561389,105.552713150745,,,6.53049861072925,6.32381769775194,6.24413256138934,5.55271315074477,,,2623.165,2323.43098142125,14.5178473478103,95.8367320001425,,10.8761111111111,19.8316574801438,7.98689586098734,9.46243608133428,8.68181238765528,6668.50128670375,3873.88781633089,7528.13222793369,692.168281548709,6739.72315958198,10542.3853829846,8056.41832003971,1888.08225429994,2802.91611827043,3365.41994746934,2189.817166311,2892.603817004,-2373.34909663583,2297.77041897234,4671.11951560817,1530.80659167559,2168.79589485126,52.6971749018946,693.287384199121,104.630536908943,751.389627332359,719.083292636363,,85.9106079830981,1496.1417,2324.38,2043.49094031133,3.20517922638989
2011-07-01,2011,"Q3","2011/12","Q1","July",189.481662657253,185.624253128945,128.316543747342,125.443596590416,,,23.529155563882,24.5597720538641,20.775181324201,18.8445022831999,,,2472.36,2559.12054405173,10.1440311554386,90.7855376877109,19.75,23.9166666666667,25.3445966266092,19.0689817568345,20.4184586920449,18.0694652031216,7894.29497290155,3449.46044836948,7127.67883784717,-568.817204615401,7614.99539503043,11343.7530364712,7768.36304247742,1934.14742253375,2486.40857984113,3347.80704010254,2204.471297995,2848.89194788166,-2574.0440828754,2667.43134083814,5241.47542371353,2030.82921283631,2441.12434380426,64.8693048269109,967.744280316742,108.262508176701,791.971323929436,1261.11200739208,,90.5768348469555,2478.0805,3199.8999,2643.16321704157,4.26380534982535
2012-07-01,2012,"Q3","2012/13","Q1","July",200.176527656665,197.66654830903,134.504053436407,132.233461860325,,,5.64427441126978,6.4874578494436,4.8220669824522,5.41268383118685,,,2593.33125024803,2588.94854801703,1.165556817346,88.3674704515361,13.2916666666667,16.875,24.5431371935691,11.0198706293629,13.7091314424319,12.9576008270688,8425.49843220447,3785.18607794912,8204.94700900026,-104.590035637744,8200.41952582636,12210.6841300125,9095.7048583458,2133.6272086376,3103.71622921962,3858.36142048858,2452.856813112,3317.6459425,-2122.95951523564,2912.1057869055,5035.06530214114,2038.33612394556,2380.95614985045,74.4209517002909,989.710295058969,99.43521631801,975.985815781101,939.423409401658,62.3518007725,97.7654265180427,2548.0256,4202.2296,2911.71632787672,4.6308221612787
2013-07-01,2013,"Q3","2013/14","Q1","July",213.561220013047,207.843221591224,141.642565741688,138.36120636034,,,6.68644446632578,5.1484044059313,5.30728414713253,4.63403469424954,,,2599.68,2538.33895281606,-1.95483202011599,83.1776471524076,11.5,14.5,22.1616247103054,9.87060615809501,12.7963640264648,11.7138252006786,8842.55478484564,5464.80018834224,10074.715469041,540.207103019675,9439.52875262426,14307.3549666315,10360.5669041679,2325.19499928009,3718.29258365208,4317.07932123577,2746.091265057,3759.996701267,-2367.18453092381,2706.32906954387,5073.51360046768,2202.27316656079,2471.71157070851,95.2494089298994,694.805418603546,104.116025006215,889.675467527516,1077.28227017342,60.2358333333333,102.348322655,2865.7817,5509.0701,3392.88819928671,5.33764162202865
2014-07-01,2014,"Q3","2014/15","Q1","July",219.306002658375,214.678290380345,145.732105153574,142.799687315269,,,2.6838144782513,3.28856949810135,2.88722488926385,3.2078940851165,,,3301.77,2823.21959114997,11.2231125798963,89.616235144388,11.3333333333333,14.3333333333333,21.5792036999922,11.9581984915783,14.5009993740296,10.4943438511827,9643.72175914041,6876.79226332349,13267.1625578874,1830.5852301063,11338.4274583448,16520.5140221471,11239.1706951324,2748.28956174272,3962.9534376565,4527.92769573318,3231.556601913,4294.968769184,-2249.64374884299,2738.36908042451,4988.0128292675,2173.69460724553,2639.82382117555,101.271050758147,678.63137304525,123.676984247561,916.479946718608,898.108340249138,55.0083333333333,108.512389875,3433.3983,6535.4379,2883.40977361276,5.0347489100329
2015-07-01,2015,"Q3","2015/16","Q1","July",,,155.28086869809,152.337540380159,,,,,6.5522717416681,6.67918343814915,,,3404.86111111111,3442.95702702967,21.9514428782801,98.9769442294544,16.2916666666667,20.2083333333333,23.965,17.8337181381126,20.0552746255319,14.4065309541897,10324.6494079088,7461.3208048829,14825.6731507972,2753.86084553481,11977.8994457979,17785.9702128389,12314.2360526228,2920.33546132091,4240.88818762178,5153.01240368013,3391.603151764,4929.39816267,-2004.06488999062,2687.82848064486,4691.89337063547,1984.71397362394,2239.82529278034,93.269726388702,1309.32500181549,130.234639810124,953.583222973695,681.678251009248,53.825,114.459186275,3958.6274,7654.1066,2924.50043143128,5.21381619261126
2016-07-01,2016,"Q3","2016/17","Q1","July",,,164.115310074996,160.153196529933,,,,,5.68933021239262,5.13048597887953,,,3590.9,3528.29744887118,2.47869552746454,98.2438062003513,12.3333333333333,16.3333333333333,22.5934123616779,13.2075732935539,15.0574944794637,11.3811723821889,12894.3761031961,7276.9058759437,15248.6416271438,2456.0463674112,12678.6973745522,20171.2819750976,14250.7690316357,3328.67649709762,4812.36350829271,6109.7290262454,3865.778180178,5265.358385697,-1493.88398448473,3274.09029351229,4767.97427799702,1691.51605361328,1962.98897055567,130.666004977992,1258.03273170348,130.293602244028,1163.88,714.204251437819,55.0333333333333,118.638780658333,3600,8451.2352,3326.94222030623,5.03193510601857
2017-07-01,2017,"Q3","2017/18","Q1","July",,,169.68917119304,164.427763854412,103.868298655246,103.605433506409,,,3.39630782496632,2.6690490212474,,,3879.54,3658.72205846774,3.69653101776577,102.918761455985,9.41666666666667,13.4166666666667,20.3423280499394,9.11797298112707,10.1209973251737,8.86404647078935,14952.8753245037,7797.11003858527,16836.0719399504,2716.39515423732,14049.4347583923,22749.9853642438,15969.7339629985,3760.15959276925,5685.52274402868,6524.05162620059,4314.739788578,5544.842316422,-2077.82592552999,3531.26342683176,5609.08935236175,1955.76095986227,2324.89743453532,277.001085351631,1484.73328443189,131.37733374437,1252.4,929.028746819451,57.35,124.557599725,3860.7342,9695.252,3084.12864451918,3.80112944132838
2018-07-01,2018,"Q3","2018/19","Q1","July",,,175.018429035749,170.676841885514,106.573677678018,106.675324744012,,,3.14059984219395,3.80050052656304,2.60462437317013,2.96306007678002,3694.76,3736.82231630824,2.13463216370169,101.871520458659,9.75,13.75,19.9451181065486,10.2760087024453,12.6897500897177,10.1425868058157,13877.0338312308,10535.3592878017,20084.3679269635,3972.6959025602,15930.1852523757,24412.3931204128,17278.9705919298,3993.23160450846,6025.12253999365,7260.61644742764,4592.309900941,6162.202068493,-2865.2920408406,3962.40851728527,6827.70055812586,2309.54263348888,2907.88761972833,317.911198848833,1637.3676252536,125.055631388323,1369.05124599145,1179.17917898482,58.0666666666667,131.609596925,4144.602,11881.8371,3209.34661595482,4.23074269140683
2019-07-01,2019,"Q3","2019/20","Q1","July",,,180.188725914846,175.999693446817,109.059637040436,109.079633818123,,,2.95414426216836,3.11867240013299,2.33262041489153,2.25385681260415,3730.14,3714.61748353096,-0.594216981641671,99.8367543815671,8.91666666666667,12.4166666666667,19.2597119332676,9.16387689484774,12.2396435762703,9.94476101668904,16223.3007682361,13845.5476190797,24316.3871061756,6895.16876067837,17326.4053697998,30068.848387025,21575.0096153139,4877.23250571861,7801.01858900568,8896.75852058965,5697.35100758,7937.062497332,-2402.08935881785,3807.09379256663,6209.18315138448,1580.39888207054,2893.76080803465,266.83791900572,1740.85268002732,125.422368661259,1291.64752816056,1247.24521452953,51.65,137.231732308333,4977.5126,13979.8026,3864.52203926109,3.97480192330093
2020-07-01,2020,"Q3","2020/21","Q1","July",,,,,111.766746036689,112.884423148116,,,,,2.48222813656425,3.48808406923853,3556.71,3661.05564356699,-1.44192074154191,98.8855000470082,6.95833333333333,9.95833333333333,18.9491348978847,7.81071413591822,12.1483061125133,9.40570136860149,16376.779811622,16242.483823155,28190.7012802208,9320.28594059451,18765.6293430143,32619.2636312286,23677.9275463443,5237.25339745589,8524.5027204901,9916.17142839833,6016.965100526,8127.767662453,-3045.44336980549,5278.73102725401,8324.17439705951,1482.13869177064,3321.289165753,415.919659662559,2358.70660172043,117.024152138002,1014.39282571465,1419.86284318517,50.825,146.831224508333,6387.0181,19651.7795,4154.23333561765,4.92193055936622
2021-07-01,2021,"Q3","2021/22","Q1","July",,,,,115.607667262537,116.49357418246,,,,,3.43655099754538,3.1972090866853,3756.65,3571.63867131474,-2.4423822240825,96.42915314262,6.58333333333333,9.58333333333333,18.5681842582387,6.95444458405023,9.91867961585233,8.23764086057724,15906.1652488054,19964.2627579512,32968.382104536,11990.5709806086,20760.4845397123,35870.4280065879,26332.7757373862,5718.24904566506,10175.9997453754,10438.5269463458,6827.751135496,9847.707922951,-3300.12135991887,3836.57897329919,7136.70033321806,1792.24907663248,2901.49295805871,570.338950829901,1930.515988044,101.737976565318,1254.5,2300.59097524244,51.7,151.286097725,5039.8478,25199.2671,4117.1717001225,4.81642032996454
2022-07-01,2022,"Q3","2022/23","Q1","July",,,,,125.800127881386,125.146542653049,,,,,8.8164226994587,7.42785044695777,3667.39,3754.12842629482,5.10941256308288,93.662968205884,9.70833333333333,12.7083333333333,18.5585086515597,10.3544775754232,13.2384358419478,10.6393241326572,15742.3474878841,22508.3884821975,39015.0754041243,15881.1088688847,22174.0104530325,38250.7359689375,28561.3948778778,6264.29878147087,10338.037031234,11959.0590651729,7313.597247094,10209.697577206,-3109.2072839659,5396.23458880427,8505.44187277017,1934.57185704355,3353.67186733462,856.685364023272,2149.11700362061,97.155722740145,1416.07,2973.23033841713,53.3166666666667,156.272675058333,5560.9495,28558.5869,4074.626308724,3.84620915024197
2023-07-01,2023,"Q3","2023/24","Q1","July",,,,,129.770779207193,128.906747486663,,,,,3.15631740021083,3.00464140191061,3706.72222222222,3776.62833558254,0.599337761865826,91.6041573762378,9.77083333333333,12.7708333333333,17.8890704342274,9.83991341990357,12.9966660053994,10.7813538879681,14375.2899490078,27196.3962864752,45489.1645209764,20127.3405474634,24296.6200499872,41571.6862374307,31210.1143088518,7158.98129491391,10697.041953338,13354.0910605999,8200.336947326,11230.123685646,-3003.53869490168,7818.85753546754,10822.3962303692,2319.67950447011,4072.46686649766,,1174.3640724819,115.582320214619,1403.11333141275,3006.27997010903,57.5166666666667,165.962742116667,,,3234.03,2.99157735750264
2024-07-01,2024,"Q3","2024/25","Q1","July",,,,,134.255306381109,133.981898887656,,,,,3.45572955738767,3.93707195313346,3594.59045454545,3677.59066139483,-2.62238339035398,89.0343598249802,9.83333333333333,12.8333333333333,18.1577525800284,10.7880631390725,14.7740906841254,11.5119304169495,17118.1620116969,29997.4818524282,50851.1868557292,22989.5446000134,26799.5538127683,47115.6438617783,34652.844754477,7820.52349054584,12183.696306328,14648.6249576031,8967.176511447,12766.91830603,-2464.3688238524,10761.6251682527,13225.9939921051,2642.85412992133,4724.56957715095,,1403.31741461576,149.250788438038,2221.39840918453,3468.08283059362,58.2916666666667,174.457024975,,,4297.82,3.00697394224094
2025-07-01,2025,"Q3","2025/26","Q1","July",,,,,138.710489643222,138.510400121124,,,,,3.31844109719333,3.3799351039689,3665.1,3607.5471103101,-1.90460433294014,88.8009716403602,9.75,12.75,,11.1582664283391,13.7739096161913,,,,,,,,,,,,,,,,,,,,,,,,57.025,,,,,
