"Date","Year","Quarter","FY","QFY","Month","KA_RC_RWA","KA_RCT1_RWA","KA_NPL","KA_ILN_CA","KA_TCA_TA","KA_LEV","KA_CET1_RWA","AQ_NPL_GLN","AQ_NPL_TD","AQ_NPL_SP","AQ_EA_TA","AQ_LE_GLN","AQ_LE_CA","AQ_NPL_P","EP_RA","EP_RE","EP_NIM","EP_YOA","EP_CD","EP_CI","EP_OI","L_STG","L_LA_TD","L_LA_TA","L_IBB_TD","L_BFA_TD","L_LCR","MS_FX_T1CA","MS_FX_LD","MS_FX_AL","E_CA_A","E_NOP_CA","E_FX_TA","E_FX_TLN","E_FX_TL","E_FX_TD","E_NII_TI","E_SDL_DR","E_SFXL_DR","E_PE_NIE","E_TLN_TA","E_II_ATA","E_NIE_ATA","E_NPL_LNLP","E_NPL_SP","E_STD_TD","E_CD_TA","E_LA_STL","E_CD_TLN","E_TL_TD","E_NPL_TLFX","E_CG_PSA","E_CG_PSQ"
2002-07-01,2002,"Q3","2002/03","Q1","July",24.2555516016911,21.235305303823,4.3545324587797,3.6385883857499,12.2060419956002,8.31228413008621,21.235305303823,3.29862586049484,1.05566464702205,52.2814628382458,85.4692158204873,49.2256738347183,104.379672166027,80.9078620504936,2.4179303766875,19.3390729804619,8.11151753848647,15.0045020000427,1.6801164452048,71.9302380998784,53.5524365654517,-24.42435834004,64.4745292811731,52.142803818965,1.22699447576767,30.751806802264,,5.101762810072,31.432433445637,100.517658867782,12.2060419956002,4.46650287070839,28.245377208174,27.1637397154353,30.4221203148514,27.65696206935,40.2011200635334,1573.18249207053,972.866666666667,41.2169876121617,25.8820766217103,6.8671520017164,-7.84184445777741,89.957472266724,52.2814628382458,97.229716646283,80.8734928355514,66.3115470301414,312.469103687428,32.0031640952358,,7.12422919787952,5.19622441142906
2002-10-01,2002,"Q4","2002/03","Q2","October",20.7640616027481,18.0663525703345,4.69758806685403,3.85197116589326,11.4308796267709,7.28312325783909,18.0663525703345,2.97207831469225,1.07810406521647,53.1730564156494,85.4478233603782,59.6036680113702,147.894175340408,81.4565563410787,2.57617976156086,21.8739266555494,8.0637256488623,13.9966886311211,1.48864458124008,68.9382440571617,54.9827951314545,-27.7265232833949,69.1660046105317,54.0816569557607,2.05227040115575,34.9826790600248,,4.30101805586059,38.5764029891984,100.525050990402,11.4308796267709,3.74222105940333,26.8515686813948,28.9156045469109,28.6385857566235,27.1901110545049,39.7304597940328,1339.06666666667,1020.77666666667,46.0015566729898,28.3633637361756,6.74384707858076,-7.34767508014062,85.3109088512093,53.1730564156494,104.543803430581,78.191095842951,66.1598318990364,275.676385108101,36.2744164542012,,26.8073242251561,17.1778129383277
2003-01-01,2003,"Q1","2002/03","Q3","January",22.6839545255214,19.6847066593928,5.51414471810677,3.58402170896133,11.004016958406,8.09571423665,19.6847066593928,3.38230776283913,1.27605192885827,46.2957004597102,80.2280937688463,56.3329551794216,143.437094407643,70.8027115184388,2.51252044818435,20.7593222102759,8.10430829211084,14.014220609191,1.43274918018267,67.4084349381924,55.3953436597031,-21.9709909894303,64.3043372901655,47.7568019580905,0.898212873746315,35.9360868571249,,7.09667048009655,37.9091868550605,101.309534740661,11.004016958406,6.15835640570972,28.615697380003,30.1087348021655,31.7382962120544,29.9642397574286,37.9425151262758,1534.0153184568,762.597183163658,43.404430066639,28.0188428655835,6.59643594343469,-6.89652002089994,67.8405689160149,46.2957004597102,103.029666062832,74.2668441517308,62.4134191126563,265.060354233812,37.7272566050332,,35.7048494769444,9.33404847935746
2003-04-01,2003,"Q2","2002/03","Q4","April",20.5062695095369,18.0085432622121,15.8252374990343,4.41129137569246,10.495711389268,7.59000881102921,18.0085432622121,7.96640692940138,2.79347743394377,36.4144029804223,81.0008508333347,50.2178902746723,128.26987915225,46.8378378927796,2.69608425413907,23.9955329346627,8.22148347792646,15.159455239629,1.48919455990337,66.5000675082466,52.7546881006375,-18.7358628825468,61.1378182598039,46.7417919480553,1.29881773248902,32.9228933023566,,10.8285593291052,26.7479246615288,101.721999430177,10.495711389268,9.50960773508457,31.0555560432967,25.5695873274769,34.1099102349881,33.5209492368309,38.0035029326304,1613.83409685144,934.725865764135,40.2778145875219,26.808844898793,6.74771147947553,-6.87196284822181,46.4490403784074,36.4144029804223,102.295784659496,76.4531566197325,59.7657258931136,285.178853875851,35.0657135481489,,38.1817564631463,2.52971221462843
2003-07-01,2003,"Q3","2003/04","Q1","July",18.29366493496,16.0368813723863,10.5703160150238,4.0529643981134,10.6793633156074,7.26647506115026,16.0368813723863,7.79981503612658,2.79385510356878,58.0956086333063,80.2862986382294,47.409755981133,118.875601677563,69.7884588844252,3.64401532868505,32.1463738913658,9.45890496475377,16.6364470617416,1.78742273180243,63.1614381568672,49.0880766694817,-22.0860312902766,62.5473946553172,46.7584406364349,0.873068094275908,33.2962897645135,,31.6049518993358,29.5123335412252,100.645918737475,10.6793633156074,27.7060319073091,29.5754410497613,26.2696292312099,32.8990419528366,31.8837920108874,32.2500838149677,1783.04329589894,775.937624344818,36.3121542195427,26.7775210693203,7.80496641449584,-7.19208970792819,68.3630965993525,58.0956086333063,104.437428867737,74.7568158419847,59.8898262178873,279.177507314654,35.8195045732293,,37.1951503136672,4.44513219373841
2003-10-01,2003,"Q4","2003/04","Q2","October",16.9479913098968,14.4488903691222,10.4131418967512,3.87659415918327,10.2216307227552,6.56551816785816,14.4488903691222,7.24913613867922,2.77498915208984,62.9025253743609,82.0980482164607,47.1422034391603,132.784735386022,76.5183158675225,4.20567007352655,39.1006841668511,11.0578008421276,17.1959109843313,2.09683805076775,63.1246448955202,47.5914088888569,-23.8934832138747,59.3603195019415,44.6457021788163,1.29430641791985,35.3456434378139,,23.0492341936297,28.4377843940902,99.4036550837885,10.2216307227552,19.6504619259216,29.9859601778624,25.044514432304,33.6003571220377,33.7125724332021,32.9033414066477,1699.55976886517,858.076208363467,37.0914432942893,28.7911135186189,9.24192454239042,-8.28289934015033,75.8226814360185,62.9025253743609,102.851935942609,75.2113576096167,57.7143433985183,261.231152317115,38.280273663,,28.1987408531425,9.49401666366483
2004-01-01,2004,"Q1","2003/04","Q3","January",19.1303471576264,16.9570955855191,6.74631179124386,2.95439512498138,9.88981681298025,7.51431838589857,16.9570955855191,6.55237966860688,2.49852136061988,70.0922154241046,80.6864857978194,50.4491326298548,147.726981258729,84.9170655390541,4.3762756788952,42.0824126856146,11.7296328983748,18.0668600205953,2.27150950839235,62.1221995802873,46.0375527407036,-23.7125660634666,59.0424847562009,44.8409681005949,1.39806785076924,34.9910224153691,,22.5672213567631,28.70614908706,100.910792388185,9.88981681298025,20.0035329465333,30.7628785513046,25.5323299111946,33.8310503834198,33.9156015200872,34.6363270097055,2047.01644201012,839.480045043074,39.4387587141751,28.9597205506525,9.43964264484378,-8.24160969508004,84.4483611492551,70.0922154241046,102.17691920124,75.9469529200081,57.7845615406696,262.250296190434,38.1315107943233,,22.678635998442,4.62623771789032
2004-04-01,2004,"Q2","2003/04","Q4","April",19.0149787807116,17.0154677934361,1.76139213931118,2.6358982026519,10.6578233837475,7.8310029018904,17.0154677934361,1.63279644592845,0.601864009620015,66.2673318221119,81.6620473278884,44.6203130576038,116.232982731951,139.598426291788,4.78545303367905,45.2204843403692,11.6081252169145,19.0674190196777,2.14240446185043,59.6588808815592,44.8857949587852,-22.6739561957813,53.3517377480789,40.1834786617187,1.92354441697636,33.9480116753482,,7.67636630673585,27.0073877404228,100.975389307991,10.6578233837475,6.86916168401814,29.8321476715305,24.6115425609185,33.0683446268254,33.5909729076908,43.2125104337446,1881.11981738826,764.299373098842,39.5083806773961,27.7629294022223,9.44376563333683,-8.1457276759241,96.3769817771418,66.2673318221119,100.893907345551,75.3180315352814,52.8790480532733,271.289929258158,36.8609333466413,,19.2909922988248,-0.301539786020322
2004-07-01,2004,"Q3","2004/05","Q1","July",20.6092308337349,18.7417100857683,4.54091768216235,1.96647172110351,11.5847981764717,8.2742580697713,18.7417100857683,2.6344259613857,0.986207411999508,42.8895294565929,80.9432868900117,43.9495390490033,105.414047077775,87.7504551211473,4.65348552989609,41.7146396026595,11.3074876840544,19.2593539204624,2.09414912369951,61.0792290465554,46.3885692648808,-22.6202359038699,58.3733181809847,43.3276117753121,1.54780771132299,34.6240516449108,,5.90484335730855,27.1511821863495,100.99579220012,11.5847981764717,5.36977159396958,29.3523324220225,24.5508212187446,32.870960504154,33.8500679258903,38.8883933935987,1833.30546442946,922.007246328556,37.3460309971458,27.7864224923833,9.11743101201127,-8.29572988075898,58.4619253160707,42.8895294565929,100.704889166344,74.2250280187537,57.9647310713623,267.126968356937,37.4353816146257,,15.1001662132517,0.775857791089685
2004-10-01,2004,"Q4","2004/05","Q2","October",20.5566180870773,18.7715050369218,3.75117072781847,2.08056236118817,12.2355154518394,8.4499675867527,18.7715050369218,2.19019159233144,0.877449378530232,45.0954845440927,80.9423718239575,39.6845871714058,96.1655530128912,97.7648083745852,4.2647538941453,37.7906591425376,10.0371128680526,17.4528045430233,1.95278339040342,61.4786957595908,47.689735326756,-26.1270294401906,63.0757498013118,46.6812412088442,1.90521324719283,37.3964488457096,,-2.00610809976228,32.6434521019263,103.212352819542,12.2355154518394,-1.83189998178593,29.4216563290197,27.2931585076781,32.4800458228222,33.4963650358982,39.387919920022,1828.36425926456,793.046475982813,34.265688430666,29.6496749416036,8.17901350012003,-7.73421394658328,65.6946571227512,45.0954845440927,101.638159740171,74.0082224244496,62.0591222455813,249.608882964863,40.0626767814496,,15.2563941547107,9.64263525726223
