"Date","Year","Quarter","FY","QFY","Month","EXP_NWR_SEC","EXP_NWR_RAW","EXP_NWR_AGR","EXP_NWR_EDU","EXP_NWR_HEA","EXP_NWR_WAE","EXP_NWR_JLO","EXP_NWR_ACC","EXP_NWR_EAM","EXP_NWR_TTI","EXP_NWR_LHUD","EXP_NWR_SD","EXP_NWR_ICT","EXP_NWR_PSM","EXP_NWR_PAD","EXP_NWR_PARL","EXP_NWR_STD","EXP_NWR_TOU","EXP_NWR_LGOV","EXP_NWR_I","EXP_NWR_I_DOM","EXP_NWR_I_EXT","EXP_NWR_CEN_TOT","EXP_NWR_LGP_TOT","EXP_NWR_I_TOT","EXP_NWR"
2003-12-01,2003,"Q4","2003/04","Q2","December",,,,,,,,,,,,,,,,,,,,21.0048864,16.57626,4.4286264,68.0626732548158,6.25630717851752,21.0048864,95.3238668333334
2004-01-01,2004,"Q1","2003/04","Q3","January",,,,,,,,,,,,,,,,,,,,27.6884302,20.672291,7.0161392,43.4306632123885,13.5283646209448,27.6884302,84.6474580333334
2004-02-01,2004,"Q1","2003/04","Q3","February",,,,,,,,,,,,,,,,,,,,20.5556433,16.8441739,3.7114694,69.7976871548158,19.6113071785175,20.5556433,109.964637633333
2004-03-01,2004,"Q1","2003/04","Q3","March",,,,,,,,,,,,,,,,,,,,26.332388,16.390874,9.941514,52.2107121548158,7.70430717851752,26.332388,86.2474073333333
2004-04-01,2004,"Q2","2003/04","Q4","April",,,,,,,,,,,,,,,,,,,,26.5550706,18.265941,8.2891296,74.6429512368248,20.0748327965085,26.5550706,121.272854633333
2004-05-01,2004,"Q2","2003/04","Q4","May",,,,,,,,,,,,,,,,,,,,17.3537659,13.772593,3.5811729,65.6515039258001,9.92694910753321,17.3537659,92.9322189333333
2004-06-01,2004,"Q2","2003/04","Q4","June",,,,,,,,,,,,,,,,,,,,16.0108169,11.9683846,4.04243230000001,164.514113715678,26.0175355220566,16.0108169,206.542466137735
2004-07-01,2004,"Q3","2004/05","Q1","July",,,,,,,,,,,,,,,,,,,,18.8079466719969,16.8019761898749,2.005970482122,26.66713750675,8.18888575091667,18.8079466719969,53.6639699296636
2004-08-01,2004,"Q3","2004/05","Q1","August",,,,,,,,,,,,,,,,,,,,21.5373901176916,14.2897667324852,7.2476233852064,58.64541584275,19.0284150099167,21.5373901176916,99.2112209703583
2004-09-01,2004,"Q3","2004/05","Q1","September",,,,,,,,,,,,,,,,,,,,22.2139148049891,14.9366150329853,7.2772997720038,49.16235468375,7.67008096691666,22.2139148049891,79.0463504556558
2004-10-01,2004,"Q4","2004/05","Q2","October",,,,,,,,,,,,,,,,,,,,20.4958760063111,12.5740483411079,7.9218276652032,49.60305959075,17.5601364985833,20.4958760063111,87.6590720956444
