"Date","Year","Quarter","FY","QFY","Month","EXP_DPD_SEC_P","EXP_DPD_RAW_P","EXP_DPD_AGR_P","EXP_DPD_EDU_P","EXP_DPD_HEA_P","EXP_DPD_WAE_P","EXP_DPD_JLO_P","EXP_DPD_ACC_P","EXP_DPD_EAM_P","EXP_DPD_TTI_P","EXP_DPD_LHUD_P","EXP_DPD_SD_P","EXP_DPD_ICT_P","EXP_DPD_PSM_P","EXP_DPD_PAD_P","EXP_DPD_PARL_P","EXP_DPD_STD_P","EXP_DPD_TOU_P","EXP_DPD_LGOV_P","EXP_DPD_I_P","EXP_DPD_I_DOM_P","EXP_DPD_I_EXT_P","EXP_DPD_CEN_TOT_P","EXP_DPD_LGP_TOT_P","EXP_DPD_I_TOT_P","EXP_DPD_P"
2012-08-01,2012,"Q3","2012/13","Q1","August",28.9851039304955,11.1022613563435,20.0913633239022,1.5574201729569,2.52754152968139,3.95640663502658,9.78538309807224,0.361967014605627,9.92574673281344,0,0,0,0,11.532555285167,0.174250920935699,0,,,,0,0,0,100,0,0,100
2012-09-01,2012,"Q3","2012/13","Q1","September",0,14.1192020063943,0,6.00206428528226,23.9999045848101,13.965984055961,1.24620680318672,5.70884843752766,15.0465451802713,0,0,0,0,19.9112446465667,0,0,,,,0,0,0,100,0,0,100
2012-10-01,2012,"Q4","2012/13","Q2","October",10.8243254914036,4.5180344954393,6.13229157223638,29.7936108218304,0.530171809774925,25.5220667957965,0.376715314888235,1.89660709603916,0.57586025832441,0,0,0,0,19.8303163442671,0,0,,,,0,0,0,100,0,0,100
2012-11-01,2012,"Q4","2012/13","Q2","November",0.530475895312747,41.9395026421347,0,1.33102190134117,46.4161553498527,2.42681916412584,0,0.589356284799355,4.10605877542261,0,0,0,0,2.66060998701084,0,0,,,,0,0,0,100,0,0,100
2012-12-01,2012,"Q4","2012/13","Q2","December",8.63012603142875,26.8638506510482,1.40025548021916,1.26442928255479,46.9011948384493,1.54005871096804,0.410036419962291,5.08440521461854,0.215719033597665,0,0,0,0,7.68992433715334,0,0,,,,0,0,0,100,0,0,100
2013-01-01,2013,"Q1","2012/13","Q3","January",48.5634059623435,18.23546215326,0,1.82694729141798,0.316088143393004,7.46664068903399,0,6.93861420746705,10.6279814297074,0,0,0,0,6.02486012337708,0,0,,,,0,0,0,100,0,0,100
2013-02-01,2013,"Q1","2012/13","Q3","February",9.22893196920527,19.6152273280135,0,20.6571535971685,26.5797399517594,0.183724486864822,0.789399842890345,6.92718204457405,5.94269223304634,0,0.186468742586897,0,0,9.88947980389089,0,0,,,,0,0,0,100,0,0,100
2013-03-01,2013,"Q1","2012/13","Q3","March",17.481749612293,22.2714661271087,0,0.104138921667488,0.295368038636534,13.7767104222053,0,1.03864913229284,18.163424412552,0,0.380110002861064,0,0,26.4883833303831,0,0,,,,0,0,0,100,0,0,100
2013-04-01,2013,"Q2","2012/13","Q4","April",0.969658043512632,16.5780558361864,12.2580379519508,5.86324198251932,0.291889290408386,0.0178122424293712,0,1.98948683598966,21.7099527287727,0,2.02792588560385,0.178352025301033,0,38.1155871773257,0,0,,,,0,0,0,100,0,0,100
2013-05-01,2013,"Q2","2012/13","Q4","May",24.9017298056316,32.8441691416335,8.41992443157009,0.366246793576116,3.0299242268174,2.0642521610878,0.626036188404869,2.30264620232238,2.35279381267484,0,0,0,0,23.0922772362814,0,0,,,,0,0,0,100,0,0,100
2013-06-01,2013,"Q2","2012/13","Q4","June",6.85278001540221,41.1985009112461,15.389464547321,2.77279511598237,1.16960190608222,0,0,2.24136772353599,0.938287286593437,0,0,0,0,29.4372024938366,0,0,,,,0,0,0,100,0,0,100
2013-07-01,2013,"Q3","2013/14","Q1","July",28.0003480981757,17.4891963817346,5.37668047814851,5.61781423358049,5.64062060752019,2.04697330075672,0,6.53504671135415,4.59156976335554,0,0,0,0,24.7017504253742,0,0,,,,0,0,0,100,0,0,100
2013-08-01,2013,"Q3","2013/14","Q1","August",1.20574840474796,27.6805732560828,14.364913985432,15.2568016111166,0.40455397803135,10.6357018843267,0,4.17975550328688,14.9713389271535,0,0.482299361899183,0,0,10.818313087923,0,0,,,,0,0,0,100,0,0,100
2013-09-01,2013,"Q3","2013/14","Q1","September",0.406175867879927,12.3793242349243,17.0841039461013,7.00248744270914,3.08659048283686,1.31948026880238,0.165602314658362,6.15821182780029,5.37438836401536,0,0,0,34.7099727645317,12.3136624857404,0,0,,,,0,0,0,100,0,0,100
2013-10-01,2013,"Q4","2013/14","Q2","October",40.0094045365279,3.45988635478418,0,8.44156922742124,1.28393048130644,0,0,1.11383166482878,5.89393492162133,0.814103161755422,0,0,0,38.8785757757721,0.1047638759826,0,,,,0,0,0,100,0,0,100
