"Date","Year","Quarter","FY","QFY","Month","EXP_NWR_AGRO","EXP_NWR_MID","EXP_NWR_SPD","EXP_NWR_MAN","EXP_NWR_TOD","EXP_NWR_NECLW","EXP_NWR_PSD","EXP_NWR_SED","EXP_NWR_ITIS","EXP_NWR_SUD","EXP_NWR_DIT","EXP_NWR_HCD","EXP_NWR_TTD","EXP_NWR_PST","EXP_NWR_CMC","EXP_NWR_GOS","EXP_NWR_DPI","EXP_NWR_RBD","EXP_NWR_ADJ","EXP_NWR_LEG","EXP_NWR_LGOV","EXP_NWR_I","EXP_NWR_I_DOM","EXP_NWR_I_EXT","EXP_NWR_CEN_TOT","EXP_NWR_LGP_TOT","EXP_NWR_I_TOT","EXP_NWR"
2013-07-01,2013,"Q3","2013/14","Q1","July",59.397262824,2.964200608,0.659964718,24.366105756,2.647034745,0,9.915324437,14.2892448579167,0,0.558511722,0.018728167,0.610091074,0,15.529120782,24.348192643,18.588927858,,,,,,68.8633380849949,62.4545865699078,6.4087515150871,173.892710191917,0,68.8633380849949,242.756048276912
2013-08-01,2013,"Q3","2013/14","Q1","August",12.796384801,47.395013094,9.067756739,74.090318936,71.175442735,2.796967992,20.847911201,18.2531155519167,0.375702194,1.843271055,1.006298869,3.633716758,0.136867822,64.094388772,26.402637111,16.823397639,,,,,,74.1214618229785,67.2216410844857,6.89982073849284,265.937076580917,104.802114689,74.1214618229785,444.860653092895
2013-09-01,2013,"Q3","2013/14","Q1","September",6.469629839,25.108783872,3.889542653,5.524322458,13.572187153,0.687050112,18.014334634,18.3660673289167,0.476510591,1.3219677,0.586047033,0.590124101,0.143574955,22.157969392,23.027754565,16.364743535,,,,,,77.3468293486268,64.3899843473716,12.9568450012552,156.300609921917,0,77.3468293486268,233.647439270543
2013-10-01,2013,"Q4","2013/14","Q2","October",38.015525951,0.955267959,11.681441085,79.006369971,14.019453163,2.545936252,16.62462825,22.7417566979167,0.044164872,1.564588181,0.341538804,1.963292043,0.115504718,47.316395248,37.558738801,16.798007089,,,,,,85.7994221289842,69.9945270446568,15.8048950843274,179.883072334917,111.40953675,85.7994221289842,377.092031213901
2013-11-01,2013,"Q4","2013/14","Q2","November",36.294781001,120.824553389,4.761828136,26.95866435,64.60234323,1.135272956,38.886237814,17.1940876889167,0.366724523,3.066966784,1.582505392,2.482220907,0.397009789,35.805654996,32.792176711,18.301742546,,,,,,72.1806348438978,66.5081120528087,5.67252279108915,405.452770212917,0,72.1806348438978,477.633405056814
2013-12-01,2013,"Q4","2013/14","Q2","December",17.718352193,4.238913588,4.635510859,6.243852632,11.696463298,1.332306417,38.6622249,18.0287055279167,0.375461632,0.86519519,0.454223124,1.00370425,0.823802352,21.088912883,22.094946655,20.394081099,,,,,,76.2821688895092,68.4974884777621,7.78468041174717,169.656656599917,0,76.2821688895092,245.938825489426
2014-01-01,2014,"Q1","2013/14","Q3","January",7.407670697,77.3155397,11.349822319,78.918558711,14.52278937,2.941225465,10.161041117,21.6428625389167,0.172736267,0.510558748,0.139806738,2.052129034,0.02396608,47.166602157,46.895537534,15.888327835,,,,,,80.8861123998752,73.6031881814982,7.28292421837695,225.493121938917,111.616052372,80.8861123998752,417.995286710792
2014-02-01,2014,"Q1","2013/14","Q3","February",79.110258047,3.398492557,7.224785895,14.819449067,59.73131484,0.770457839,49.379101798,16.5528989029167,0.539440617,2.832912098,0.80421763,2.545558007,1.505256721,27.193824151,24.51020043,16.438360347,,,,,,76.7330721010722,70.4394313966133,6.29364070445891,307.356528946917,0,76.7330721010722,384.089601047989
2014-03-01,2014,"Q1","2013/14","Q3","March",35.933183515,2.457752904,2.988568826,7.246797534,18.684517469,0.47591165,25.007929662,14.0786605729167,0.289156267,3.72186044,0.224210209,1.016842849,0.412541266,20.881796898,19.701558056,15.221550982,,,,,,83.7461726756374,72.9817971233061,10.7643755523313,168.342839099917,0,83.7461726756374,252.089011775554
2014-04-01,2014,"Q2","2013/14","Q4","April",40.11728098,88.880699992,16.22784685,20.165360951,19.96198279,2.443011584,11.902905979,23.5542834919167,0.164699819,1.043015015,0.783520402,4.787507686,0.090810574,57.361035979,33.671996833,14.45908359,,,,,,97.8159601527487,75.3018509039076,22.5141092488411,278.493571108917,57.121471407,97.8159601527487,433.431002668665
