"Date","Year","Quarter","FY","QFY","Month","EXP_DDEV_SEC","EXP_DDEV_RAW","EXP_DDEV_AGR","EXP_DDEV_EDU","EXP_DDEV_HEA","EXP_DDEV_WAE","EXP_DDEV_JLO","EXP_DDEV_ACC","EXP_DDEV_EAM","EXP_DDEV_TTI","EXP_DDEV_LHUD","EXP_DDEV_SD","EXP_DDEV_ICT","EXP_DDEV_PSM","EXP_DDEV_PAD","EXP_DDEV_PARL","EXP_DDEV_STD","EXP_DDEV_TOU","EXP_DDEV_LGOV","EXP_DDEV_I","EXP_DDEV_I_DOM","EXP_DDEV_I_EXT","EXP_DDEV_CEN_TOT","EXP_DDEV_LGP_TOT","EXP_DDEV_I_TOT","EXP_DDEV"
2002-09-01,2002,"Q3","2002/03","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,18.88313284,9.945259,,28.82839184
2002-10-01,2002,"Q4","2002/03","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,32.129126377,14.79336946,,46.922495837
2002-11-01,2002,"Q4","2002/03","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,14.0646446,17.812934,,31.8775786
2002-12-01,2002,"Q4","2002/03","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,27.61419257,2.746184,,30.36037657
2003-01-01,2003,"Q1","2002/03","Q3","January",,,,,,,,,,,,,,,,,,,,0,0,0,3.70478501,19.7703566,,23.47514161
2003-02-01,2003,"Q1","2002/03","Q3","February",,,,,,,,,,,,,,,,,,,,0,0,0,22.666420612,9.127853,,31.794273612
2003-03-01,2003,"Q1","2002/03","Q3","March",,,,,,,,,,,,,,,,,,,,0,0,0,27.593022079,3.089979,,30.683001079
2003-04-01,2003,"Q2","2002/03","Q4","April",,,,,,,,,,,,,,,,,,,,0,0,0,22.415457,12,,34.415457
2003-05-01,2003,"Q2","2002/03","Q4","May",,,,,,,,,,,,,,,,,,,,0,0,0,71.6264953,12,,83.6264953
2003-06-01,2003,"Q2","2002/03","Q4","June",,,,,,,,,,,,,,,,,,,,0,0,0,63.56244087,12.368,,75.93044087
2003-07-01,2003,"Q3","2003/04","Q1","July",,,,,,,,,,,,,,,,,,,,0,0,0,0.505083,5.970541,,6.475624
2003-08-01,2003,"Q3","2003/04","Q1","August",,,,,,,,,,,,,,,,,,,,0,0,0,13.0421746,21.330016,,34.3721906
2003-09-01,2003,"Q3","2003/04","Q1","September",,,,,,,,,,,,,,,,,,,,0,0,0,19.845929,4.15582,,24.001749
2003-10-01,2003,"Q4","2003/04","Q2","October",,,,,,,,,,,,,,,,,,,,0,0,0,16.348031,22.175186,,38.523217
2003-11-01,2003,"Q4","2003/04","Q2","November",,,,,,,,,,,,,,,,,,,,0,0,0,24.769885,12.922053,,37.691938
2003-12-01,2003,"Q4","2003/04","Q2","December",,,,,,,,,,,,,,,,,,,,0,0,0,37.816239,3.100659,,40.916898
