"Date","Year","Quarter","FY","QFY","Month","FS_ODX_B_XDC","FS_ODX_CR_XDC","FS_ODX_LDCDC_XDC","FS_ODX_LDCD_ODX_XDC","FS_ODX_LDCD_ODX_NRES_XDC","FS_ODX_LDCD_ODX_RES_XDC","FS_ODX_LDC_XDC","FS_ODX_LDCO_XDC","FS_ODX_LDD_XDC","FS_ODX_LDL_XDC","FS_ODX_LD_XDC","FS_ODX_LDO_XDC","FS_ODX_LF_XDC","FS_ODX_L_XDC","FS_ODX_AFC_XDC","FS_ODX_AFD_XDC","FS_ODX_AFF_XDC","FS_ODX_AFLG_ODX_XDC","FS_ODX_AFLG_ODX_NRES_XDC","FS_ODX_AFLG_ODX_RES_XDC","FS_ODX_AFLG_XDC","FS_ODX_AFLG_GG_XDC","FS_ODX_AFLG_NODX_XDC","FS_ODX_AFLG_NFC_XDC","FS_ODX_AFLG_NRES_XDC","FS_ODX_AFLG_ODS_XDC","FS_ODX_AFLG_OFM_XDC","FS_ODX_AFL_XDC","FS_ODX_AFLS_XDC","FS_ODX_AF_XDC","FS_ODX_AFO_XDC","FS_ODX_AFE_XDC","FS_ODX_A_XDC","FS_ODX_ANF_XDC","FSASDLD_XDC","FSASDLG_XDC","FSASLNF_XDC","FSASDLN_XDC","FSASDLO_XDC","FSASDLR_XDC","FSASDD_PT","FSASDG_PT","FSASNF_PT","FSASDN_PT","FSASDO_PT","FSASDR_PT","FSASDL_XDC","FSCR_PT","FSDCR_XDC","FSNCR_XDC","FSRR_PT","FSDRR_XDC","FSNRR_XDC"
2012-09-01,2012,"Q3","2012/13","Q1","September",14775478.4657411,2433227.74202493,8800925.02337283,1202516.64858837,105177.953141117,1097338.69544725,10003441.6719612,,35467.89400602,988527.706824098,12313663.1122892,1286225.83949787,28587.611427,12342250.7237162,3164772.03808143,2934558.06122246,14387.403431,499917.93691972,205858.19580718,294059.74111254,7834344.93042199,2683.13815031372,7334426.99350227,5017746.03593061,1176.13210335207,2312821.68731799,,7667221.59448417,167123.335937816,14289861.8904593,465532.54924022,43390.244,14775478.465735,485616.575275723,264275.00411254,2378.16177231372,5017746.03593061,1176.13210335207,2049384.98724345,7333784.18905891,3.60295069831631,0.0324222854410327,68.4086323064869,0.0160346075759781,27.9399601021797,99.9839653924239,7334960.32116227,,,,,,
2012-10-01,2012,"Q4","2012/13","Q2","October",14699177.275973,2494964.02979441,8495367.65209287,1250772.97323221,104844.80889776,1145928.16433445,9746140.62532508,,35853.199,1027084.88471159,12187763.5874766,1378684.87843997,16449.658702,12204213.2461786,2987448.01394364,3009512.96233266,14026.849242,346614.16614975,141719.02141,204895.14473975,7831273.21775206,27067.076798,7484659.05160231,5126289.22018423,1629.004657,2329673.74996308,,7641635.34276099,189637.874991065,14207842.8606388,510048.27435947,45171.418,14699177.2759712,491334.41533242,175593.72870175,25973.2431,5114459.02321323,1629.00466,2167004.05093433,7483030.04594931,2.34604846412416,0.347019722934281,68.3325584857052,0.0217645807108259,28.9526087465256,99.9782354192892,7484659.05060931,,,,,,
2012-11-01,2012,"Q4","2012/13","Q2","November",15439263.1228074,2530318.74949018,9248111.8587302,1199472.3832886,115071.50736321,1084400.87592539,10447584.2420188,,34718.495,1062746.13447142,12891317.4420072,1346268.570517,17626.93131,12908944.3733172,3274601.88408576,3051640.72739497,22595.74535,504758.89276005,182605.6267536,322153.26600645,8160820.89202397,2830.25604,7656061.99926392,5255748.72713063,3122.63817,2394360.37792329,,7994008.77665713,166812.115366838,14945552.7788409,557898.189353012,44807.456,15439263.1228058,493710.343964926,294229.35300645,1774.649,5255748.72713063,3122.63817,2101186.63195684,7652939.36109392,3.84308999894121,0.0231796581606918,68.6481996571597,0.0407864796588667,27.4447442060795,99.9592135203411,7656061.99926392,,,,,,
2012-12-01,2012,"Q4","2012/13","Q2","December",15465861.0904843,2577044.37868414,9256956.05745524,1200716.86536056,118431.85816605,1082285.00719451,10457672.9228158,,32763.474,1069538.43594898,12881215.7385702,1321240.9058054,7600.97323,12888816.7118002,3333704.87442243,3054940.91264505,4574.26494,324914.27135271,79333.08073,245581.19062271,8114602.27110747,5866.25737,7789687.99975476,5384337.60675272,3265.57079,2396218.56484204,,7963650.23938064,150952.03172683,14946604.0776878,544400.685299636,45333.101,15465861.0904767,519257.012788944,220302.52362271,4809.94781,5384337.60675272,3265.57079,2176972.35077933,7786422.42896476,2.82813026182365,0.0617476311009046,69.1213512906067,0.0419217148376522,27.9468491016311,99.9580782851623,7789687.99975476,,,,,,
2013-01-01,2013,"Q1","2012/13","Q3","January",15119704.4573514,2623330.97072536,10003762.1977942,66618.7697516683,,66618.7697516683,10070380.9675459,,32424.744,1035605.06423206,12491040.424211,1352629.64843302,5333.062415,12496373.486626,2906752.095718,3004883.96628054,2189.126545,222197.57502475,,222197.57502475,7797929.31564061,5191.42256924808,7575731.74061586,5366970.06905912,3273.452006,2200296.79698149,,7637721.21719847,160208.098442142,14150375.8953569,555111.843614857,43717.646,15119704.4571504,969328.561793531,253942.04202475,6206.68978424808,5366970.06905912,3273.452006,2421479.10479124,8048597.90565936,3.1538263683634,0.0770838170227264,66.6549405803631,0.0406545492419434,30.0734946850088,99.9593454507581,8051871.35766536,,,,,,
2013-02-01,2013,"Q1","2012/13","Q3","February",15953642.0035544,2737541.56898893,10401955.3218867,61291.7598292998,,61291.7598292998,10463247.081716,,32740.879,1217361.71804961,13211160.8895565,1497811.21079091,4939.545009,13216100.4345655,3639935.11442074,2953693.91994191,4329.741548,240232.741169354,,240232.741169354,7791001.42097372,4834.96354687908,7550768.67980437,5378421.55663535,2709.608006,2164802.55161614,,7622351.98292199,168649.438051731,15016174.2749305,751870.554097829,43992.962,15953642.0039644,937467.729033916,273144.804169354,5791.45184487908,5378421.55663535,2709.608006,2404078.8044875,8061436.61713708,3.38715093381764,0.0718172969981869,66.6954864963392,0.0336006804731759,29.8119445923718,99.9663993195268,8064146.22514308,,,,,,
2013-03-01,2013,"Q1","2012/13","Q3","March",15811472.7756206,2798000.32645157,10239751.6520968,76825.0971595607,,76825.0971595607,10316576.7492564,,33090.885,1064819.03651743,12983372.572201,1568885.9014272,30099.876968,13013472.449169,3516171.83496776,2971723.26718557,22626.563557,264775.20125708,,264775.20125708,7665573.40387923,20216.6547125144,7400798.20262215,5194571.00061808,3029.237006,2182981.31028556,,7468509.6233652,197063.780514031,14728264.536813,705000.028737507,44233.219,15811472.7756248,1083208.23881179,296257.34625708,20958.6702105144,5194571.00061808,3029.237006,2447014.49594464,7958801.51303031,3.72097015822308,0.263239333622092,65.243424077991,0.0380469907123583,30.7343194394515,99.9619530092876,7961830.75003631,,,,,,
2013-04-01,2013,"Q2","2012/13","Q4","April",15774771.6101073,2822428.4483136,10218049.4649794,67183.6792597914,,67183.6792597914,10285233.1442392,,33429.601,1031698.3828338,12921360.5660087,1570999.43793566,30982.595785,12952343.1617937,3173479.2122885,2979571.73393097,22241.126898,237164.225201985,,237164.225201985,7674796.36059235,20114.6397569519,7437632.13539036,5220128.13253504,2930.919006,2194458.44409237,,7482202.05614828,192594.304444073,14552209.0983027,848016.477036991,46698.492,15774771.6101119,1222562.51180925,274385.888201985,20847.4818409519,5220128.13253504,2930.919006,2430889.82721035,7946251.32978833,3.45174987331057,0.262259452462722,65.6687438928298,0.0368706983217618,30.5803760830751,99.9631293016782,7949182.24879433,,,,,,
2013-05-01,2013,"Q2","2012/13","Q4","May",15749000.4458211,2727136.66900719,10364050.1205057,78570.2753275487,,78570.2753275487,10442620.3958332,,32402.305,1054953.4726422,13007608.3207559,1477632.14728051,14255.456058,13021863.7768139,3307763.86378719,3097367.65271117,17720.070122,217467.041784515,,217467.041784515,7616179.19254611,19312.1496921128,7398712.1507616,4909748.29653375,2281.644,2467370.06053574,,7441138.92503698,175040.267509134,14465162.8632805,554842.933623169,46329.418,15749000.4458209,1283837.58254039,243113.392784515,20002.8598401128,4909748.29653375,2281.644,2684146.39217226,7857010.94133064,3.09332411467014,0.254512217517492,62.4706135218555,0.0290311624771253,34.1525189834797,99.9709688375229,7859292.58533064,,,,,,
2013-06-01,2013,"Q2","2012/13","Q4","June",15689767.0410203,2667221.24668665,10295798.740635,89528.7144387733,,89528.7144387733,10385327.4550738,,30476.639,1075173.94949603,12981640.8495736,1490662.8060038,40904.94476,13022545.7943336,3630691.06951745,3118014.02013564,42621.533841,183396.390462393,,183396.390462393,7677354.46895704,16177.0166725897,7493958.07849465,4937830.26190002,3320.769,2536630.03092204,,7515695.39251043,161659.076446605,14832621.9694189,477724.228414414,47875.725,15689767.041019,857145.071600084,205466.166462393,16876.4443465897,4937830.26190002,3320.769,2719326.99371043,7879499.86641943,2.60650566548709,0.214091441720236,62.6403985359396,0.0421266593975128,34.4968776974556,99.9578733406025,7882820.63541943,,,,,,
