"Date","Year","Quarter","FY","QFY","Month","EX_EUU","EX_AUT","EX_BEL","EX_DNK","EX_FRA","EX_DEU","EX_ITA","EX_NLD","EX_POL","EX_PRT","EX_ESP","EX_SWE","EX_GBR","EX_EUU_OTH","EX_ROE","EX_BGR","EX_NOR","EX_CHE","EX_TUR","EX_ROE_OTH","EX_AMC","EX_USA","EX_CAN","EX_MEX","EX_BRA","EX_ARG","EX_LAC_OTH","EX_MIE","EX_BHR","EX_ISR","EX_SAU","EX_ARE","EX_JOR","EX_MIE_OTH","EX_ASI","EX_IND","EX_JPN","EX_MYS","EX_CHN","EX_THA","EX_SGP","EX_PAK","EX_KOR","EX_IDN","EX_VNM","EX_TWN","EX_HKG","EX_ASI_OTH","EX_COM","EX_ETH","EX_KEN","EX_MWI","EX_NAM","EX_MUS","EX_ZMB","EX_SWZ","EX_BDI","EX_RWA","EX_MDG","EX_SDN","EX_EGY","EX_COD","EX_SSD","EX_COM_OTH","EX_ROA","EX_TZA","EX_ZAF","EX_NGA","EX_ROA_OTH","EX_UCL","EX_AUS","EX_ISL","EX_UCL_OTH","EX_F_TOT","EX_IF_BDI","EX_IF_COD","EX_IF_KEN","EX_IF_RWA","EX_IF_SSD","EX_IF_TZA","EX_IF_TOT","EX"
1998-11-01,1998,"Q4","1998/99","Q2","November",28.943,0.048,5.071,0.451,1.139,2.415,1.359,6.316,,0.583,4.695,0.043,6.707,0.116000000000007,2.637,,0.195,1.02,,1.422,0.482,0.09,0.165,,,,0.227,0.411,,0.245,,0.125,0.041,0,1.314,0,0.127,0.085,,,0.37,0.064,,,,0.013,0.655,,7.143,,3.458,,,,,,0.507,1.558,,1.16,0.235,0.225,,,3.577,2.135,1.413,,0.0289999999999999,2.4505,0.598,,1.8525,46.9575,,,,,,,,46.9575
1998-12-01,1998,"Q4","1998/99","Q2","December",43.465,0.147,7.755,0.669,1.876,4.129,2.906,9.053,,0.79,9.371,0.005,6.738,0.0260000000000034,4.115,,0.226,0.99,,2.899,1.189,0.793,0.331,,,,0.0649999999999999,0.539,,0.307,0.002,0.136,0.083,0.011,2.01,0.003,0.598,0.085,,,0.26,0.123,,,,0.012,0.929,,9.047,0.067,3.185,,,,,,0.291,2.652,,2.046,0.455,0.351,,,5.205,0.245,4.96,,0,0.7655,0.792,,-0.0265,66.3355,,,,,,,,66.3355
1999-01-01,1999,"Q1","1998/99","Q3","January",38.4541218662953,0.141,7.726,0.622,1.608,4.066,2.597,6.632,0.04,0.853,8.71509888579387,0.003,5.45102298050139,,3.91,,0.162425,0.998225,,2.74935,0.45325,0.13385,0.3194,,,,,0.489275,,0.194425,,0.218,0.07685,,1.001425,0.016,0.166425,0.072,,,0.073,0.047,,,,,0.627,,8.118,0.34,3.812,,,,,,0.14,1.127,,1.89,0.423,0.386,,,3.588,0.83,2.758,,,2.9905,0.511,,2.4795,59.0045718662953,,,,,,,,59.0045718662953
1999-02-01,1999,"Q1","1998/99","Q3","February",35.184,0.081,6.321,0.598,1.472,3.449,2.279,5.872,0.159,0.713,7.89043314763231,0.004,6.21312883008357,0.13243802228412,3.738,,0.093825,1.224025,,2.42015,0.431,0.14565,0.2786,,,,0.00675000000000002,0.550475,,0.454825,,0.026,0.06965,,1.948825,0.036,0.865825,0,,,0.258,0.186,,,,,0.559,0.044,7.921,0.004,3.665,0.005,,,,,0.326,1.1,,2.121,0.383,0.313,,0.004,2.271,0.419,1.852,,,4.3355,0.944,,3.3915,56.3798,,,,,,,,56.3798
1999-03-01,1999,"Q1","1998/99","Q3","March",27.73,0.37,4.717,0.388,1.181,2.434,1.54,5.397,0,0.534,5.15325955431755,0.003,6.01087919220056,0.00186125348189492,2.62,,0.064627,0.924659,,1.630714,0.61,0.326254,0.260016,,0.022,,0.00172999999999986,0.596,,0.385627,0.029,0.132,0.047254,0.00211899999999998,2.990627,0.054,1.418627,0,0.016,,0.678,0.18,,,,,0.624,0.02,6.641,0.002,2.941,0.015,,,,,0.459,1.264,,1.283,0.285,0.392,,0,5.241,1.234,3.868,,0.139,4.8105,0.631,,4.1795,51.239127,,,,,,,,51.239127
1999-04-01,1999,"Q2","1998/99","Q4","April",14.687146183844,0.031,2.091,0.2635,0.5736,1.94,0.908,1.9578,0,0.2493,2.84651153203343,0.0147,3.81173465181059,,1.554,,0.114446,0.483582,,0.955972,0.18446,0.026892,0.116568,,0.041,,,0.377,,0.138446,0,0.194,0.026892,0.017662,1.712446,0.069,0.580446,0.034,0.062,,0.401,0.087,0.052,,,,0.419,0.008,5.35,0.464,2.38,0.009,,0.019,,,0.014,0.768,,0.815,0.216,0.665,,0,2.606,0.371,2.221,,0.0139999999999998,5.2285,0.721,,4.5075,31.699552183844,,,,,,,,31.699552183844
1999-05-01,1999,"Q2","1998/99","Q4","May",19.452,0.099,2.923,0.325,0.869,2.02,1.311,2.735,0,0.358,3.91146908077994,0.025,4.87467520891365,0.000855710306410629,2.564,,0.20336,1.00112,,1.35952,0.275,0.11472,0.15488,,0,,0.00539999999999994,0.25308,,0.02136,0.004,0.189,0.03872,,1.502823,0.005087,0.56936,0.049,,,0.269404,0.10263,,,,,0.507342,,8.018272,0.020381,4.515417,0.002,,,0.0087,,0.421881,1.428137,,0.892,0.243,0.486756,,,4.365032,0.671032,3.621632,,0.072368,3.476557,0.936,0.163057,2.3775,39.906764,,,,,,,,39.906764
1999-06-01,1999,"Q2","1998/99","Q4","June",27.104,0.066,4.543,0.47,1.213,3.085,1.951,4.08,0,0.53,6.43396501392758,0.036,4.69483158774373,0.00120339832868765,2.801,,0.136666,0.655322,,2.009012,0.52266,0.253332,0.229328,,0.04,,,0.289,,0.059666,0.034,0.136,0.057332,0.00200199999999995,1.534112,0.0112,0.690666,0.128,0.024,,0.134988,0.050584,,,,0.008719,0.473623,0.012332,6.089522,0.00111,2.443719,0.00396,,,,0.132875,0.290999,1.248994,,1.326,0.249,0.34604,,0.0468249999999992,2.934478,0.304478,2.492175,,0.137825,3.5901,0.4856,,3.1045,44.864872,,,,,,,,44.864872
1999-07-01,1999,"Q3","1999/00","Q1","July",20.899,0.05,3.465,0.415,0.913,2.239,1.483,2.86,0,0.402,4.92930077994429,0.022,4.11997891364903,0.000720306406687854,2.374,,0.062747,0.776699,,1.534554,0.46,0.195494,0.179976,,0.027,,0.05753,0.212,,0.030747,0,0.133,0.043494,0.00475899999999999,1.32869,0.037119,0.534747,0.077,,,0.20883,0.047595,,,,0.04229,0.381109,,5.912353,0.028922,3.374617,,,,0.006485,,0.180524,0.61937,,1.032,0.239,0.431435,,,3.234935,0.538935,2.689416,,0.00658400000000015,3.73162,0.616,,3.11562,38.152598,,,,,,,,38.152598
1999-08-01,1999,"Q3","1999/00","Q1","August",19.617,0.06,2.989,0.314,0.851,1.837,1.443,2.768,0,0.354,4.76750534818941,0.003,4.21511969359331,0.0153749582172722,1.663,,0.019113,0.324921,,1.318966,0.479,0.265226,0.152904,,0.029,,0.0318699999999999,0.214,,0.137113,0.014,0.019,0.038226,0.00566099999999997,0.325,,0.139113,,,,0.026,,,0.005,,,0.155,-0.000112999999999974,5.535,0.079,3.004,,,,0.013,,0.016,0.376,,0.936,0.21,0.899,,0.00199999999999978,3.358,0.237,3.083,,0.0379999999999998,3.55462,0.336,,3.21862,34.74562,,,,,,,,34.74562
