"Date","Year","Quarter","FY","QFY","Month","E_BWA_B","E_IFEM_B","E_BWA_S","E_IFEM_S","E_BWA_MR","E_OFF_MR","E_IFEM_MR","NEER","NEER_IX_10","NEER_IX_17","REER_IX_10","REER_IX_17","E_IFEM_PUR","E_IFEM_SAL","E_PA","E_EP"
1990-05-01,1990,"Q2","1989/90","Q4","May",,,,,,384,,67.1562687586811,21.5629112256174,16.6616061743902,48.3834573203334,43.9603299815807,,,384,384
1990-06-01,1990,"Q2","1989/90","Q4","June",,,,,,440,,67.4714217190356,21.664102304756,16.739796261588,49.5714044305087,45.0396771356756,,,440,440
1990-07-01,1990,"Q3","1990/91","Q1","July",622.46,,652.31,,637.385,440,,78.1828630727398,25.1033919388823,19.3973265367855,57.6134042286874,52.3464919938848,,,440,440
1990-08-01,1990,"Q3","1990/91","Q1","August",682.05,,712.33,,697.19,450,,80.0344383905193,25.6979061211441,19.8567061199175,57.3982102871733,52.1509706896431,,,450,450
1990-09-01,1990,"Q3","1990/91","Q1","September",710.45,,751.28,,730.865,480,,84.2796752572561,27.0609905715043,20.9099579770858,58.6719445495943,53.3082624911394,,,480,480
1990-10-01,1990,"Q4","1990/91","Q2","October",705.2,,745.34,,725.27,480,,88.5625554534771,28.4361617531094,21.9725492204729,59.1076018842756,53.7040928276259,,,480,480
1990-11-01,1990,"Q4","1990/91","Q2","November",737,,764,,750.5,510,,94.5152138840025,30.3474746903287,23.4494158227029,62.8713780578197,57.1237914545836,,,510,510
1990-12-01,1990,"Q4","1990/91","Q2","December",749,,788,,768.5,540,,97.2432062322145,31.2233937655834,24.1262362445758,64.9206381621497,58.9857119413318,,,540,540
1991-01-01,1991,"Q1","1990/91","Q3","January",760.41,,796,,778.205,570,,102.150760387414,32.7991387636226,25.3438103612565,64.7181950793129,58.8017758355452,,,570,570
1991-02-01,1991,"Q1","1990/91","Q3","February",769.73,,804.32,,787.025,600,,106.528061974103,34.2046272945699,26.4298277426871,67.5241946324727,61.3512560322245,,,600,600
1991-03-01,1991,"Q1","1990/91","Q3","March",800.32,,828.91,,814.615,620,,105.706220945725,33.9407459702489,26.2259273204941,65.9814510072815,59.9495472127955,,,620,620
1991-04-01,1991,"Q2","1990/91","Q4","April",825.13,,869.31,,847.22,640,,106.795801259488,34.2905945251663,26.4962544011802,64.9885612769069,59.0474256489392,,,640,640
1991-05-01,1991,"Q2","1990/91","Q4","May",866.11,,910.5,,888.305,670,,110.247451807451,35.3988698317503,27.3526158867836,67.6455824426377,61.4615467903915,,,670,670
1991-06-01,1991,"Q2","1990/91","Q4","June",914.71,,963.28,,938.995,700,,111.07709737278,35.6652570805448,27.5584526303871,68.1122258459488,61.8855305056821,,,700,700
1991-07-01,1991,"Q3","1991/92","Q1","July",939.63,,975,,957.315,800,,115.825262154408,37.1898244450413,28.7364819209493,71.0070350933256,64.5157015764654,,,800,800
1991-08-01,1991,"Q3","1991/92","Q1","August",961.06,,985.34,,973.2,800,,127.560866825516,40.9579581781909,31.6481091876601,76.9069057998966,69.8762168739228,,,800,800
1991-09-01,1991,"Q3","1991/92","Q1","September",968.47,,992.69,,980.58,850,,136.795775533097,43.9231544334176,33.9393087254882,81.9024141576701,74.415044977494,,,850,850
1991-10-01,1991,"Q4","1991/92","Q2","October",984.25,,1017.9,,1001.075,915,,138.866471898568,44.5880252299819,34.4530526839593,81.7848739127454,74.3082500471773,,,915,915
1991-11-01,1991,"Q4","1991/92","Q2","November",1044.01,,1095.53,,1069.77,915,,150.913217547259,48.456061852352,37.4418746568237,86.1050129754323,78.2334498836557,,,915,915
1991-12-01,1991,"Q4","1991/92","Q2","December",1156.25,,1212.06,,1184.155,915,,152.981978484947,49.1203112109145,37.9551384317452,84.5537965389399,76.8240428218664,,,915,915
1992-01-01,1992,"Q1","1991/92","Q3","January",1211.76,,1268.69,,1240.225,970,,161.289480744167,51.7877306050126,40.0162465530639,84.1782038564984,76.4827861367668,,,970,970
1992-02-01,1992,"Q1","1991/92","Q3","February",1231.44,,1288.71,,1260.075,985.48,,161.537545439274,51.8673806078742,40.0777919058961,80.3555602641386,73.0096016429524,,,985.48,1000
1992-03-01,1992,"Q1","1991/92","Q3","March",1224.89,,1274.7,,1249.795,1160.08,,166.016384444278,53.3054713422742,41.1890009262785,77.2938212714256,70.2277612394025,,,1160.08,1160.08
1992-04-01,1992,"Q2","1991/92","Q4","April",1175.2,,1240.41,,1207.805,1158.91,,185.688118132298,59.6217818671041,46.069597861392,78.7090754317754,71.5136354481196,,,1158.91,1158.91
1992-05-01,1992,"Q2","1991/92","Q4","May",1190.13,,1242.22,,1216.175,1164.94,,187.840688036945,60.3129410785789,46.6036548106092,76.6456487692481,69.6388434840619,,,1164.94,1168.62
1992-06-01,1992,"Q2","1991/92","Q4","June",1202.18,,1247.19,,1224.685,1166.06,,189.966402962317,60.995477542769,47.1310489851252,78.2682731271888,71.1131304854839,,,1166.06,1169.47
1992-07-01,1992,"Q3","1992/93","Q1","July",1226.2,,1270.5,,1248.35,1177.86,,195.277267491409,62.700719696463,48.4486852216954,78.6590428797886,71.4681767806953,,,1177.86,1184.44
1992-08-01,1992,"Q3","1992/93","Q1","August",1235.99,,1276.18,,1256.085,1185.29,,197.048352462568,63.2693895870334,48.8880949869529,80.4108597839296,73.0598457815996,,,1185.29,1185.13
1992-09-01,1992,"Q3","1992/93","Q1","September",1212.05,,1254.08,,1233.065,1185.15,,195.1961956282,62.6746886881655,48.4285711283785,80.2429733162174,72.90730718827,,,1185.15,1186.86
1992-10-01,1992,"Q4","1992/93","Q2","October",1205.54,,1238.87,,1222.205,1181.07,,189.58443938906,60.8728345375249,47.0362830496706,76.6084071796432,69.6050064525899,,,1181.07,1182.39
1992-11-01,1992,"Q4","1992/93","Q2","November",1228.82,,1253.69,,1241.255,1196.34,,184.800867270395,59.3368983867721,45.8494691271401,75.3634761112371,68.4738847096951,,,1196.34,1210.4
1992-12-01,1992,"Q4","1992/93","Q2","December",1233.24,,1263.75,,1248.495,1213.93,,186.943978765462,60.0250206390789,46.3811794258009,77.640814401585,70.5430328910779,,,1213.93,1217.15
1993-01-01,1993,"Q1","1992/93","Q3","January",1215.6,,1253.83,,1234.715,1217.12,,184.92022166387,59.3752213644846,45.8790811936832,78.5130182233095,71.335501431727,,,1217.12,1218.25
1993-02-01,1993,"Q1","1992/93","Q3","February",1221.05,,1255.19,,1238.12,1217.09,,182.786481240688,58.6901080284696,45.3496958769202,80.5172795791025,73.1565368733792,,,1217.09,1215.49
1993-03-01,1993,"Q1","1992/93","Q3","March",1240.49,,1262.14,,1251.315,1217.52,,174.207680570406,55.9355786197515,43.2212780708258,79.6377613293474,72.3574225763567,,,1217.52,1220.57
1993-04-01,1993,"Q2","1992/93","Q4","April",1243.38,,1266.44,,1254.91,1218.09,,170.169175131935,54.638872655237,42.2193166993457,78.5392033584573,71.3592927696237,,,1218.09,1219.18
1993-05-01,1993,"Q2","1992/93","Q4","May",1228.69,,1261.81,,1245.25,1213.27,,163.014700744898,52.3416739137763,40.4442771263473,75.5243769788712,68.6200763137528,,,1213.27,1203.22
1993-06-01,1993,"Q2","1992/93","Q4","June",1192.81,,1237.8,,1215.305,1199.09,,158.62646801839,50.9326755511806,39.355547707008,74.9607137350405,68.1079421346421,,,1199.09,1199.3
1993-07-01,1993,"Q3","1993/94","Q1","July",1189.87,,1226.94,,1208.405,1197.57,,155.359354497429,49.8836524276706,38.5449702312269,72.1563611654478,65.5599583572989,,,1197.57,1198.46
1993-08-01,1993,"Q3","1993/94","Q1","August",1192.64,,1223.81,,1208.225,1196.65,,155.47581154501,49.9210451093219,38.5738634603906,73.9179067478486,67.1604666584572,,,1196.65,1191.47
1993-09-01,1993,"Q3","1993/94","Q1","September",1185.06,,1216.69,,1200.875,1181.988,,154.892658331374,49.733803006552,38.4291819680367,72.6503843954569,66.0088188855158,,,1181.988,1172.14
1993-10-01,1993,"Q4","1993/94","Q2","October",1161.47,,1195.08,,1178.275,1170.837,,151.451161222232,48.6287878230206,37.5753395711507,70.527083073217,64.0796258938284,,,1170.837,1171.23
1993-11-01,1993,"Q4","1993/94","Q2","November",1171.31,,1198.1,,1184.705,1165.009,,148.884275136126,47.8045976495036,36.9384899389161,68.976228574482,62.6705476821075,,,1165.009,1161.13
1993-12-01,1993,"Q4","1993/94","Q2","December",1173.58,,1198.42,,1186,1146.003,,146.526310509092,47.0474891491997,36.3534741434441,67.221273922902,61.0760277809068,,,1146.003,1130.15
1994-01-01,1994,"Q1","1993/94","Q3","January",1141.28,,1177.92,,1159.6,1112.71,,138.437666202811,44.450341893466,34.3466651231238,63.4942720326222,57.6897415993731,,,1112.71,1044.5
1994-02-01,1994,"Q1","1993/94","Q3","February",1046.7,,1117.19,,1081.945,1047.222,,130.914709562045,42.0348288044062,32.4802043573259,60.4455898843721,54.9197644074019,,,1047.222,1092.68
1994-03-01,1994,"Q1","1993/94","Q3","March",1092.54,,1121.06,,1106.8,1079.223,,136.546023697324,43.8429627139735,33.8773447896428,63.1025364322986,57.3338177524734,,,1079.223,1030.58
1994-04-01,1994,"Q2","1993/94","Q4","April",1047.18,,1085.14,,1066.16,1007.032,,128.456978039431,41.2456865900143,31.8704361931754,58.0079332647934,52.7049539057674,,,1007.032,996.3
1994-05-01,1994,"Q2","1993/94","Q4","May",994.52,,1026.95,,1010.735,965.708,,126.073580863584,40.4804120643725,31.2791105308786,55.8401264302721,50.7353240144815,,,965.708,952.61
1994-06-01,1994,"Q2","1993/94","Q4","June",952.37,,994.27,,973.32,962.59,,127.451043154785,40.9226953783628,31.620861712716,56.481028007679,51.3176355397201,,,962.59,969.62
1994-07-01,1994,"Q3","1994/95","Q1","July",965.01,,987.49,,976.25,967.065,,129.69419687532,41.6429397492214,32.1773926899577,59.3344480323265,53.9102011149553,,,967.065,953.31
1994-08-01,1994,"Q3","1994/95","Q1","August",925.32,,963.28,,944.3,921.379,,124.04258461139,39.828288402723,30.7752162508476,58.2285225259196,52.905377299352,,,921.379,918.91
1994-09-01,1994,"Q3","1994/95","Q1","September",922.4,,951.31,,936.855,920.792,,126.790471995961,40.710595487776,31.4569726715002,59.8794200925489,54.4053528243402,,,920.792,920.48
1994-10-01,1994,"Q4","1994/95","Q2","October",915.87,,939.47,,927.67,919.781,,133.364467694391,42.8214108779553,33.0879943072164,62.2159809315873,56.5283095371298,,,919.781,918.79
1994-11-01,1994,"Q4","1994/95","Q2","November",915.03,,934.6,,924.815,920.138,,132.130993553483,42.425360086404,32.7819668768366,60.1627651695794,54.6627950117071,,,920.138,925.32
1994-12-01,1994,"Q4","1994/95","Q2","December",921.83,,942.93,,932.38,929.75,,131.064056068038,42.0827818177305,32.5172575276759,59.0511828141541,53.6528314858955,,,929.75,926.77
1995-01-01,1995,"Q1","1994/95","Q3","January",919.17,,940,,929.585,925.04,,131.868392273086,42.3410425952511,32.7168149677783,60.0337619759517,54.5455850545309,,,925.04,925.41
1995-02-01,1995,"Q1","1994/95","Q3","February",921.14,,940.39,,930.765,925.528,,132.473758873134,42.5354170966501,32.8670076462515,59.2384400375115,53.8229699957528,,,925.528,926.64
1995-03-01,1995,"Q1","1994/95","Q3","March",924.04,,939.21,,931.625,927.035,,135.410030944137,43.4782117928358,33.5955026888173,60.4927690911368,54.9626305772152,,,927.035,927.06
1995-04-01,1995,"Q2","1994/95","Q4","April",928.38,,941.38,,934.88,928.828,,137.668203145446,44.2032783816892,34.1557597815299,60.9565790932878,55.3840399157071,,,928.828,931.47
1995-05-01,1995,"Q2","1994/95","Q4","May",940.52,,960.3,,950.41,941.02,,133.438254932779,42.84510289808,33.1063010703739,59.1473181600837,53.7401783140062,,,941.02,964.75
1995-06-01,1995,"Q2","1994/95","Q4","June",959.24,,985.31,,972.275,964.81,,136.276933464224,43.7565617135121,33.8105829582882,60.3347130894717,54.8190237666732,,,964.81,965.86
1995-07-01,1995,"Q3","1995/96","Q1","July",964.42,,987.66,,976.04,968.93,,135.27384919785,43.4344857943546,33.5617157219902,61.2530123237435,55.653373761407,,,968.93,977.01
1995-08-01,1995,"Q3","1995/96","Q1","August",970.23,,993.31,,981.77,970.03,,133.636792515538,42.9088504580787,33.155558646411,60.4971088590647,54.9665736114818,,,970.03,968.49
1995-09-01,1995,"Q3","1995/96","Q1","September",971.84,,995.83,,983.835,977.7,,132.944727165444,42.6866382360148,32.9838558326106,59.6661652385962,54.2115933398151,,,977.7,969.38
1995-10-01,1995,"Q4","1995/96","Q2","October",1016.65,,1065.4,,1041.025,1043.38,,142.525623596824,45.762926169075,35.3608956248435,62.9619904692962,57.2061202448261,,,1043.38,1059.49
1995-11-01,1995,"Q4","1995/96","Q2","November",1024.13,,1060.77,,1042.45,1028.3,,140.943130711157,45.2548104824898,34.9682759376255,60.6708766962953,55.1244559102657,,,1028.3,1030.44
1995-12-01,1995,"Q4","1995/96","Q2","December",1020.49,,1053.19,,1036.84,1023.25,,138.864218359327,44.5873016509697,34.4524935763132,59.7323400286987,54.271718551416,,,1023.25,1009.45
1996-01-01,1996,"Q1","1995/96","Q3","January",1020.14,,1048.33,,1034.235,1017.72,,137.778852059412,44.2388061552413,34.1832120009906,60.3443767327823,54.8278039773545,,,1017.72,1030.44
1996-02-01,1996,"Q1","1995/96","Q3","February",1023.58,,1045.37,,1034.475,1022.37,,135.71884078912,43.5773661889337,33.6721190362556,59.1527990116973,53.7451581161712,,,1022.37,1015.96
1996-03-01,1996,"Q1","1995/96","Q3","March",1021.75,,1036,,1028.875,1016.6,,134.514248681155,43.1905890024217,33.373257296694,59.0817393136239,53.6805945659681,,,1016.6,1018.58
1996-04-01,1996,"Q2","1995/96","Q4","April",1023.25,,1037,,1030.125,1013.56,,132.384179815632,42.5066545507212,32.8447829008159,57.7104818876593,52.4346949904997,,,1013.56,1020.56
1996-05-01,1996,"Q2","1995/96","Q4","May",1019.28,,1034.14,,1026.71,1018,,131.634491239766,42.2659403403122,32.6587836480967,57.5632878187696,52.3009571346685,,,1018,1022.13
1996-06-01,1996,"Q2","1995/96","Q4","June",1035.66,,1053.44,,1044.55,1041.36,,134.766778758721,43.2716727753143,33.43591051995,59.5898049805074,54.1422137971164,,,1041.36,1058.82
1996-07-01,1996,"Q3","1996/97","Q1","July",1049.78,,1067.82,,1058.8,1055.44,,137.281328021381,44.0790583481789,34.0597752803806,60.929959382063,55.3598537298852,,,1055.44,1059.9
1996-08-01,1996,"Q3","1996/97","Q1","August",1057.87,,1078,,1067.935,1067.44,,139.112615584356,44.6670584244028,34.514121430492,61.8454189255217,56.1916236331558,,,1067.44,1071.67
1996-09-01,1996,"Q3","1996/97","Q1","September",1072.28,,1088.71,,1080.495,1074.97,,139.819458301118,44.894015446193,34.6894905388659,60.3680055975661,54.8492727344568,,,1074.97,1088.85
1996-10-01,1996,"Q4","1996/97","Q2","October",1094.42,,1130.49,,1112.455,1105.05,,143.167200378293,45.968927238505,35.5200721226009,60.8256686154891,55.2650970347969,,,1105.05,1101.83
1996-11-01,1996,"Q4","1996/97","Q2","November",1080.04,,1111.15,,1095.595,1081.48,,140.634085115588,45.1555803902722,34.8916010999897,60.0895800791173,54.5963003686074,,,1081.48,1053.22
1996-12-01,1996,"Q4","1996/97","Q2","December",1021.67,,1051.87,,1036.77,1030.35,,133.090970872953,42.7335949854085,33.0201391923778,57.3916627881549,52.1450217510317,,,1030.35,1029.59
1997-01-01,1997,"Q1","1996/97","Q3","January",1036.13,,1046.54,,1041.335,1044.85,,133.796312730909,42.96007010304,33.1951359346448,58.2531843768221,52.927784608868,,,1044.85,1044.01
1997-02-01,1997,"Q1","1996/97","Q3","February",1025.06,,1047.66,,1036.36,1033.111,,130.706246976738,41.9678944689538,32.4284843680729,58.0601510943557,52.7523980766806,,,1033.111,1027.65
1997-03-01,1997,"Q1","1996/97","Q3","March",1021.86,,1041.68,,1031.77,1024.954,,129.261718905737,41.5040772984401,32.0700940305549,56.5766865118502,51.4045491180754,,,1024.954,1024.7
1997-04-01,1997,"Q2","1996/97","Q4","April",1030.7,,1062.82,,1046.76,1046.46238095238,,131.893617699571,42.3491421165909,32.7230734471345,55.6589253446735,50.5706880013253,,,1046.46238095238,1071.3
1997-05-01,1997,"Q2","1996/97","Q4","May",1049,,1078.17,,1063.585,1065.298,,135.361788337764,43.4627217863517,33.5835336005538,56.397476167708,51.241721856426,,,1065.298,1069.08
1997-06-01,1997,"Q2","1996/97","Q4","June",1058.83,,1076.15,,1067.49,1067.588,,135.35212857358,43.4596201751184,33.5811369935125,57.2559580200838,52.0217228651132,,,1067.588,1067.49
1997-07-01,1997,"Q3","1997/98","Q1","July",1060.7,,1076.51,,1068.605,1068.023,,132.424693993226,42.5196630699702,32.8548345502601,55.798073274081,50.6971152810565,,,1068.023,1071.03
1997-08-01,1997,"Q3","1997/98","Q1","August",1081.75,,1119.45,,1100.6,1098.168,,129.279491210475,41.5097837296702,32.0745033753239,55.3585524067343,50.2977746090077,,,1098.168,1112.17
1997-09-01,1997,"Q3","1997/98","Q1","September",1106.412,,1132.77,,1119.591,1117.123,,132.995347625701,42.702891737153,32.9964148712343,56.8966456708562,51.6952581948867,,,1117.123,1131.87
1997-10-01,1997,"Q4","1997/98","Q2","October",1130.58,,1152.55,,1141.565,1140.396,,136.567831840074,43.849964994696,33.8827554339895,57.5002531841537,52.2436850112723,,,1140.396,1143.88
1997-11-01,1997,"Q4","1997/98","Q2","November",1144.13,,1160.01,,1152.07,1147.189,,136.437476205313,43.8081096767627,33.8504139372217,56.6985902935761,51.515308678625,,,1147.189,1146.58
1997-12-01,1997,"Q4","1997/98","Q2","December",1138.93,,1155.96,,1147.445,1142.942,,133.737803249177,42.9412835506634,33.180619613829,55.4286944334886,50.3615043797283,,,1142.942,1140.11
1998-01-01,1998,"Q1","1997/98","Q3","January",1143.47,,1159.43,,1151.45,1148.06789473684,,133.208607526542,42.7713664215694,33.0493250841792,55.5520880681728,50.4736175935987,,,1148.06789473684,1153.14
1998-02-01,1998,"Q1","1997/98","Q3","February",1144.69,,1160.27,,1152.48,1152.522,,135.251498500214,43.427309307068,33.5561704686784,57.5399037052263,52.2797107540949,,,1152.522,1152.4
1998-03-01,1998,"Q1","1997/98","Q3","March",1146.14,,1159.35,,1152.745,1152.385,,134.819190160792,43.28850132209,33.4489138948622,58.5704703659466,53.2160648921082,,,1152.385,1155.18
1998-04-01,1998,"Q2","1997/98","Q4","April",1162.67,,1163.05,,1162.86,1174.507,,137.338302559492,44.0973520522535,34.073910778578,59.8697387450019,54.3965565279116,,,1174.507,1233.77
1998-05-01,1998,"Q2","1997/98","Q4","May",1201.89,,1235.87,,1218.88,1223.476,,141.278875078045,45.3626131658657,35.0515747944523,61.6451990000308,56.0097074477292,,,1223.476,1227.49
1998-06-01,1998,"Q2","1997/98","Q4","June",1215.03,,1235.11,,1225.07,1231.022,,140.83051271282,45.21865046429,34.9403351843478,62.4290979315411,56.721943770017,,,1231.022,1232
1998-07-01,1998,"Q3","1998/99","Q1","July",1231.11,,1241.05,,1236.08,1235.018,,138.976991493187,44.6235114809531,34.4804728190283,62.8525891851374,57.1067202263406,,,1235.018,1238.67
1998-08-01,1998,"Q3","1998/99","Q1","August",1226.11,,1241.83,,1233.97,1244.374,,139.51575158272,44.7964995905852,34.6141402874598,63.2593653819932,57.4763096858958,,,1244.374,1257.16
1998-09-01,1998,"Q3","1998/99","Q1","September",1270.5,,1286.86,,1278.68,1284.843,,147.872567989658,47.4797530476689,36.6874833486178,66.3356221425758,60.2713406694806,,,1284.843,1300.52
1998-10-01,1998,"Q4","1998/99","Q2","October",1306.17,,1319.18,,1312.675,1314.185,,155.296761778543,49.8635548066197,38.5294408510107,68.4446998678379,62.187610359459,,,1314.185,1330.57
1998-11-01,1998,"Q4","1998/99","Q2","November",1347.06,,1363.28,,1355.17,1353.82,,159.366896953142,51.1704166241145,39.5392496240291,70.1130036313234,63.7034008385639,,,1353.82,1376.13
1998-12-01,1998,"Q4","1998/99","Q2","December",1367.97,,1382.14,,1375.055,1368.443,,159.956662364154,51.3597818082834,39.6855716159323,68.8732030787864,62.5769405891437,,,1368.443,1362.69
1999-01-01,1999,"Q1","1998/99","Q3","January",1355.22,,1377.47,,1366.345,1369.20666666667,,159.848782721189,51.3251432077878,39.6588064582107,74.8834272571077,68.0377210454267,,,1369.20666666667,1376.77
1999-02-01,1999,"Q1","1998/99","Q3","February",1371.9,,1383.12,,1377.51,1377.346,,158.399651930889,50.8598481703607,39.2992741767209,73.6360903343337,66.9044133869782,,,1377.346,1377.19
1999-03-01,1999,"Q1","1998/99","Q3","March",1375.34,,1386.42,,1380.88,1381.159,,156.187999430592,50.1497183878799,38.7505587159651,72.8823932748986,66.2196179367574,,,1381.159,1397.05
1999-04-01,1999,"Q2","1998/99","Q4","April",1443.84,,1464.09,,1453.965,1449.73,,161.743030434086,51.9333588818793,40.128773148922,74.6636814624025,67.8380640101027,,,1449.73,1518.18
1999-05-01,1999,"Q2","1998/99","Q4","May",1492.92,,1554.27,,1523.595,1518.967,,166.138011291526,53.3445239721823,41.2191767932009,77.7636088372762,70.6546016836334,,,1518.967,1435.61
1999-06-01,1999,"Q2","1998/99","Q4","June",1430.17,,1467.91,,1449.04,1447.221,,155.169854073941,49.8228065694296,38.4979547926924,72.6215302413579,65.982602525508,,,1447.221,1452.56
1999-07-01,1999,"Q3","1999/00","Q1","July",1453.08,,1465.97,,1459.525,1454.5068,,155.781579791847,50.0192228920373,38.6497251811742,73.0969377599019,66.4145491566169,,,1454.5068,1459.91
1999-08-01,1999,"Q3","1999/00","Q1","August",1458.95,,1465.07,,1462.01,1463.40090909091,,156.478716626968,50.2430634949425,38.8226862406723,72.7911780708905,66.136741460176,,,1463.40090909091,1468.38
1999-09-01,1999,"Q3","1999/00","Q1","September",1492.17,,1505.47,,1498.82,1491.668636,,159.99738461823,51.3728571378959,39.695674889573,73.2844003614927,66.5848742694045,,,1491.668636,1506.13
1999-10-01,1999,"Q4","1999/00","Q2","October",1506.22,,1517.66,,1511.94,1507.80428,,162.692168179256,52.2381133496047,40.3642561441445,73.8537126437658,67.1021410621761,,,1507.80428,1506.03
1999-11-01,1999,"Q4","1999/00","Q2","November",1501.5,,1511.53,,1506.515,1503.54272727273,,161.341763170384,51.8045177394978,40.0292179288054,73.2180904933233,66.5246263283269,,,1503.54272727273,1498.85
1999-12-01,1999,"Q4","1999/00","Q2","December",1497.5,,1511.28,,1504.39,1502.471,,161.179016669374,51.7522621806584,39.9888401925761,72.444858685595,65.822081960839,,,1502.471,1506.04
2000-01-01,2000,"Q1","1999/00","Q3","January",1519.04,,1533.88,,1526.46,1525.751,,210.178179045707,67.4851879071772,52.1456315313431,75.1363231203665,68.2674976305564,,,1525.751,1542.7
2000-02-01,2000,"Q1","1999/00","Q3","February",1510.94,,1531.67,,1521.305,1519.426,,204.27805383823,65.5907426316957,50.6817985280561,74.8467572476082,68.0044033412504,,,1519.426,1509.35
2000-03-01,2000,"Q1","1999/00","Q3","March",1511.08,,1520.43,,1515.755,1513.676,,201.490140858427,64.6955839041575,49.9901116762321,73.175431862281,66.4858674714563,,,1513.676,1519.86
2000-04-01,2000,"Q2","1999/00","Q4","April",1521.61,,1532.03,,1526.82,1525.862,,202.225876940438,64.9318181696271,50.1726492869919,73.2326386091644,66.5378444819771,,,1525.862,1534.23
2000-05-01,2000,"Q2","1999/00","Q4","May",1569.32,,1591.7,,1580.51,1579.668,,203.783279610394,65.4318777491054,50.5590440409201,75.0758678166372,68.2125690403261,,,1579.668,1513.97
2000-06-01,2000,"Q2","1999/00","Q4","June",1559.32,,1594.58,,1576.95,1565.566,,203.107314901782,65.2148352112625,50.3913358288521,75.9037161745897,68.9647370127253,,,1565.566,1571.65
2000-07-01,2000,"Q3","2000/01","Q1","July",1585.8,,1606.49,,1596.145,1596.415,,207.070775747252,66.4874454371847,51.3746784849508,77.2434792929442,70.1820214326889,,,1596.415,1623.64
2000-08-01,2000,"Q3","2000/01","Q1","August",1659.1,,1681.23,,1670.165,1676.3,,214.940606743669,69.0143348888028,53.3271994803098,79.1384227122391,71.9037325840253,,,1676.3,1724.845
2000-09-01,2000,"Q3","2000/01","Q1","September",1763.23,,1787.8,,1775.515,1770.50666666667,,222.74096753441,71.5189184573592,55.2624847770632,80.7637315317947,73.3804586384822,,,1770.50666666667,1818.325
2000-10-01,2000,"Q4","2000/01","Q2","October",1812.55,,1831.8,,1822.175,1826.594,,226.868363436318,72.8441658701601,56.2865000523979,80.3532929393278,73.0075415928366,,,1826.594,1844.905
2000-11-01,2000,"Q4","2000/01","Q2","November",1839.51,,1856.3,,1847.905,1850.262,,228.943518624515,73.5104683305196,56.8013502538098,79.8068932608746,72.5110927754732,,,1850.262,1846.065
2000-12-01,2000,"Q4","2000/01","Q2","December",1783.99,,1815.49,,1799.74,1783.673,,222.996019982728,71.6008121271922,55.325763805607,78.4279606000078,71.2582196210653,,,1783.673,1766.68
2001-01-01,2001,"Q1","2000/01","Q3","January",1820.85,,1844.87,,1832.86,1830.43575,,230.162268317817,73.9017913138938,57.1037245189426,82.6636001706202,75.1066447547713,,,1830.43575,1800.375
2001-02-01,2001,"Q1","2000/01","Q3","February",1716.6,,1757.16,,1736.88,1742.96631578947,,218.338383904126,70.1053122261331,54.1701948694569,78.7742520241142,71.5728537153741,,,1742.96631578947,1761.99
2001-03-01,2001,"Q1","2000/01","Q3","March",1718.02,,1777.21,,1747.615,1753.78552631579,,218.301633801678,70.0935122972318,54.161077094673,79.1651389464986,71.9280064689223,,,1753.78552631579,1790.14
2001-04-01,2001,"Q2","2000/01","Q4","April",1752.78,,1790.46,,1771.62,1773.8176,,218.749824057482,70.2374197369499,54.272274004082,78.8155728973946,71.6103971098551,,,1773.8176,1791.09
2001-05-01,2001,"Q2","2000/01","Q4","May",1771.5,,1792.83,,1782.165,1782.684,,218.351338654238,70.1094718099185,54.1734089691745,79.5389550220023,72.267648961247,,,1782.684,1784.635
2001-06-01,2001,"Q2","2000/01","Q4","June",1754.68,,1778.53,,1766.605,1767.638,,214.717532859317,68.9427090755475,53.2718543981967,78.2744373106558,71.1187311505518,,,1767.638,1723.84
2001-07-01,2001,"Q3","2001/02","Q1","July",1716.35,,1739.97,,1728.16,1725.742,,209.420037783095,67.2417596607255,51.957535149938,76.7487438864131,69.7325138338275,,,1725.74,1732.58
2001-08-01,2001,"Q3","2001/02","Q1","August",1739.01,,1757.17,,1748.09,1750.61,,215.036514963447,69.0451296376344,53.3509945037138,79.8354251555841,72.5370163364566,,,1750.61,1760.59
2001-09-01,2001,"Q3","2001/02","Q1","September",1747.84,,1761.14,,1754.49,1752.897,,215.537245273294,69.2059069324242,53.4752267068492,80.6174710785502,73.2475690488583,,,1752.897,1749.69
2001-10-01,2001,"Q4","2001/02","Q2","October",1731.74,,1746.35,,1739.045,1737.687,,211.447615045683,67.8927855340265,52.4605811717289,79.0444617233239,71.8183613371804,,,1737.687,1737.34
2001-11-01,2001,"Q4","2001/02","Q2","November",1732.69,,1742.6,,1737.645,1736.215,,209.157006947788,67.1573042456738,51.892276667437,78.5531378373526,71.3719533838972,,,1736.215,1727.355
2001-12-01,2001,"Q4","2001/02","Q2","December",1709.34,,1724.02,,1716.68,1713.412,,203.149521849509,65.2283872546348,50.4018074579919,76.1192831864895,69.1605972819392,,,1713.412,1727.4
2002-01-01,2002,"Q1","2001/02","Q3","January",1730.9,,1744.96,,1737.93,1738.74,,205.026709478509,65.8311251813562,50.8675415073659,77.4844883753318,70.4009979047539,,,1738.74,1733.975
2002-02-01,2002,"Q1","2001/02","Q3","February",1733.72,,1748.21,,1740.965,1741.4375,,204.718161639909,65.7320549117362,50.7909901642413,77.4623873115045,70.3809172798337,,,1741.4375,1758.36
