"Date","Year","Quarter","FY","QFY","Month","E_BWA_B","E_IFEM_B","E_BWA_S","E_IFEM_S","E_BWA_MR","E_OFF_MR","E_IFEM_MR","NEER","NEER_IX_10","NEER_IX_17","REER_IX_10","REER_IX_17","E_IFEM_PUR","E_IFEM_SAL","E_PA","E_EP"
2005-09-01,2005,"Q3","2005/06","Q1","September",1839.56,1841.84818181818,1847.08,1853.36545454545,1843.32,1847.60681818182,1847.60681818182,259.200445823466,83.2255321244208,64.3081551188577,93.7782716155787,85.2052332273212,176.42242208,198.80405097,1847.60681818182,1862.68
2005-10-01,2005,"Q4","2005/06","Q2","October",1850.31,1850.315,1857.34,1860.4155,1853.825,1856.8035,1855.36525,257.952359661943,82.8247896233812,63.998502416595,93.5307473893222,84.9803372139456,165.24679436,174.91689599,1855.36525,1830.13
2005-11-01,2005,"Q4","2005/06","Q2","November",1828.91,1829.06904761905,1834.94,1839.8719047619,1831.925,1834.53547619048,1834.47047619048,252.140786610241,80.9587771704656,62.556639382347,91.2744837202352,82.9303370504221,188.88753005,192.47215919,1834.47047619048,1828.765
2005-12-01,2005,"Q4","2005/06","Q2","December",1810.78,1810.10761904762,1815.55,1822.16142857143,1813.165,1816.13452380952,1816.13452380952,252.260579216273,80.9972408519223,62.5863601703123,91.9564011865197,83.5499148668563,216.23355895,208.61399707,1816.13452380952,1816.855
2006-01-01,2006,"Q1","2005/06","Q3","January",1813.23,1813.664,1818.84,1824.5785,1816.035,1819.12125,1819.12125,256.451016195441,82.3427298471945,63.6260160644834,94.1972686524251,85.5859263199856,206.48485982,201.08381066,1819.12125,1820.19
2006-02-01,2006,"Q1","2005/06","Q3","February",1808.62,1810.13526315789,1815.45,1821.54789473684,1812.035,1815.84157894737,1815.84157894737,255.238986695942,81.9535646213174,63.3253090930319,93.7402841357565,85.1707184935539,187.2248964,193.10233874,1815.84157894737,1824.75
2006-03-01,2006,"Q1","2005/06","Q3","March",1814.06,1816.06631578947,1819.48,1825.82026315784,1816.77,1820.94328947366,1820.94328947366,255.686947015368,82.0973982317744,63.4364489547602,92.9346987565954,84.4387782590685,194.18418936,207.88134939,1820.94328947366,1823.51
2006-04-01,2006,"Q2","2005/06","Q4","April",1821.52,1823.52111111111,1828.48,1831.44111111111,1825,1827.48111111111,1827.48111111111,259.145317631898,83.2078312556442,64.2944777029738,93.8889497335286,85.3057933537835,175.24569012,187.80600712,1827.48111111111,1834.2
2006-05-01,2006,"Q2","2005/06","Q4","May",1826.93,1832.66,1833.31,1840.02380952381,1830.12,1836.3419047619,1836.3419047619,262.977034526477,84.4381403953079,65.2451344182635,93.805730679212,85.2301820334868,206.21249933,233.41586502,1836.3419047619,1851.375
2006-06-01,2006,"Q2","2005/06","Q4","June",1839.17,1855.86857142857,1854.97,1864.03,1847.07,1859.94928571429,1859.94928571429,261.990750291224,84.1214587243173,65.0004353036826,94.1701187627067,85.56125842362,211.41924838,237.61150587,1859.94928571429,1862.295
