date,var,value,source_file
1992-01-01,central_bank_rate,1992.0,BOU_MMI_CY.csv
1992-07-01,central_bank_rate,1992.0,BOU_MMI_FY.csv
1993-01-01,central_bank_rate,1993.0,BOU_MMI_CY.csv
1993-07-01,central_bank_rate,1993.0,BOU_MMI_FY.csv
1994-01-01,central_bank_rate,1994.0,BOU_MMI_CY.csv
1994-07-01,central_bank_rate,1994.0,BOU_MMI_FY.csv
1995-01-01,central_bank_rate,1995.0,BOU_MMI_CY.csv
1995-07-01,central_bank_rate,1995.0,BOU_MMI_FY.csv
1996-01-01,central_bank_rate,1996.0,BOU_MMI_CY.csv
1996-07-01,central_bank_rate,1996.0,BOU_MMI_FY.csv
1997-01-01,central_bank_rate,1997.0,BOU_MMI_CY.csv
1997-07-01,central_bank_rate,1997.0,BOU_MMI_FY.csv
1998-01-01,central_bank_rate,1998.0,BOU_MMI_CY.csv
1998-07-01,central_bank_rate,1998.0,BOU_MMI_FY.csv
1999-01-01,central_bank_rate,1999.0,BOU_MMI_CY.csv
1999-07-01,central_bank_rate,1999.0,BOU_MMI_FY.csv
2000-01-01,central_bank_rate,2000.0,BOU_MMI_CY.csv
2000-07-01,central_bank_rate,2000.0,BOU_MMI_FY.csv
2001-01-01,central_bank_rate,2001.0,BOU_MMI_CY.csv
2001-07-01,central_bank_rate,2001.0,BOU_MMI_FY.csv
2002-01-01,central_bank_rate,2002.0,BOU_MMI_CY.csv
2002-07-01,central_bank_rate,2002.0,BOU_MMI_FY.csv
2003-01-01,central_bank_rate,2003.0,BOU_MMI_CY.csv
2003-07-01,central_bank_rate,2003.0,BOU_MMI_FY.csv
2004-01-01,central_bank_rate,2004.0,BOU_MMI_CY.csv
2004-07-01,central_bank_rate,2004.0,BOU_MMI_FY.csv
2005-01-01,central_bank_rate,2005.0,BOU_MMI_CY.csv
2005-07-01,central_bank_rate,2005.0,BOU_MMI_FY.csv
2006-01-01,central_bank_rate,2006.0,BOU_MMI_CY.csv
